GENE	IRF4H3K27ac_32_DMSO_compare_TSS_SIGNAL	IRF4H3K27ac_32_DMSO_compare_DISTAL_SIGNAL
ADAMTS19	517.7027	2628.2032
ADAMTS3	862.9065	184.31760000000003
ADAMTS4	0.0	11374.551500000001
ADAMTS6	0.0	0.0
ADAMTS7	0.0	1739.9483
ADAMTS8	0.0	896.0625
ADAMTSL2	0.0	73.6424
ADAMTSL4	0.0	22416.5469
ADAMTSL5	0.0	3336.4636
ADAP1	0.0	2926.7066
ADAP2	0.0	2094.8114
ADAR	4488.832	5201.289699999999
ADARB1	0.0	2156.497
ADAT1	647.8395	357.7728
ADAT2	782.1243999999999	4.172999999999999
ADAT3	1902.4758	9166.009800000002
ADC	375.878	8546.564699999999
ADCK1	481.7154	572.4788
ADCK2	1356.0	4062.4598999999994
ADCK3	2249.4381	4004.9515
ADCK4	2358.3055	1202.7803000000001
ADCK5	1436.3032	5665.1269
ADCY1	223.28400000000002	0.0
ADCY10	0.0	882.8765999999999
ADCY2	0.0	1603.271
ADCY3	508.5752	1537.5288
ADCY4	0.0	1724.1164999999996
ADCY5	0.0	1422.489
ADCY6	441.3382	4096.6866
ADCY7	0.0	6570.927100000001
ADCY8	0.0	402.741
ADCY9	0.0	745.4975999999999
ADCYAP1	0.0	2351.1134
ADCYAP1R1	0.0	698.2974
ADD1	791.4	2783.5356
ADD2	410.55060000000003	0.0
ADD3	473.46000000000004	3023.8156
ADH1B	0.0	1175.0739
ADH1C	0.0	1175.0739
ADH4	0.0	0.0
ADH5	459.2049	0.0
ADH7	0.0	1175.0739
ADHFE1	0.0	661.504
ADI1	1074.2	3825.1103
ADIPOQ	0.0	2830.6683
ADIPOR1	959.2935000000001	4480.1574
ADIPOR2	897.3075	2281.4411
ADK	2584.8289999999997	5952.502399999999
ADM	1841.3999999999999	10838.632500000002
ADM2	260.2194	4808.5527999999995
ADNP	979.4000000000001	2057.4696
ADNP2	229.02599999999998	45.15
ADO	895.2139000000001	3135.7424
ADORA1	0.0	4595.6944
ADORA2A	3449.1751999999997	8579.548200000001
ADORA2B	0.0	1432.3612000000003
ADORA3	0.0	4252.303000000001
ADPGK	1521.4	3805.2847999999994
ADPRH	0.0	4747.8598999999995
ADPRHL1	0.0	483.48699999999997
ADPRHL2	1378.6617	3559.7599
ADRA1A	0.0	833.4997000000001
ADRA1B	0.0	2461.1714
ADRA1D	0.0	1590.7992
ADRA2A	0.0	517.4544
ADRA2B	0.0	1787.6091000000001
ADRB1	0.0	3405.112
ADRB2	1459.8	9376.0003
ADRB3	0.0	7352.8312000000005
ADRBK1	221.604	9783.1842
ADRM1	1087.3999999999999	5416.478
ADSL	1536.2	3043.0225
ADSS	1699.284	2238.3293000000003
ADSSL1	0.0	710.6676
AEBP1	0.0	1912.2259
AEBP2	598.7415	187.7616
AEN	877.2774999999999	9050.7361
AES	0.0	682.9616
AFAP1-AS1	279.07750000000004	1493.0605
AFAP1L1	0.0	1475.5445
AFAP1L2	0.0	321.0369
AFF1	3414.6	9349.579899999999
AFF3	0.0	454.8012
AFF4	1225.3188	2896.7014
AFG3L1P	475.37140000000005	1807.9032
AFG3L2	1260.7957999999999	595.3679
AFM	0.0	335.07
AFMID	738.396	14870.930800000004
AFP	0.0	335.07
AFTPH	1672.0	4920.4755
AGA	1486.512	522.477
AGAP1	36.955799999999996	4086.7486000000004
AGAP11	531.9093	73.42060000000001
AGAP2	726.1138	4233.6222
AGAP3	877.975	1453.5639
AGAP5	0.0	2816.4269
AGAP6	0.0	0.0
AGAP7	0.0	1806.7166000000002
AGAP9	0.0	623.1519999999999
AGBL1	0.0	2414.473
AGBL2	570.3516	1130.1266
AGBL3	1826.208	6946.9141
AGBL5	2013.2412	5521.929100000001
AGER	0.0	1412.3872000000001
AGFG1	702.3346	3153.492
AGFG2	439.11379999999997	1704.8622
AGGF1	885.564	0.0
AGK	1792.8	5855.106199999999
AGL	231.2532	797.2205999999999
AGMAT	878.8426999999999	2787.5897999999997
AGPAT1	1700.4934999999998	1412.3872000000001
AGPAT2	0.0	1302.3052
AGPAT3	715.1999999999999	9660.4501
AGPAT4	0.0	77.0474
AGPAT5	1181.5025	1381.635
AGPAT6	774.694	1902.3742
AGPAT9	0.0	26.056800000000003
AGPHD1	1035.1656	1436.543
AGPS	849.393	0.0
AGR2	0.0	0.0
AGRN	0.0	811.0604000000001
AGRP	0.0	8238.0137
AGT	0.0	1083.6156
AGTPBP1	1294.4	264.0327
AGTRAP	775.18	2707.7326000000003
AGXT2L1	0.0	3402.2711
AGXT2L2	647.8677	237.26250000000002
AHCTF1	1371.2	294.0497
AHCY	1187.398	10398.1556
AHCYL1	460.9758	1338.8523
AHCYL2	2910.3657000000003	2383.7313999999997
AHDC1	0.0	1065.2111
AHI1	1529.9489999999998	3478.244
AHNAK	490.10760000000005	16181.642700000002
AHNAK2	0.0	1524.9447
AHR	1026.74	622.6900999999999
AHRR	42.098	3621.1130000000003
AHSA1	695.4713999999999	1.6756000000000002
AHSA2	1155.8	1705.6971
AHSG	46.0404	1434.4307
AHSP	0.0	514.889
AICDA	0.0	1119.5711999999999
AIDA	2212.4946	3778.1726
AIF1	559.2924	652.4425
AIF1L	0.0	266.4843
AIFM1	1115.8374999999999	2532.4276999999997
AIFM2	793.0750999999999	1195.9602
AIFM3	0.0	1848.7417000000003
AIG1	870.4	939.354
AIM1L	0.0	1679.682
AIM2	3198.2	7075.026599999999
AIMP1	1679.7264000000002	0.0
AIMP2	1339.5961	2841.7094
AIP	1196.2656	4071.8716999999997
AIPL1	0.0	0.0
AIRE	0.0	6119.8286
AK1	0.0	11109.8675
AK2	1118.7819000000002	8522.9432
AK3	882.6656	2251.1727
AK4	0.0	1038.6048
AK5	0.0	0.0
AK7	0.0	406.448
AKAP1	1045.6000000000001	1449.6684
AKAP10	1642.0	5348.256300000001
AKAP11	1151.2	1223.5513
AKAP12	0.0	762.3823
AKAP13	833.6	12121.6901
AKAP14	0.0	1763.0763999999997
AKAP17A	70.092	2355.0257
AKAP2	1067.8000000000002	21517.172
AKAP3	0.0	1056.1343
AKAP4	0.0	773.4916000000001
AKAP5	184.0823	2235.5821
AKAP6	0.0	997.6016999999999
AKAP7	0.0	1663.2314999999999
AKAP8	1324.6	8763.6931
AKAP8L	881.9616	5190.8071
AKAP9	1142.4384	1113.1246
AKD1	873.2829999999999	2.5901
AKIRIN1	856.7091	796.2878
AKIRIN2	1527.688	5205.6029
AKNA	0.0	16677.538800000002
AKNAD1	0.0	0.0
AKR1A1	1332.972	3534.8571
AKR1B1	1832.423	89.1176
AKR1B10	0.0	89.1176
AKR1B15	0.0	281.6636
AKR1C1	0.0	380.3648
AKR1C2	0.0	380.3648
AKR1C3	537.3046	380.3648
AKR1C4	0.0	893.3595
AKR1CL1	0.0	893.3595
AKR1D1	0.0	12191.2832
AKR1E2	0.0	1672.6603
AKR7A2	744.9026	144.70219999999998
AKR7A2P1	0.0	267.8206
AKR7A3	0.0	391.12159999999994
AKR7L	0.0	391.12159999999994
AKT1	0.0	710.6676
AKT1S1	1951.8232999999998	3952.7119000000007
AKT2	969.6	418.3276
AKT3	0.0	1243.679
AKTIP	992.8000000000001	3105.077
ALAD	900.8258999999999	5334.691400000001
ALAS1	674.1	4338.7913
ALAS2	0.0	0.0
ALB	0.0	335.07
ALCAM	1352.9654	2962.5195
ALDH16A1	919.0705	2393.3785
ALDH18A1	785.7894	28.814400000000003
ALDH1A3	0.0	3116.1468000000004
ALDH1B1	723.9456	1251.8461999999997
ALDH1L1	0.0	16.651799999999998
ALDH1L2	859.1966	2954.5613999999996
ALDH2	0.0	48.2932
ALDH3A1	0.0	144.4997
ALDH3A2	1230.0	718.7207
ALDH3B1	4435.6496	7405.4994000000015
ALDH3B2	0.0	5400.0484
ALDH4A1	1144.9071	2941.3719
ALDH5A1	980.0353	3788.0856
ALDH6A1	705.0668000000001	722.9815
ALDH7A1	0.0	4012.4375
ALDH8A1	0.0	12437.0009
ALDH9A1	1426.3999000000001	6177.8609
ALDOA	2460.2961999999998	3228.6201
ALDOB	0.0	3505.615
ALDOC	0.0	1867.7679
ALG1	779.9196	1659.8910999999998
ALG10	1122.6185	0.0
ALG10B	953.0725000000001	1366.6504
ALG11	83.1548	0.0
ALG12	656.7684	1464.435
ALG13	480.6146	0.0
ALG14	570.0072	0.0
ALG1L	0.0	7811.415899999999
ALG1L2	0.0	5515.8915
ALG2	1767.7131000000002	5930.2709
ALG3	2818.6074000000003	729.4565
ALG5	1189.6587	119.964
ALG6	950.289	775.3143000000001
ALG8	1121.9994	84.2142
ALG9	940.373	1219.8886
ALKBH1	400.114	611.7676
ALKBH2	1275.4895999999999	4404.3685
ALKBH3	1114.9853	4405.7243
ALKBH4	915.6868000000001	20736.5445
ALKBH5	1397.3999999999999	781.0041
ALKBH6	535.8502	219.72809999999998
ALKBH7	994.5925	1347.4608
ALKBH8	937.1898	419.601
ALLC	0.0	620.6242
ALMS1	848.7794	896.1961
ALMS1P	0.0	0.0
ALOX12	0.0	2153.959
ALOX12B	0.0	10328.360700000001
