GENE	TF	ENHANCER_LIST
BOLA2B	0	3_MACS_peak_10261_lociStitched
BRD2	0	1_MACS_peak_23725_lociStitched
BRP44	0	1_MACS_peak_1984_lociStitched
BRSK1	0	1_MACS_peak_13886_lociStitched
BTBD2	0	6_MACS_peak_12897_lociStitched
BTG2	0	4_MACS_peak_2337_lociStitched
BTN2A2	0	2_MACS_peak_23561_lociStitched
BTN3A1	0	2_MACS_peak_23561_lociStitched
BTN3A2	0	2_MACS_peak_23561_lociStitched
BUB1B	0	3_MACS_peak_8904_lociStitched
BUB3	0	2_MACS_peak_4135_lociStitched
BZRAP1	0	3_MACS_peak_11793_lociStitched
C10ORF125	0	3_MACS_peak_4224_lociStitched
C10ORF26	0	2_MACS_peak_3946_lociStitched
C11ORF2	0	1_MACS_peak_4890_lociStitched,5_MACS_peak_4882_lociStitched
C12ORF5	0	1_MACS_peak_5756_lociStitched
C12ORF57	0	7_MACS_peak_5805_lociStitched,3_MACS_peak_5802_lociStitched
C12ORF61	0	1_MACS_peak_6485_lociStitched
C12ORF73	0	2_MACS_peak_6869_lociStitched
C14ORF181	0	1_MACS_peak_8296_lociStitched
C14ORF182	0	2_MACS_peak_8094_lociStitched,1_MACS_peak_8093_lociStitched
C14ORF4	0	4_MACS_peak_8400_lociStitched
C14ORF49	0	7_MACS_peak_8561_lociStitched
C15ORF28	0	1_MACS_peak_9313_lociStitched
C15ORF57	0	4_MACS_peak_8916_lociStitched
C15ORF58	0	3_MACS_peak_9655_lociStitched
C16ORF5	0	2_MACS_peak_9917_lociStitched
C16ORF53	0	5_MACS_peak_10241_lociStitched
C16ORF75	0	1_MACS_peak_9987_lociStitched
C17ORF101	0	3_MACS_peak_12214_lociStitched
C17ORF107	0	2_MACS_peak_10931_lociStitched
C17ORF37	0	1_MACS_peak_11427_lociStitched,1_MACS_peak_11428_lociStitched
C17ORF44	0	1_MACS_peak_11019_lociStitched
C17ORF46	0	1_MACS_peak_11580_lociStitched
C17ORF49	0	2_MACS_peak_10966_lociStitched
C17ORF62	0	3_MACS_peak_12214_lociStitched
C17ORF68	0	1_MACS_peak_11019_lociStitched
C17ORF81	0	3_MACS_peak_10973_lociStitched
C17ORF86	0	3_MACS_peak_12080_lociStitched,1_MACS_peak_12078_lociStitched
C17ORF95	0	2_MACS_peak_12070_lociStitched
C17ORF96	0	1_MACS_peak_11402_lociStitched
C17ORF99	0	4_MACS_peak_12112_lociStitched,4_MACS_peak_12108_lociStitched,2_MACS_peak_12106_lociStitched
C19ORF20	0	2_MACS_peak_12837_lociStitched
C19ORF23	0	4_MACS_peak_12866_lociStitched
C19ORF24	0	4_MACS_peak_12866_lociStitched
C19ORF26	0	4_MACS_peak_12866_lociStitched
C19ORF35	0	4_MACS_peak_12909_lociStitched
C19ORF44	0	3_MACS_peak_13264_lociStitched
C19ORF52	0	3_MACS_peak_13118_lociStitched
C19ORF55	0	3_MACS_peak_13480_lociStitched
C19ORF6	0	2_MACS_peak_12851_lociStitched
C19ORF61	0	2_MACS_peak_13648_lociStitched
C19ORF71	0	2_MACS_peak_12945_lociStitched
C19ORF76	0	3_MACS_peak_13806_lociStitched
C19ORF77	0	2_MACS_peak_12945_lociStitched
C1ORF106	0	2_MACS_peak_2296_lociStitched
C1ORF186	0	5_MACS_peak_2398_lociStitched
C1ORF220	0	2_MACS_peak_2073_lociStitched
C1ORF31	0	1_MACS_peak_2759_lociStitched
C1ORF35	0	1_MACS_peak_2687_lociStitched
C1ORF56	0	1_MACS_peak_1631_lociStitched
C1ORF63	0	4_MACS_peak_345_lociStitched
C1ORF66	0	2_MACS_peak_1792_lociStitched
C1ORF93	0	2_MACS_peak_53_lociStitched
C1QTNF6	0	4_MACS_peak_17923_lociStitched
C20ORF123	0	4_MACS_peak_16934_lociStitched
C20ORF203	0	3_MACS_peak_16682_lociStitched
C20ORF30	0	4_MACS_peak_16439_lociStitched
C20ORF72	0	2_MACS_peak_16560_lociStitched
C21ORF121	0	1_MACS_peak_17470_lociStitched
C21ORF128	0	1_MACS_peak_17470_lociStitched
C21ORF33	0	5_MACS_peak_17521_lociStitched
C21ORF7	0	3_MACS_peak_17297_lociStitched
C21ORF91	0	3_MACS_peak_17236_lociStitched
C22ORF39	0	2_MACS_peak_17611_lociStitched
C22ORF41	0	4_MACS_peak_18201_lociStitched
C22ORF45	0	1_MACS_peak_17732_lociStitched
C2CD2L	0	3_MACS_peak_5523_lociStitched
C2ORF48	0	1_MACS_peak_14039_lociStitched
C3ORF37	0	3_MACS_peak_19429_lociStitched,2_MACS_peak_19427_lociStitched
C3ORF45	0	4_MACS_peak_18776_lociStitched
C3ORF47	0	3_MACS_peak_19429_lociStitched,2_MACS_peak_19427_lociStitched
C3ORF48	0	3_MACS_peak_18414_lociStitched
C5ORF39	0	1_MACS_peak_21909_lociStitched,1_MACS_peak_21906_lociStitched
C5ORF56	0	6_MACS_peak_22610_lociStitched,3_MACS_peak_22607_lociStitched
C5ORF58	0	4_MACS_peak_23038_lociStitched
C6ORF105	0	1_MACS_peak_23362_lociStitched
C6ORF106	0	1_MACS_peak_23764_lociStitched
C6ORF136	0	1_MACS_peak_23655_lociStitched
C6ORF227	0	2_MACS_peak_23744_lociStitched
C6ORF25	0	2_MACS_peak_23690_lociStitched
C6ORF26	0	2_MACS_peak_23690_lociStitched
C6ORF27	0	2_MACS_peak_23690_lociStitched,4_MACS_peak_23697_lociStitched
C6ORF47	0	4_MACS_peak_23685_lociStitched
C6ORF48	0	4_MACS_peak_23697_lociStitched
C6ORF62	0	1_MACS_peak_23503_lociStitched
C7ORF29	0	2_MACS_peak_26515_lociStitched
C7ORF40	0	3_MACS_peak_25501_lociStitched
C7ORF47	0	3_MACS_peak_25965_lociStitched
C7ORF49	0	2_MACS_peak_26369_lociStitched
C7ORF51	0	3_MACS_peak_25965_lociStitched
C7ORF55	0	1_MACS_peak_26401_lociStitched,1_MACS_peak_26400_lociStitched
C7ORF57	0	2_MACS_peak_25543_lociStitched
C7ORF61	0	3_MACS_peak_25965_lociStitched
C7ORF65	0	1_MACS_peak_25537_lociStitched
C7ORF68	0	1_MACS_peak_26290_lociStitched
C8G	0	1_MACS_peak_29062_lociStitched
C8ORF41	0	3_MACS_peak_26930_lociStitched
C8ORF75	0	2_MACS_peak_26900_lociStitched,1_MACS_peak_26891_lociStitched
C8ORF80	0	4_MACS_peak_26859_lociStitched
C9ORF152	0	2_MACS_peak_28693_lociStitched
C9ORF43	0	4_MACS_peak_28731_lociStitched
C9ORF78	0	2_MACS_peak_28963_lociStitched
C9ORF91	0	2_MACS_peak_28756_lociStitched
CACNA1I	0	4_MACS_peak_18014_lociStitched
CACYBP	0	1_MACS_peak_2051_lociStitched
CADM1	0	2_MACS_peak_5456_lociStitched,2_MACS_peak_5458_lociStitched
CALHM1	0	5_MACS_peak_3963_lociStitched,1_MACS_peak_3962_lociStitched
CALHM2	0	5_MACS_peak_3963_lociStitched,1_MACS_peak_3962_lociStitched
CALHM3	0	5_MACS_peak_3963_lociStitched,1_MACS_peak_3962_lociStitched
CALR	0	2_MACS_peak_13183_lociStitched
CALR3	0	3_MACS_peak_13264_lociStitched
CAMKK1	0	1_MACS_peak_10903_lociStitched
CAMTA2	1	2_MACS_peak_10931_lociStitched
CAPN1	0	1_MACS_peak_4890_lociStitched
CASC4	0	4_MACS_peak_8990_lociStitched
CASC5	0	4_MACS_peak_8916_lociStitched
CASP10	0	6_MACS_peak_15900_lociStitched
CASP8	0	2_MACS_peak_15906_lociStitched,6_MACS_peak_15900_lociStitched
CBX1	0	3_MACS_peak_11641_lociStitched
CBX3	0	1_MACS_peak_25295_lociStitched
CBY1	0	3_MACS_peak_17967_lociStitched
CCDC106	0	4_MACS_peak_13899_lociStitched
CCDC114	0	3_MACS_peak_13757_lociStitched
CCDC117	0	1_MACS_peak_17771_lociStitched,2_MACS_peak_17772_lociStitched
CCDC134	0	2_MACS_peak_18067_lociStitched
CCDC68	0	1_MACS_peak_12651_lociStitched
CCDC84	0	3_MACS_peak_5517_lociStitched
CCDC86	0	1_MACS_peak_4775_lociStitched
CCDC88C	0	6_MACS_peak_8499_lociStitched,4_MACS_peak_8495_lociStitched
CCDC9	0	1_MACS_peak_13735_lociStitched
CCDC97	0	2_MACS_peak_13596_lociStitched,1_MACS_peak_13595_lociStitched
CCHCR1	0	3_MACS_peak_23668_lociStitched
CCL1	0	6_MACS_peak_11314_lociStitched
CCL13	0	6_MACS_peak_11314_lociStitched
CCL18	0	4_MACS_peak_11353_lociStitched
CCL3	0	4_MACS_peak_11353_lociStitched
CCL3L1	0	5_MACS_peak_11362_lociStitched,4_MACS_peak_11358_lociStitched
CCL3L3	0	5_MACS_peak_11362_lociStitched,4_MACS_peak_11358_lociStitched
CCL4	0	4_MACS_peak_11353_lociStitched
CCL4L1	0	5_MACS_peak_11362_lociStitched,4_MACS_peak_11358_lociStitched
CCL8	0	6_MACS_peak_11314_lociStitched
CCM2	0	3_MACS_peak_25501_lociStitched
CCND2	0	2_MACS_peak_5751_lociStitched,1_MACS_peak_5756_lociStitched
CCNL1	0	2_MACS_peak_19695_lociStitched
CCR1	0	2_MACS_peak_18662_lociStitched
CCR10	0	1_MACS_peak_11518_lociStitched
CCR2	0	8_MACS_peak_18664_lociStitched
CCR3	0	2_MACS_peak_18662_lociStitched,8_MACS_peak_18664_lociStitched
CCT8	0	3_MACS_peak_17297_lociStitched
CD164	0	1_MACS_peak_24432_lociStitched
CD27	0	4_MACS_peak_5780_lociStitched
CD28	0	5_MACS_peak_15945_lociStitched
CD300LF	0	4_MACS_peak_11988_lociStitched
CD44	0	1_MACS_peak_4607_lociStitched,4_MACS_peak_4608_lociStitched
CD48	0	3_MACS_peak_1844_lociStitched,1_MACS_peak_1847_lociStitched
CD68	0	2_MACS_peak_10990_lociStitched
CDC16	0	2_MACS_peak_7862_lociStitched,2_MACS_peak_7860_lociStitched
CDC27	0	4_MACS_peak_11613_lociStitched
CDC34	0	2_MACS_peak_12837_lociStitched
CDC37	0	6_MACS_peak_13095_lociStitched
CDC42	0	2_MACS_peak_281_lociStitched
CDC42BPG	0	4_MACS_peak_4870_lociStitched
CDC42SE1	0	1_MACS_peak_1631_lociStitched
CDC42SE2	0	2_MACS_peak_22588_lociStitched
CDC45	0	2_MACS_peak_17611_lociStitched
CDC6	0	2_MACS_peak_11450_lociStitched
CDCA5	0	1_MACS_peak_4890_lociStitched,5_MACS_peak_4882_lociStitched
CDIPT	0	5_MACS_peak_10241_lociStitched
CDK11A	0	2_MACS_peak_36_lociStitched
CDK11B	0	2_MACS_peak_36_lociStitched
CDK14	0	1_MACS_peak_25853_lociStitched,2_MACS_peak_25848_lociStitched
CDK6	0	1_MACS_peak_25877_lociStitched
CDK9	0	5_MACS_peak_28894_lociStitched
CDKN1B	0	1_MACS_peak_5904_lociStitched
CDS2	0	4_MACS_peak_16439_lociStitched
CDV3	0	1_MACS_peak_19485_lociStitched
CEACAM21	0	4_MACS_peak_13607_lociStitched
CELA1	0	2_MACS_peak_6323_lociStitched
CELA3A	0	2_MACS_peak_281_lociStitched
CELA3B	0	2_MACS_peak_281_lociStitched
CELF2	0	1_MACS_peak_2991_lociStitched,3_MACS_peak_2996_lociStitched
CENPM	0	2_MACS_peak_18073_lociStitched
CEP57	0	1_MACS_peak_5286_lociStitched
CEP68	0	1_MACS_peak_14641_lociStitched
CEP97	0	4_MACS_peak_19124_lociStitched
CETP	0	3_MACS_peak_10427_lociStitched,2_MACS_peak_10425_lociStitched
CFLAR	0	1_MACS_peak_15894_lociStitched
CFLP1	0	1_MACS_peak_3742_lociStitched
CHCHD4	0	1_MACS_peak_18338_lociStitched
CHD3	0	4_MACS_peak_10995_lociStitched
CHD6	0	1_MACS_peak_16855_lociStitched
CHEK2	0	1_MACS_peak_17771_lociStitched
CHERP	0	4_MACS_peak_13272_lociStitched
CHKB	0	4_MACS_peak_18201_lociStitched
CHMP2A	0	1_MACS_peak_13957_lociStitched
CHMP4B	0	6_MACS_peak_16709_lociStitched,2_MACS_peak_16715_lociStitched
CHMP5	0	3_MACS_peak_28120_lociStitched
CHMP6	0	2_MACS_peak_12161_lociStitched
CHPT1	0	2_MACS_peak_6843_lociStitched
CHRNA9	0	3_MACS_peak_20512_lociStitched
CHRNE	0	2_MACS_peak_10931_lociStitched
CHST12	0	2_MACS_peak_25035_lociStitched,1_MACS_peak_25034_lociStitched
CHST15	0	4_MACS_peak_4145_lociStitched
CHSY1	0	2_MACS_peak_9769_lociStitched,2_MACS_peak_9764_lociStitched
CIAO1	0	3_MACS_peak_14947_lociStitched
CIB1	0	3_MACS_peak_9655_lociStitched
CIB3	0	2_MACS_peak_13252_lociStitched
CIRBP	0	4_MACS_peak_12866_lociStitched
CISD2	0	1_MACS_peak_20978_lociStitched
CISD3	0	1_MACS_peak_11402_lociStitched
CITED2	0	1_MACS_peak_24752_lociStitched
CKLF	0	2_MACS_peak_10492_lociStitched
CKS1B	0	5_MACS_peak_1718_lociStitched,1_MACS_peak_1723_lociStitched
CKS2	0	3_MACS_peak_28434_lociStitched
CLCN4	0	4_MACS_peak_29181_lociStitched
CLDN14	0	2_MACS_peak_17413_lociStitched
CLDN7	0	3_MACS_peak_10973_lociStitched,2_MACS_peak_10976_lociStitched
CLIC1	0	2_MACS_peak_23690_lociStitched
CLK3	0	3_MACS_peak_9388_lociStitched
CLLU1	0	1_MACS_peak_6723_lociStitched
CLN6	0	2_MACS_peak_9310_lociStitched
CLPTM1L	0	4_MACS_peak_21640_lociStitched
CLTC	0	2_MACS_peak_11821_lociStitched
CMTM1	0	2_MACS_peak_10492_lociStitched
CNBP	0	3_MACS_peak_19421_lociStitched
CNDP1	0	2_MACS_peak_12785_lociStitched
CNDP2	0	2_MACS_peak_12785_lociStitched
CNN2	0	2_MACS_peak_12851_lociStitched
CNOT6L	0	2_MACS_peak_20776_lociStitched
CNPY2	0	2_MACS_peak_6412_lociStitched
CNTF	0	1_MACS_peak_4734_lociStitched
CNTNAP1	0	1_MACS_peak_11518_lociStitched
COG7	0	1_MACS_peak_10157_lociStitched
COL6A4P2	0	2_MACS_peak_19442_lociStitched
COL8A2	0	3_MACS_peak_559_lociStitched
COPG	0	2_MACS_peak_19427_lociStitched
COPS7B	0	1_MACS_peak_16219_lociStitched
COPZ2	0	3_MACS_peak_11641_lociStitched
COQ2	0	2_MACS_peak_20831_lociStitched
CORO1A	0	3_MACS_peak_10261_lociStitched
CORO1C	0	4_MACS_peak_6944_lociStitched,1_MACS_peak_6940_lociStitched
COX17	0	2_MACS_peak_19278_lociStitched
COX4I2	0	3_MACS_peak_16664_lociStitched
CPEB4	0	5_MACS_peak_23087_lociStitched
CPLX3	0	5_MACS_peak_9393_lociStitched
CPN2	0	2_MACS_peak_20095_lociStitched
CPT1B	0	4_MACS_peak_18201_lociStitched
CPT1C	0	3_MACS_peak_13806_lociStitched
CRABP2	0	2_MACS_peak_1792_lociStitched
CRB2	0	1_MACS_peak_28824_lociStitched
CRIPT	0	3_MACS_peak_14442_lociStitched
CROCC	0	3_MACS_peak_231_lociStitched
CROCCP2	0	2_MACS_peak_226_lociStitched
CRYAA	0	1_MACS_peak_17492_lociStitched
CRYBA4	0	2_MACS_peak_17751_lociStitched,3_MACS_peak_17753_lociStitched
CRYBB1	0	2_MACS_peak_17751_lociStitched,3_MACS_peak_17753_lociStitched
CS	0	2_MACS_peak_6412_lociStitched
CSAD	0	2_MACS_peak_6342_lociStitched
CSF2	0	1_MACS_peak_22602_lociStitched
CSK	0	5_MACS_peak_9393_lociStitched
CSNK1E	0	1_MACS_peak_17959_lociStitched
CSNK2B	0	4_MACS_peak_23685_lociStitched
CSTB	0	3_MACS_peak_17512_lociStitched
CTCF	1	6_MACS_peak_10524_lociStitched
CTCFL	1	2_MACS_peak_17109_lociStitched
CTDNEP1	0	3_MACS_peak_10973_lociStitched
CTSE	0	5_MACS_peak_2398_lociStitched
CUEDC2	0	2_MACS_peak_3933_lociStitched
CXCR4	0	1_MACS_peak_15360_lociStitched
CXCR5	0	2_MACS_peak_5512_lociStitched
CXXC4	0	1_MACS_peak_20988_lociStitched
CXXC5	0	1_MACS_peak_22717_lociStitched,1_MACS_peak_22715_lociStitched
CYB561D2	0	4_MACS_peak_18776_lociStitched
CYB5D1	0	4_MACS_peak_10995_lociStitched
CYB5D2	0	1_MACS_peak_10908_lociStitched
CYGB	0	4_MACS_peak_12062_lociStitched
CYP11A1	0	2_MACS_peak_9376_lociStitched
CYP1A1	0	5_MACS_peak_9393_lociStitched
CYP1A2	0	5_MACS_peak_9393_lociStitched
CYS1	0	1_MACS_peak_14039_lociStitched
CYTH1	0	4_MACS_peak_12122_lociStitched,5_MACS_peak_12126_lociStitched
CYTH4	0	4_MACS_peak_17923_lociStitched
CYTIP	0	1_MACS_peak_15465_lociStitched,1_MACS_peak_15467_lociStitched
DALRD3	0	3_MACS_peak_18736_lociStitched
DAND5	0	2_MACS_peak_13183_lociStitched
DAPK3	0	1_MACS_peak_12956_lociStitched
DAPP1	0	3_MACS_peak_20937_lociStitched
DAXX	0	3_MACS_peak_23735_lociStitched
DBN1	0	1_MACS_peak_23142_lociStitched
DCAF6	0	1_MACS_peak_1984_lociStitched
DCLRE1C	0	2_MACS_peak_3060_lociStitched
DCP2	0	2_MACS_peak_22445_lociStitched
DCPS	0	3_MACS_peak_5618_lociStitched
DCST1	0	5_MACS_peak_1718_lociStitched,1_MACS_peak_1723_lociStitched
DCST2	0	5_MACS_peak_1718_lociStitched,1_MACS_peak_1723_lociStitched
DCTN2	0	1_MACS_peak_6448_lociStitched
DDAH2	0	2_MACS_peak_23690_lociStitched
DDIT3	1	1_MACS_peak_6448_lociStitched
DDIT4	0	4_MACS_peak_3560_lociStitched,1_MACS_peak_3566_lociStitched
