GENE	IRF4H3K27ac_31_DMSO_compare_TSS_SIGNAL	IRF4H3K27ac_31_DMSO_compare_DISTAL_SIGNAL
ANXA11	2258.706	12853.621200000001
ANXA13	0.0	2169.5054
ANXA2	2857.0	2220.2384
ANXA2P1	0.0	2598.3653
ANXA2P2	0.0	3963.3208
ANXA3	0.0	993.4130000000001
ANXA4	1324.3664999999999	2191.6899000000003
ANXA5	2303.7893999999997	8.58
ANXA6	4150.0005	23758.645300000007
ANXA7	2559.6736	444.9067
ANXA8	0.0	0.0
ANXA8L1	0.0	0.0
ANXA9	0.0	9455.487899999998
AOC2	0.0	2347.1612
AOC3	0.0	2347.1612
AOX1	0.0	0.0
AOX2P	0.0	1338.7461
AP1AR	2529.7999999999997	2229.3409
AP1B1	2073.8604	3685.3997000000004
AP1G1	4230.8	12179.886299999998
AP1G2	669.5441999999999	356.41400000000004
AP1M1	1853.3185	34180.857599999996
AP1M2	0.0	5691.820299999999
AP1S1	0.0	2758.1354999999994
AP1S2	1627.3999999999999	1914.9267
AP1S3	2221.5033	2397.5277
AP2A1	1280.0727	5895.933800000002
AP2A2	1629.782	3002.3468000000003
AP2B1	2083.935	1611.175
AP2M1	2488.3676	674.1543
AP2S1	1440.1368	2910.1445
AP3B1	3059.375	1342.5113000000001
AP3B2	0.0	2301.784
AP3D1	2702.0	35792.6928
AP3M1	3059.126	5989.801799999999
AP3M2	3198.6	1560.6692
AP3S1	3060.4010000000003	16.1293
AP3S2	3720.3758999999995	1725.6215000000002
AP4B1	1907.5502	2478.0090000000005
AP4E1	3462.2318999999998	2446.0051000000003
AP4M1	4283.487099999999	2464.5422
AP4S1	1764.0807	263.144
APAF1	2175.6614999999997	77.6532
APBA1	0.0	264.2993
APBA2	0.0	1835.5639999999999
APBA3	4233.605	2338.8168000000005
APBB1	0.0	119.53179999999999
APBB1IP	2224.0	3299.8018999999995
APBB2	1210.1298000000002	4561.7862
APBB3	2343.834	1422.1352
APC	1781.8066000000001	1425.2384000000002
APC2	0.0	5927.080900000001
APCDD1	0.0	671.8029999999999
APEH	3747.5433000000003	516.1251
APEX1	1364.2266	521.6342999999999
APEX2	619.7333	0.0
APH1A	5798.7738	3876.9379
APH1B	0.0	1262.4044000000001
API5	2208.8291999999997	133.739
APIP	2547.0210999999995	5056.1379
APITD1	2130.5565	3965.6193000000003
APITD1-CORT	2130.5565	3965.6193000000003
APLF	2473.8233999999998	4956.6478
APLN	0.0	450.1728
APLNR	0.0	439.6002
APLP1	0.0	800.8290000000001
APLP2	1677.4	4576.927199999999
APOA1	0.0	4599.1489
APOA1BP	2111.4	55157.6758
APOA2	0.0	14134.264900000002
APOA4	0.0	1556.2942000000003
APOA5	0.0	1556.2942000000003
APOB	0.0	1012.9875999999999
APOB48R	1147.4341	405.8548
APOBEC1	0.0	261.6992
APOBEC2	0.0	1593.4515999999999
APOBEC3A	0.0	17477.160499999998
APOBEC3B	3934.6	21044.343600000004
APOBEC3C	2327.6	22765.6357
APOBEC3D	3393.2000000000003	23497.3527
APOBEC3F	2921.2581	24221.2311
APOBEC3G	2372.7999999999997	29063.434100000006
APOBEC3H	874.5000000000001	25015.4261
APOBEC4	0.0	2297.4671
APOC1	0.0	2646.6699999999996
APOC1P1	0.0	4991.3935
APOC2	0.0	8351.6538
APOC3	0.0	4599.1489
APOC4	0.0	5185.7283
APOD	0.0	11960.0655
APOE	0.0	2646.6699999999996
APOF	0.0	5251.334699999999
APOH	0.0	427.87600000000003
APOL1	1366.6232	12195.0682
APOL2	2138.7794	12195.0682
APOL3	1932.8000000000002	8260.2723
APOL4	0.0	6513.4438
APOL5	0.0	3116.63
APOL6	2522.7912	3979.5897000000004
APOLD1	3701.5126	14145.1256
APOM	0.0	8299.8013
APOO	1952.9499999999998	225.5015
APOOL	697.7458	0.0
APP	2712.486	2060.9376
APPBP2	2064.5812	3160.9017000000003
APPL1	2297.2000000000003	459.23639999999995
APPL2	1369.1392	1541.2479
APRT	831.465	3310.9474999999998
APTX	2375.044	1556.6185999999998
