GENE	H3k27ac_16_DMSO_compare_TSS_SIGNAL	H3k27ac_16_DMSO_compare_DISTAL_SIGNAL
ADD3	1613.04	4556.8234
ADH1B	0.0	1152.2082
ADH1C	0.0	1152.2082
ADH4	0.0	0.0
ADH5	800.2379000000001	10.782200000000001
ADH7	0.0	1152.2082
ADHFE1	0.0	1044.752
ADI1	7621.6	6754.5615
ADIPOQ	0.0	7285.7801
ADIPOR1	3415.1605	4082.0017000000007
ADIPOR2	2843.8203	4579.6654
ADK	15174.444	7603.649799999999
ADM	7966.8	64775.0292
ADM2	780.3075	20079.7149
ADNP	5755.4	2722.3719
ADNP2	382.49399999999997	18.962999999999997
ADO	5988.9592	6058.425599999999
ADORA1	0.0	4448.557400000001
ADORA2A	24173.1322	31093.3552
ADORA2B	0.0	1481.0765000000001
ADORA3	0.0	39705.5787
ADPGK	7766.8	6400.6063
ADPRH	0.0	32626.133
ADPRHL1	0.0	2520.8579999999997
ADPRHL2	3429.4649999999997	11106.8218
ADRA1A	0.0	1780.9468
ADRA1B	0.0	6743.8755
ADRA1D	0.0	3432.3399
ADRA2A	0.0	783.7438999999999
ADRA2B	0.0	3252.6169999999997
ADRB1	0.0	5185.081800000001
ADRB2	5549.0	45321.5376
ADRB3	0.0	9437.7049
ADRBK1	5093.4405	43210.563
ADRM1	7048.4	30620.4914
ADSL	6290.2	4693.3605
ADSS	6268.002	4277.0251
ADSSL1	0.0	2402.0642000000003
AEBP1	0.0	3711.7241999999997
AEBP2	2420.9631	254.9744
AEN	7383.5704	27435.289000000004
AES	0.0	512.1023
AFAP1-AS1	758.2875	1930.8628
AFAP1L1	0.0	3459.9595
AFAP1L2	0.0	204.35940000000002
AFF1	25384.2	39546.36089999999
AFF3	0.0	661.1303999999999
AFF4	4172.6829	4458.572499999999
AFG3L1P	2460.073	4973.8609
AFG3L2	7075.0442	2226.8628
AFM	0.0	698.7850000000001
AFMID	1744.416	69224.2542
AFP	0.0	698.7850000000001
AFTPH	10117.800000000001	12017.6382
AGA	15302.963999999998	3185.9067999999997
AGAP1	256.1769	18994.7591
AGAP11	999.2384999999999	171.9388
AGAP2	2148.823	8692.0018
AGAP3	2845.5443	2882.9113999999995
AGAP5	0.0	7011.9077
AGAP6	0.0	0.0
AGAP7	0.0	3620.1634999999997
AGAP9	0.0	2021.6100000000001
AGBL1	0.0	5365.1475
AGBL2	940.9764	2785.5807999999997
AGBL3	6508.416	12566.7359
AGBL5	5492.6056	12189.9876
AGER	0.0	4638.5497
AGFG1	1648.1109	11931.443000000001
AGFG2	876.454	4723.7339
AGGF1	2716.8872	0.0
AGK	4059.0	13930.462399999999
AGL	1100.5503999999999	1656.6466
AGMAT	1800.7034999999998	14886.6514
AGPAT1	9764.9792	4638.5497
AGPAT2	0.0	1160.1508000000001
AGPAT3	5460.8	34820.1928
AGPAT4	0.0	324.6371
AGPAT5	6224.4101	3600.4626
AGPAT6	3500.3089999999997	4687.8022
AGPAT9	0.0	13.7466
AGPHD1	1793.6798	3180.5748
AGPS	1542.632	0.0
AGR2	0.0	0.0
AGRN	0.0	1337.19
AGRP	0.0	37509.9477
AGT	0.0	1280.0166
AGTPBP1	4984.0	568.0145
AGTRAP	2858.9736000000003	7872.269400000001
AGXT2L1	0.0	6744.0782
AGXT2L2	2235.3849	527.1927000000001
AHCTF1	7218.4	391.18769999999995
AHCY	3820.3239999999996	27763.1607
AHCYL1	751.6157999999999	2339.9892
AHCYL2	9288.1963	4237.0718
AHDC1	0.0	1584.5007999999998
AHI1	7216.659000000001	6088.857800000001
AHNAK	778.0021	46365.23749999999
AHNAK2	0.0	2101.06
AHR	2015.9645	883.6718
AHRR	48.577000000000005	10967.024000000001
AHSA1	3620.8482000000004	17.4522
AHSA2	6988.0	1695.9612
AHSG	36.75	3096.1020000000003
