Gene,Protein_Acc,Label,log2FC,SE,Tvalue,DF,pvalue,adj.pvalue,issue,MissingPercentage,ImputationPercentage,logpval,logadjpval,TF_1639
SRRT,Q9BXP5,B5r_IKZF3-IgG,-0.0016734180044313239,0.028717550021034308,-0.05827161450770072,9,0.9548055760836651,0.9792704575082369,NA,0.4652777777777778,0.013888888888888888,0.02008505336941471,0.009097347030402174,NA
AP1M1,Q9BXS5,B5r_IKZF3-IgG,0.2852117211655277,0.2138839014147995,1.3334884920225825,9,0.21513537184044118,0.491062380445329,NA,0.3125,0.0625,0.6672881784912842,0.3088633352449036,NA
NUSAP1,Q9BXS6,B5r_IKZF3-IgG,-0.35315633580858213,0.11791404155698397,-2.9950320686609095,9,0.015077347257279161,0.10535529071135809,NA,0,0,1.8216750625026286,0.9773436501930068,NA
SLC26A6,Q9BXS9,B5r_IKZF3-IgG,0.2848434905241665,0.08159337971765253,3.491012279548231,8,0.008186255149520427,0.06646299775081953,NA,0.125,0,2.0869147233724132,1.1774200741725958,NA
FANCD2,Q9BXW9,B5r_IKZF3-IgG,0.24341534084550798,0.19167137396530354,1.2699618926380272,9,0.23594816603902036,0.5144272800283767,NA,0.125,0.125,0.6271833939609085,0.2886760088792329,NA
MAK16,Q9BXY0,B5r_IKZF3-IgG,-0.05781706231666029,0.1307195376334023,-0.4422985527902181,9,0.6687111789255544,0.8547922299264601,NA,0.5,0,0.17476141658610056,0.06813943423304944,NA
ITPA,Q9BY32,B5r_IKZF3-IgG,-0.035276302046810266,0.08939334871899886,-0.3946188676486281,9,0.7023124959861617,0.8761215708744247,NA,0,0,0.1534696042740792,0.05743562682660963,NA
RTF2,Q9BY42,B5r_IKZF3-IgG,0.08393642324206223,0.3365509634415616,0.24940182129841643,9,0.8086488465170565,0.925276440392263,NA,0,0,0.09224002860697617,0.033728495800652174,NA
CHMP4A,Q9BY43,B5r_IKZF3-IgG,-0.18965585161285078,0.13614418769181824,-1.3930514025480383,8,0.20109285050932435,0.4731175022078047,NA,0.125,0,0.6966033696794601,0.32503098564056254,NA
EIF2A,Q9BY44,B5r_IKZF3-IgG,-0.08590710743494516,0.1134463404522628,-0.7572488199484416,9,0.46826171904772984,0.7188116741058139,NA,0.25,0,0.32951134485699674,0.1433848781983373,NA
SEC11C,Q9BY50,B5r_IKZF3-IgG,-0.050513162469171945,0.2667660732241587,-0.18935377298419298,9,0.85401702951258,0.9417559431175117,NA,0.4375,0.4375,0.06853346918265261,0.026061630423875576,NA
POLDIP3,Q9BY77,B5r_IKZF3-IgG,0.030715389963171805,0.06158023780910473,0.4987864785190954,9,0.6298927750765095,0.832989043675945,NA,0.3194444444444444,0.08333333333333333,0.20073337301605704,0.0793607108409576,NA
GNB1L,Q9BYB4,B5r_IKZF3-IgG,-0.045311384658255356,0.14963310347911193,-0.3028165800529601,9,0.7689118996245501,0.9115586314519651,NA,0,0,0.11412341793431793,0.04021539228916219,NA
PCGF6,Q9BYE7,B5r_IKZF3-IgG,-0.07195022044681654,0.14284373844819956,-0.5036988056211393,9,0.6265707754522516,0.832461268579492,NA,0.050000000000000044,0.05,0.20302986536847023,0.07963596350753249,Unknown
NIFK,Q9BYG3,B5r_IKZF3-IgG,-0.16279663169893424,0.11515895312426475,-1.4136689096440902,9,0.19110214927652147,0.4621613113415726,NA,0.1607142857142857,0.017857142857142856,0.7187344285196372,0.3352064131929703,NA
HYCC1,Q9BYI3,B5r_IKZF3-IgG,0.08706521212270782,0.07435632819874975,1.1709186592698342,9,0.27169919192000314,0.5566040322580416,NA,0.38636363636363635,0.022727272727272728,0.565911653246465,0.2544536517909196,NA
YTHDF1,Q9BYJ9,B5r_IKZF3-IgG,0.6213199496582362,0.3380754453732731,1.837814482421903,9,0.09925579090007863,0.321378655930657,NA,0.45833333333333337,0.125,1.0032441456975154,0.4929829698855137,NA
HELZ2,Q9BYK8,B5r_IKZF3-IgG,0.02967646071572715,0.16280968122060055,0.18227700277550904,9,0.859404938991541,0.9437257118305116,NA,0.0625,0.0625,0.06580215475892404,0.02515421242629987,NA
RBCK1,Q9BYM8,B5r_IKZF3-IgG,0.1292514688276594,0.08967663514810588,1.4413059612929668,9,0.18337136899668582,0.4523769389569547,NA,0,0,0.7366684726868512,0.3444995424269851,Unknown
CEP41,Q9BYV8,B5r_IKZF3-IgG,-0.2423111962660011,0.17840490690632552,-1.3582092581861027,8,0.2114582389425963,0.485679734893082,NA,0.125,0,0.6747753889867002,0.31365001719346486,NA
BACH2,Q9BYV9,B5r_IKZF3-IgG,0.40133556857973407,0.2748904288303395,1.4599837844024597,4,0.2180737053935493,0.49320252208558846,NA,0.625,0,0.6613966970573687,0.3069747112225887,bZIP
SETD2,Q9BYW2,B5r_IKZF3-IgG,0.1212902109312566,0.09983946048196572,1.2148524275445738,9,0.25533198744691266,0.5383849570328195,NA,0.4930555555555556,0.041666666666666664,0.5928947743008429,0.26890708319884027,NA
IFIH1,Q9BYX4,B5r_IKZF3-IgG,0.7754673213714663,0.23135300411205495,3.351879195810536,9,0.008498120113573204,0.06832691068411557,NA,0,0,2.070677134826477,1.1654082149157152,NA
DOCK9,Q9BZ29,B5r_IKZF3-IgG,0.09922101412297744,0.12080629266125047,0.8213232269381886,9,0.43267937994548733,0.6890175656527415,NA,0.3125,0.0625,0.3638338013329949,0.1617697061492477,NA
NSD3,Q9BZ95,B5r_IKZF3-IgG,0.21063904976244713,0.10066495753638717,2.0924764179859494,9,0.06591803191208045,0.25571048362202276,NA,0.32499999999999996,0,1.1809957676714213,0.5922514663973564,NA
NUF2,Q9BZD4,B5r_IKZF3-IgG,0.39720301769306054,0.1947647554669272,2.039398846782159,9,0.07183488601142218,0.2677420680877278,NA,0.45833333333333337,0.125,1.143664593045577,0.5722833863663457,NA
GTPBP4,Q9BZE4,B5r_IKZF3-IgG,-0.15094169721051465,0.059085458352858215,-2.5546336005230117,9,0.030958496839620375,0.1626758149583235,NA,0.5625,0,1.5092201342328924,0.7886770089001381,NA
OSBPL8,Q9BZF1,B5r_IKZF3-IgG,0.16774422415089782,0.11300391924827473,1.484410675901923,9,0.17185646228822904,0.43866463788088805,NA,0.33653846153846156,0.028846153846153848,0.764834132520932,0.3578673740112685,NA
UACA,Q9BZF9,B5r_IKZF3-IgG,-0.05778219812298068,0.18377377277740897,-0.3144202638369285,9,0.7603684198868923,0.9082242024696615,NA,0.0625,0.0625,0.11897592883140795,0.04180692914836202,NA
WDR11,Q9BZH6,B5r_IKZF3-IgG,0.09633449286582604,0.12418585974320762,0.7757283563928066,9,0.4578079055984148,0.7082526052248806,NA,0.5125,0.0125,0.3393167120369166,0.149811819302818,NA
UPF3B,Q9BZI7,B5r_IKZF3-IgG,-0.08111176062319016,0.06107199018807134,-1.3281335743833842,9,0.21682805152353146,0.4928665005170661,NA,0,0,0.663884532863363,0.30727069926260087,NA
CRNKL1,Q9BZJ0,B5r_IKZF3-IgG,-0.07710422310940236,0.06343868527252726,-1.2154133204080302,9,0.25512832908625405,0.5382419807453347,NA,0.43181818181818177,0.011363636363636364,0.5932413152720242,0.269022431999588,NA
TBL1XR1,Q9BZK7,B5r_IKZF3-IgG,0.2601852172750139,0.054154272221187856,4.804518768386596,9,9.676077163729424e-4,0.013890078885034775,NA,0.3482142857142857,0.044642857142857144,3.0143006769318745,1.857295287794564,NA
UBL5,Q9BZL1,B5r_IKZF3-IgG,-0.23260519219430886,0.16576590409393893,-1.403214934130799,9,0.19409890883462277,0.4652267857246071,NA,0,0,0.7119769060770375,0.33233528844595667,NA
PPP1R12C,Q9BZL4,B5r_IKZF3-IgG,-0.10884604142758379,0.08338666674425367,-1.305317092976193,9,0.2241665922774021,0.5020592636977443,NA,0.421875,0.0390625,0.6494291101650048,0.29924501517015767,NA
