GENE	H3k27ac_15_DMSO_compare_TSS_SIGNAL	H3k27ac_15_DMSO_compare_DISTAL_SIGNAL
AFAP1-AS1	941.8000000000001	1900.4234999999999
AFAP1L1	0.0	3039.6433
AFAP1L2	0.0	286.977
AFF1	26261.8	40549.4279
AFF3	0.0	618.744
AFF4	5188.673400000001	4914.3806
AFG3L1P	2689.5114000000003	5207.160699999999
AFG3L2	7860.2646	2715.6892
AFM	0.0	831.555
AFMID	1949.346	73289.309
AFP	0.0	831.555
AFTPH	12178.599999999999	12707.4249
AGA	16617.426000000003	3258.4992
AGAP1	261.2925	18733.8483
AGAP11	1289.4531	377.8808
AGAP2	2299.7164	9129.330300000001
AGAP3	3787.3348000000005	3782.4743
AGAP5	0.0	8022.8733
AGAP6	0.0	0.0
AGAP7	0.0	3980.5863000000004
AGAP9	0.0	2366.05
AGBL1	0.0	5877.5239
AGBL2	1501.8276	3027.1182000000003
AGBL3	7487.289599999999	12414.9303
AGBL5	5193.603700000001	14181.015500000001
AGER	0.0	5435.3278
AGFG1	1849.3399	12165.672
AGFG2	1005.1878	5913.917799999999
AGGF1	3631.2465	0.0
AGK	5555.2	13866.645
AGL	1395.3886	1678.6837
AGMAT	2250.297	15556.971800000001
AGPAT1	10817.330399999999	5435.3278
AGPAT2	0.0	1381.5388
AGPAT3	6158.400000000001	33112.337100000004
AGPAT4	0.0	454.0972
AGPAT5	7421.0123	3431.3085
AGPAT6	3683.862	4321.009
AGPAT9	0.0	17.7408
AGPHD1	2074.0818	3305.3507
AGPS	1928.2900000000002	0.0
AGR2	0.0	0.0
AGRN	0.0	1718.3312
AGRP	0.0	40736.2
AGT	0.0	1109.4912
AGTPBP1	5635.4	691.9123999999999
AGTRAP	2970.2427999999995	8255.7404
AGXT2L1	0.0	6603.2492
AGXT2L2	2883.2526	609.705
AHCTF1	8404.400000000001	641.37
AHCY	4739.951	27128.7958
AHCYL1	952.1574	2634.134
AHCYL2	10084.334200000001	4460.0851999999995
AHDC1	0.0	2055.3354
AHI1	7713.410999999999	5251.0362000000005
AHNAK	1057.5283	47828.98769999999
AHNAK2	0.0	2111.1146
AHR	2597.1855	896.815
AHRR	30.256	10759.6018
AHSA1	4372.18	6.2658000000000005
AHSA2	8303.2	1759.2136
AHSG	27.7536	2539.3094
AHSP	0.0	1152.3356
AICDA	0.0	758.9055999999999
AIDA	19123.562100000003	13959.013200000001
AIF1	1058.5904	1494.5485999999999
AIF1L	0.0	393.6255
AIFM1	4942.7122	8303.2988
AIFM2	3372.9237	2342.6334
AIFM3	0.0	7448.185300000001
AIG1	3069.0	1171.1612
AIM1L	0.0	4926.8502
AIM2	19191.600000000002	23169.5792
AIMP1	10839.6813	0.0
AIMP2	5199.2128	7185.7184
AIP	3953.5632000000005	15308.705099999997
AIPL1	0.0	0.0
AIRE	0.0	20416.3961
AK1	0.0	46098.8003
AK2	2386.5654	26149.1149
AK3	5057.5184	3292.0511
AK4	0.0	4100.2048
AK5	0.0	0.0
AK7	0.0	683.1811
AKAP1	5779.200000000001	2921.459
AKAP10	10906.4	29251.7963
AKAP11	7276.0	1819.4796000000001
AKAP12	0.0	5270.5314
AKAP13	4618.0	34225.1449
AKAP14	0.0	2846.3006
AKAP17A	1065.5040000000001	11480.107499999998
AKAP2	3401.0	85646.9138
AKAP3	0.0	2272.8324000000002
AKAP4	0.0	2960.6237
AKAP5	780.3546	11392.7919
AKAP6	0.0	2187.7411
AKAP7	0.0	3875.7129000000004
AKAP8	8310.0	20714.3805
AKAP8L	2818.0347	16295.7011
AKAP9	5198.8922999999995	1219.5945000000002
AKD1	2104.2778	3.0444
AKIRIN1	2593.8753	888.7178000000001
AKIRIN2	10540.2364	8054.2037
AKNA	0.0	97384.4451
AKNAD1	0.0	0.0
AKR1A1	4775.751	7700.930999999999
AKR1B1	5079.125	146.74720000000002
AKR1B10	0.0	146.74720000000002
AKR1B15	0.0	431.865
AKR1C1	0.0	885.1492000000001
AKR1C2	0.0	885.1492000000001
AKR1C3	1275.3062	885.1492000000001
AKR1C4	0.0	1157.0130000000001
AKR1CL1	0.0	1157.0130000000001
AKR1D1	0.0	19502.758299999998
AKR1E2	0.0	2294.8486
AKR7A2	4071.33	60.4126
AKR7A2P1	0.0	1123.6116
AKR7A3	0.0	571.0444
AKR7L	0.0	571.0444
AKT1	0.0	2783.5496000000003
AKT1S1	28499.200100000002	12364.519400000001
AKT2	6478.0	1425.3456999999999
AKT3	0.0	9073.9196
AKTIP	4823.599999999999	7306.9583
ALAD	1530.4731	13485.350100000001
ALAS1	2511.2472	10359.9403
ALAS2	0.0	0.0
ALB	0.0	831.555
ALCAM	4543.776	9800.7085
ALDH16A1	11533.364800000001	5862.4624
ALDH18A1	2945.9364	58.82
ALDH1A3	0.0	14300.3298
ALDH1B1	2429.616	5319.3208
ALDH1L1	0.0	19.1862
ALDH1L2	3910.1755000000003	5648.532
ALDH2	0.0	85.7848
ALDH3A1	0.0	581.4722
ALDH3A2	6981.8	1032.0127
ALDH3B1	34290.708	25084.148499999996
ALDH3B2	0.0	16004.682
ALDH4A1	6793.4826	19149.437700000002
ALDH5A1	2843.068	7276.8233
ALDH6A1	4872.0109999999995	1058.645
ALDH7A1	0.0	5510.8728
ALDH8A1	0.0	74871.5618
ALDH9A1	5423.6001	7874.985800000001
ALDOA	20872.0967	13794.0297
ALDOB	0.0	23701.093
ALDOC	0.0	5183.1265
ALG1	6634.772400000001	10269.921200000003
ALG10	3488.3494	0.0
ALG10B	3081.0225	3577.8607
ALG11	345.3396	0.0
ALG12	5691.0736	6300.5981
ALG13	4834.0473999999995	0.0
ALG14	3832.5007	0.0
ALG1L	0.0	33804.549499999994
ALG1L2	0.0	30581.587
ALG2	17869.4794	15977.9108
ALG3	9133.5062	1565.92
ALG5	11941.3903	232.07999999999998
ALG6	4395.411	3474.4484
ALG8	3482.4321	190.8254
ALG9	5045.0372	3783.7457999999997
ALKBH1	1111.6453999999999	1515.6925999999999
ALKBH2	1340.9368	12290.7608
ALKBH3	2032.7359	14771.4522
ALKBH4	5580.4302	166134.25670000003
ALKBH5	12479.6	1623.7625999999998
ALKBH6	2451.8653999999997	548.208
ALKBH7	5070.6075	1985.3080999999997
ALKBH8	7338.1215	801.9165
ALLC	0.0	1610.6482
ALMS1	4169.755499999999	1415.602
ALMS1P	0.0	0.0
ALOX12	0.0	10662.057999999999
ALOX12B	0.0	18443.053999999996
ALOX12P2	7421.254800000001	1656.3127
ALOX15	0.0	4475.9927
ALOX15B	0.0	6228.435100000001
ALOX5	1708.3284999999998	81496.98640000002
ALOX5AP	0.0	5872.067899999998
ALOXE3	1412.088	25081.4222
ALPI	0.0	320.78360000000004
ALPK1	1209.8028	6086.0568
ALPK2	0.0	25077.872399999997
ALPK3	0.0	11806.0448
ALPL	0.0	0.0
ALPP	0.0	1102.9299
ALPPL2	0.0	1102.9299
ALS2	4254.796	6079.580800000001
ALS2CL	0.0	462.5936
ALS2CR11	0.0	1007.9901000000001
ALS2CR12	0.0	13031.6774
ALS2CR4	3892.9184000000005	0.0
ALS2CR8	7614.6216	198.7024
ALX3	0.0	1084.446
AMAC1	0.0	1366.8200000000002
AMAC1L2	0.0	2963.0725
AMAC1L3	0.0	6008.3324
AMACR	13965.199999999999	602.3515
AMBN	0.0	42556.0668
AMBRA1	0.0	8455.5282
AMD1	6654.0713	5784.4222
AMDHD1	4629.241400000001	1652.0801000000001
AMDHD2	2761.5792	5805.3409
AMELX	0.0	19019.2893
AMFR	1622.2749	241.7451
AMH	0.0	35203.849799999996
AMHR2	0.0	111312.9909
AMICA1	0.0	13.674
AMIGO1	0.0	1312.2769
AMIGO3	0.0	1103.3933
AMMECR1	7757.0	4046.8293
AMMECR1L	5427.5411	11850.617900000001
AMN	0.0	7292.3962
AMN1	4756.4205	11276.7493
