To,From,type
POU5F1B,XRCC5,PPI
KIF20A,XRCC5,PPI
EWSR1,XRCC5,PPI
HNRNPC,XRCC5,PPI
SMG7,XRCC5,PPI
TEN1,XRCC5,PPI
ILF3,XRCC5,PPI
MYC,XRCC5,PPI
HSF1,XRCC5,PPI
HSPA8,XRCC5,PPI
RNF4,XRCC5,PPI
CIT,XRCC5,PPI
DDX3X,XRCC5,PPI
TPT1,XRCC5,PPI
TPT1,EEF1B2,PPI
YWHAZ,EEF1B2,PPI
RPL26L1,EEF1B2,PPI
CIT,EEF1B2,PPI
RPS25,EEF1B2,PPI
RPL9,EEF1B2,PPI
RPL30,EEF1B2,PPI
RPL36A,EEF1B2,PPI
RPL10,EEF1B2,PPI
GSPT1,EEF1B2,PPI
GRB2,GPS1,PPI
RELA,GPS1,PPI
EIF3F,GPS1,PPI
KPNA2,GPS1,PPI
PSMD13,RFC4,PPI
BRD2,RFC4,PPI
TOP3A,RFC4,PPI
MYC,RFC4,PPI
POU5F1B,RFC4,PPI
RPL26L1,RFC4,PPI
TFAM,RFC4,PPI
MCM3,RFC4,PPI
CIT,RFC4,PPI
RAD17,RFC4,PPI
GTF2H3,RFC4,PPI
RFC5,RFC4,PPI
SIN3A,CIT,PPI
MCM3,CIT,PPI
EIF3F,CIT,PPI
DDX51,CIT,PPI
PLRG1,CIT,PPI
PWP1,CIT,PPI
CBX1,CIT,PPI
RPL26L1,CIT,PPI
RPL10,CIT,PPI
PPIA,CIT,PPI
RPS25,CIT,PPI
PCID2,CIT,PPI
PRPF40A,CIT,PPI
POLR1B,CIT,PPI
BCLAF1,CIT,PPI
HNRNPC,CIT,PPI
RPL9,CIT,PPI
RPL28,CIT,PPI
RRP12,CIT,PPI
RSL1D1,CIT,PPI
HMGA1,CIT,PPI
CFL1,CIT,PPI
DHX36,CIT,PPI
TFAM,CIT,PPI
KPNA2,CIT,PPI
CLTC,CIT,PPI
MRPS27,CIT,PPI
PPP1CB,CIT,PPI
NOP16,CIT,PPI
GRB2,CIT,PPI
DDX6,CIT,PPI
DDX42,CIT,PPI
RHOA,CIT,PPI
RFC5,CIT,PPI
DDX46,CIT,PPI
SLC2A1,CIT,PPI
UBE2L3,CIT,PPI
KIF20A,CIT,PPI
ILF3,CIT,PPI
EIF4E,CIT,PPI
ACTG1,CIT,PPI
HSPA8,CIT,PPI
TFIP11,CIT,PPI
TRA2B,CIT,PPI
RACGAP1,CIT,PPI
PPP1R12A,CIT,PPI
CDC42,CIT,PPI
SRSF10,CIT,PPI
WDR73,CIT,PPI
ALYREF,CIT,PPI
RBMXL1,CIT,PPI
RPL30,CIT,PPI
GNL3,CIT,PPI
PPIA,GRB2,PPI
HYOU1,GRB2,PPI
CDC42,GRB2,PPI
ACTG1,GRB2,PPI
HSPA8,GRB2,PPI
PPP1CB,GRB2,PPI
DNAJB11,GRB2,PPI
YWHAZ,GRB2,PPI
GSPT1,GRB2,PPI
UBR5,GRB2,PPI
PSMD13,GRB2,PPI
CLTC,GRB2,PPI
PPP2CA,GRB2,PPI
HNRNPC,GRB2,PPI
ALDOA,NME2,PPI
PPIA,NME2,PPI
PPP2CA,NME2,PPI
HSPA8,NME2,PPI
HSF1,NME2,PPI
MYC,NME2,PPI
RPL9,NME2,PPI
HYOU1,NME2,PPI
PPIAL4G,NME2,PPI
TUBB8,NME2,PPI
POLR1B,NME2,PPI
MIS12,CBX1,PPI
TPT1,CBX1,PPI
BRD2,CBX1,PPI
KPNA2,CBX1,PPI
TRA2B,CBX1,PPI
RACGAP1,CBX1,PPI
WDR73,CBX1,PPI
RNF4,CBX1,PPI
PRPF40A,ALG13,PPI
TLE3,ALG13,PPI
UPF1,ALG13,PPI
TRA2B,ALG13,PPI
DDX3X,ALG13,PPI
SMG7,ALG13,PPI
RHOA,KIF20A,PPI
BCLAF1,KIF20A,PPI
RACGAP1,KIF20A,PPI
UBR5,KIF20A,PPI
RPL10,KIF20A,PPI
RPL28,KIF20A,PPI
ALYREF,KIF20A,PPI
MCM3,KIF20A,PPI
DDX46,KIF20A,PPI
HMGA1,KIF20A,PPI
RSL1D1,KIF20A,PPI
POLR1B,KIF20A,PPI
ILF3,KIF20A,PPI
SRSF10,KIF20A,PPI
RPL36A,KIF20A,PPI
RBMXL1,KIF20A,PPI
CLTC,KIF20A,PPI
TFAM,KIF20A,PPI
PPIA,KIF20A,PPI
PPP1CB,KIF20A,PPI
GNL3,KIF20A,PPI
CFL1,KIF20A,PPI
SUMO2,KIF20A,PPI
CDC42,KIF20A,PPI
KPNA2,KIF20A,PPI
DDX6,KIF20A,PPI
PPP1R12A,KIF20A,PPI
DDX27,KIF20A,PPI
DDX51,KIF20A,PPI
HNRNPC,KIF20A,PPI
RPL26L1,KIF20A,PPI
TRA2B,KIF20A,PPI
TUBB8,KIF20A,PPI
RPL9,KIF20A,PPI
DPF2,KIF20A,PPI
PRPF40A,KIF20A,PPI
MYC,SIN3A,PPI
DDX46,SIN3A,PPI
RNF4,SIN3A,PPI
BRD2,SIN3A,PPI
WDR73,SIN3A,PPI
SUMO2,SIN3A,PPI
YWHAZ,SIN3A,PPI
TAF1,SIN3A,PPI
SUDS3,SIN3A,PPI
CBFB,SIN3A,PPI
PFDN5,SIN3A,PPI
GTF2A1,SMARCD1,PPI
RELA,SMARCD1,PPI
ACTG1,SMARCD1,PPI
CBFB,SMARCD1,PPI
TAF1,SMARCD1,PPI
DPF2,SMARCD1,PPI
KPNA2,SMARCD1,PPI
BRD2,SMARCD1,PPI
SUMO2,ALDOA,PPI
ACTG1,ALDOA,PPI
GPI,ALDOA,PPI
CFL1,ALDOA,PPI
SLC2A1,ALDOA,PPI
YWHAZ,ALDOA,PPI
RHOA,ALDOA,PPI
RNF4,ALDOA,PPI
HSPA8,ALDOA,PPI
SOD2,ALDOA,PPI
CBFB,BRD2,PPI
SMG1,BRD2,PPI
BCL2,BRD2,PPI
CWC22,BRD2,PPI
MYC,BRD2,PPI
GNL3,BRD2,PPI
DDX24,BRD2,PPI
NFYC,BRD2,PPI
EIF2B1,BRD2,PPI
MLST8,BRD2,PPI
ACTG1,BRD2,PPI
TAF1,BRD2,PPI
DDX27,BRD2,PPI
PPP1R12A,PPP1CB,PPI
ACTG1,PPP1CB,PPI
YWHAZ,PPP1CB,PPI
SUMO2,PPP1CB,PPI
PPP2CA,PPP1CB,PPI
POU5F1B,PPP1CB,PPI
DDX3X,PPP1CB,PPI
HSPA8,PPP1CB,PPI
ALYREF,CHCHD2,PPI
TUBB8,YWHAZ,PPI
PPP2CA,YWHAZ,PPI
EWSR1,YWHAZ,PPI
DDX24,YWHAZ,PPI
DDX51,YWHAZ,PPI
DDX27,YWHAZ,PPI
MCM3,YWHAZ,PPI
DDX3X,YWHAZ,PPI
MLST8,YWHAZ,PPI
HYOU1,YWHAZ,PPI
EIF3F,YWHAZ,PPI
CLTC,YWHAZ,PPI
PPP1R12A,YWHAZ,PPI
DDX46,YWHAZ,PPI
HSPA8,YWHAZ,PPI
PPP6C,YWHAZ,PPI
DDX42,YWHAZ,PPI
DDX6,YWHAZ,PPI
TPT1,YWHAZ,PPI
SMG1,YWHAZ,PPI
ACTG1,YWHAZ,PPI
RAD51D,YWHAZ,PPI
TRA2B,YWHAZ,PPI
HSF1,YWHAZ,PPI
HNRNPC,YWHAZ,PPI
UBR5,YWHAZ,PPI
CFL1,YWHAZ,PPI
POLR1B,DDX51,PPI
EIF4E,DDX51,PPI
UPF1,DDX51,PPI
RRP12,DDX51,PPI
ALYREF,DDX51,PPI
CWC22,DDX51,PPI
RPL30,DDX51,PPI
SRSF10,DDX51,PPI
RSL1D1,DDX51,PPI
TRA2B,DDX51,PPI
KPNA2,DDX51,PPI
DDX24,DDX51,PPI
DHX36,DDX51,PPI
HNRNPC,DDX51,PPI
RPL9,DDX51,PPI
GNL3,DDX51,PPI
RPL26L1,DDX51,PPI
MYC,TEN1,PPI
RELA,BCL2,PPI
PPP2CA,BCL2,PPI
BCLAF1,BCL2,PPI
MYC,BCL2,PPI
IKBKB,BCL2,PPI
EIF2B1,PAICS,PPI
PCID2,DDX3X,PPI
SUMO2,DDX3X,PPI
NUP62,DDX3X,PPI
UPF1,DDX3X,PPI
PPIA,DDX3X,PPI
TPT1,DDX3X,PPI
RPL30,DDX3X,PPI
RPL9,DDX3X,PPI
DDX6,DDX3X,PPI
RPL26L1,DDX3X,PPI
EIF3F,DDX3X,PPI
TRA2B,DDX3X,PPI
CLTC,DDX3X,PPI
RSL1D1,DDX3X,PPI
KPNA2,DDX3X,PPI
EIF4E,DDX3X,PPI
GNL3,DDX3X,PPI
HNRNPC,DDX3X,PPI
SMG1,DDX3X,PPI
RRP12,DDX3X,PPI
RHOA,DDX3X,PPI
ALYREF,DDX3X,PPI
STRAP,DDX3X,PPI
HSPA8,DDX3X,PPI
MYC,DDX3X,PPI
DHX36,DDX3X,PPI
EWSR1,DDX3X,PPI
SRSF10,DDX3X,PPI
EIF2B1,DDX3X,PPI
DDX27,DDX3X,PPI
CWC22,DDX3X,PPI
ILF3,DDX3X,PPI
POLR1B,DDX3X,PPI
SUMO2,CDC42,PPI
EIF4E,CDC42,PPI
AP1M1,CDC42,PPI
TPT1,CDC42,PPI
ACTG1,CDC42,PPI
RACGAP1,CDC42,PPI
CFL1,CDC42,PPI
HSF1,CDC42,PPI
MYC,CDC42,PPI
RHOA,CDC42,PPI
RNF4,CDC42,PPI
IKBKB,CDC42,PPI
DDX6,CDC42,PPI
SMG1,CDC42,PPI
UBR5,UBE2J2,PPI
PRMT1,PAXIP1,PPI
TLE3,PAXIP1,PPI
SMG7,PAXIP1,PPI
XRCC3,PAXIP1,PPI
HSPA8,RELA,PPI
PPP2CA,RELA,PPI
TAF1,RELA,PPI
MYC,RELA,PPI
IKBKB,RELA,PPI
UBE2L3,RELA,PPI
HSF1,RELA,PPI
PRMT1,RELA,PPI
GTF2A1,RELA,PPI
DPF2,RELA,PPI
KPNA2,RELA,PPI
HSPA8,TFIP11,PPI
DHX36,TFIP11,PPI
UBR5,TFIP11,PPI
CWC22,TFIP11,PPI
SRSF10,TFIP11,PPI
LSM5,TFIP11,PPI
HNRNPC,TFIP11,PPI
RNF4,TFIP11,PPI
RBMXL1,TFIP11,PPI
PLRG1,TFIP11,PPI
DNAJB11,TFIP11,PPI
TRA2B,TFIP11,PPI
RNF4,FBXO11,PPI
UBR5,PRPF40A,PPI
CWC22,PRPF40A,PPI
PLRG1,PRPF40A,PPI
DDX46,PRPF40A,PPI
SRRT,PRPF40A,PPI
SUMO2,PRPF40A,PPI
TRA2B,PRPF40A,PPI
LSM5,PRPF40A,PPI
SRSF10,PRPF40A,PPI
HNRNPC,PRPF40A,PPI
RNF4,PRPF40A,PPI
PCID2,PRPF40A,PPI
DHX36,CWC22,PPI
TRA2B,CWC22,PPI
SRSF10,CWC22,PPI
DDX27,CWC22,PPI
PPIA,CWC22,PPI
DDX46,CWC22,PPI
LSM5,CWC22,PPI
PLRG1,CWC22,PPI
PPIAL4G,CWC22,PPI
DDX42,CWC22,PPI
ACTG1,CWC22,PPI
EIF4E,CWC22,PPI
DDX6,CWC22,PPI
HNRNPC,CWC22,PPI
DDX24,CWC22,PPI
SRSF10,PWP1,PPI
DHX36,PWP1,PPI
ACTG1,PWP1,PPI
DNAJB11,PWP1,PPI
RSL1D1,PWP1,PPI
HNRNPC,PWP1,PPI
PRMT1,PWP1,PPI
TRA2B,PWP1,PPI
DDX24,PWP1,PPI
DPF2,WDR73,PPI
MCM3,WDR73,PPI
SUDS3,WDR73,PPI
RPL26L1,WDR73,PPI
TAF1,WDR73,PPI
HSPA8,WDR73,PPI
HYOU1,WDR73,PPI
RPS25,SEC61G,PPI
RPL10,SEC61G,PPI
RPL26L1,SEC61G,PPI
RPL36A,SEC61G,PPI
RPL9,SEC61G,PPI
RPL30,SEC61G,PPI
RPL28,SEC61G,PPI
CIAO1,AP1M1,PPI
RHOA,AP1M1,PPI
CLTC,AP1M1,PPI
PFDN5,PPP1R12A,PPI
HSPA8,PPP1R12A,PPI
PSMD13,PPP1R12A,PPI
ILF3,PPP1R12A,PPI
RHOA,PPP1R12A,PPI
PPP2CA,PPP1R12A,PPI
SRRT,PPP6C,PPI
SUMO2,PPP6C,PPI
PPP2CA,PPP6C,PPI
HSPA8,PPP6C,PPI
UPF1,STRAP,PPI
HSF1,STRAP,PPI
UBE2L3,PPIAL4G,PPI
LSM5,PPIAL4G,PPI
SOD2,PPIAL4G,PPI
PLRG1,PPIAL4G,PPI
HNRNPC,PPIAL4G,PPI
GNL3,PPIAL4G,PPI
TRA2B,PPIAL4G,PPI
RPL26L1,PPIAL4G,PPI
SRSF10,PPIAL4G,PPI
DDX42,GNL3,PPI
RPL10,GNL3,PPI
DDX27,GNL3,PPI
NMD3,GNL3,PPI
DNAJB11,GNL3,PPI
RPL9,GNL3,PPI
DDX24,GNL3,PPI
RSL1D1,GNL3,PPI
RPL26L1,GNL3,PPI
RPL30,GNL3,PPI
DDX46,GNL3,PPI
TAF1,GNL3,PPI
PPIA,GNL3,PPI
RPL36A,GNL3,PPI
DDX6,GNL3,PPI
MYC,NFYC,PPI
KANSL3,NFYC,PPI
POU5F1B,NFYC,PPI
MYC,KANSL3,PPI
SMG7,PSMD13,PPI
RFC5,PSMD13,PPI
EIF3F,PSMD13,PPI
RAD17,PSMD13,PPI
UPF1,GSPT1,PPI
RPS25,GSPT1,PPI
RPL30,GSPT1,PPI
HNRNPC,GSPT1,PPI
ACTG1,GSPT1,PPI
SRSF10,GSPT1,PPI
NUP62,GSPT1,PPI
HSPA8,GSPT1,PPI
RPL28,GSPT1,PPI
RPL10,GSPT1,PPI
RPL9,GSPT1,PPI
RPL26L1,GSPT1,PPI
UBR5,GSPT1,PPI
SMG1,GSPT1,PPI
SUMO2,GSPT1,PPI
TRA2B,GSPT1,PPI
RPL36A,GSPT1,PPI
RNF4,HMGA1,PPI
HYOU1,EWSR1,PPI
POU5F1B,EWSR1,PPI
PRMT1,EWSR1,PPI
IKBKB,RHOA,PPI
SMG1,RHOA,PPI
HSPA8,RHOA,PPI
CFL1,RHOA,PPI
TPT1,RHOA,PPI
RACGAP1,RHOA,PPI
ACTG1,RHOA,PPI
RSL1D1,RPL9,PPI
RPL26L1,RPL9,PPI
SUMO2,RPL9,PPI
DDX42,RPL9,PPI
SOD2,RPL9,PPI
RPL30,RPL9,PPI
RPS25,RPL9,PPI
DDX46,RPL9,PPI
RPL28,RPL9,PPI
DDX24,RPL9,PPI
TOP3A,RPL9,PPI
RPL36A,RPL9,PPI
POLR1B,RPL9,PPI
DDX6,RPL9,PPI
RPL10,RPL9,PPI
SRP19,RPL9,PPI
DDX27,RPL9,PPI
EIF3F,RPL9,PPI
NMD3,RPL9,PPI
TPT1,RPL9,PPI
PPIA,UBE2L3,PPI
CFL1,UBE2L3,PPI
TPT1,UBE2L3,PPI
SUMO2,UBE2L3,PPI
MYC,UBE2L3,PPI
UBR5,UBE2L3,PPI
ACTG1,SMG1,PPI
DDX6,SMG1,PPI
EIF4E,SMG1,PPI
MLST8,SMG1,PPI
UPF1,SMG1,PPI
SMG7,SMG1,PPI
RSL1D1,SENP6,PPI
HSPA8,SENP6,PPI
UPF1,SENP6,PPI
SUMO2,SENP6,PPI
POLR1B,SENP6,PPI
KPNA2,SENP6,PPI
POU5F1B,ILF3,PPI
ACTG1,ILF3,PPI
RSL1D1,ILF3,PPI
DDX6,ILF3,PPI
PRMT1,ILF3,PPI
HNRNPC,ILF3,PPI
MRPS27,ILF3,PPI
USP36,ILF3,PPI
TRA2B,ILF3,PPI
RPL10,ILF3,PPI
RRP12,ILF3,PPI
PPP2CA,RACGAP1,PPI
HSPA8,RACGAP1,PPI
RPS25,RPL36A,PPI
RPL28,RPL36A,PPI
SRP19,RPL36A,PPI
RPL10,RPL36A,PPI
NMD3,RPL36A,PPI
SUMO2,RPL36A,PPI
RPL26L1,RPL36A,PPI
TPT1,RPL36A,PPI
RPL30,RPL36A,PPI
RNF4,GPI,PPI
SRSF10,SUMO2,PPI
DHX36,SUMO2,PPI
TRA2B,SUMO2,PPI
EIF3F,SUMO2,PPI
KPNA2,SUMO2,PPI
CLTC,SUMO2,PPI
TLE3,SUMO2,PPI
RAD51D,SUMO2,PPI
ACTG1,SUMO2,PPI
GTF2H3,SUMO2,PPI
EIF4E,SUMO2,PPI
PPP2CA,SUMO2,PPI
RFC5,SUMO2,PPI
MCM3,SUMO2,PPI
XRCC3,SUMO2,PPI
RRP12,SUMO2,PPI
PRMT1,SUMO2,PPI
RPL26L1,SUMO2,PPI
HNRNPC,SUMO2,PPI
TFAM,SUMO2,PPI
TAF1,SUMO2,PPI
TUBB8,SUMO2,PPI
SRRT,SUMO2,PPI
HSF1,SUMO2,PPI
RNF4,SUMO2,PPI
HSPA8,SUMO2,PPI
CBFB,PRMT1,PPI
HNRNPC,PRMT1,PPI
PPP2CA,PRMT1,PPI
MLST8,PRMT1,PPI
RBMXL1,PRMT1,PPI
ALYREF,PRMT1,PPI
KPNA2,PRMT1,PPI
BCLAF1,PRMT1,PPI
GTF2A1,PRMT1,PPI
RSL1D1,PRMT1,PPI
GTF2A1,TAF1,PPI
UBR5,TAF1,PPI
GTF2H3,TAF1,PPI
POU5F1B,TAF1,PPI
NMD3,RFC5,PPI
GTF2H3,RFC5,PPI
TOP3A,RFC5,PPI
TFAM,RFC5,PPI
RAD17,RFC5,PPI
POU5F1B,RFC5,PPI
RNF4,HERPUD1,PPI
HNRNPC,LSM5,PPI
TRA2B,LSM5,PPI
PPIA,LSM5,PPI
SRSF10,LSM5,PPI
DNAJB11,LSM5,PPI
PLRG1,LSM5,PPI
DHX36,LSM5,PPI
ALYREF,LSM5,PPI
EIF2B1,LSM5,PPI
RPL30,RPL10,PPI
MRPS27,RPL10,PPI
POLR1B,RPL10,PPI
RPS25,RPL10,PPI
HYOU1,RPL10,PPI
RNF4,RPL10,PPI
HSPA8,RPL10,PPI
NMD3,RPL10,PPI
ACTG1,RPL10,PPI
DDX24,RPL10,PPI
TPT1,RPL10,PPI
EIF3F,RPL10,PPI
DDX27,RPL10,PPI
RPL28,RPL10,PPI
RPL26L1,RPL10,PPI
SRP19,RPL10,PPI
SOD2,RPL10,PPI
TUBB8,DNAJB11,PPI
PLRG1,DNAJB11,PPI
DDX42,DNAJB11,PPI
HSF1,DNAJB11,PPI
HSPA8,DNAJB11,PPI
HYOU1,DNAJB11,PPI
TPT1,DNAJB11,PPI
PPIA,CBFB,PPI
CLTC,EIF2B1,PPI
RNF4,SLC2A1,PPI
MYC,SLC2A1,PPI
KPNA2,DDX46,PPI
HNRNPC,DDX46,PPI
RPL26L1,DDX46,PPI
PPIA,DDX46,PPI
RRP12,DDX46,PPI
TRA2B,DDX46,PPI
RPL30,DDX46,PPI
DHX36,DDX46,PPI
RSL1D1,DDX46,PPI
ALYREF,DDX46,PPI
SRSF10,DDX46,PPI
POLR1B,DDX46,PPI
DDX42,DDX46,PPI
UBR5,DDX46,PPI
EIF4E,DDX46,PPI
DDX27,TRA2B,PPI
KPNA2,TRA2B,PPI
ALYREF,TRA2B,PPI
PPIA,TRA2B,PPI
DDX6,TRA2B,PPI
DHX36,TRA2B,PPI
UPF1,TRA2B,PPI
DDX42,TRA2B,PPI
SRSF10,TRA2B,PPI
DDX24,TRA2B,PPI
PLRG1,TRA2B,PPI
EIF4E,TRA2B,PPI
HSF1,DHX36,PPI
DDX27,DHX36,PPI
ALYREF,DHX36,PPI
HNRNPC,DHX36,PPI
EIF4E,DHX36,PPI
RSL1D1,DHX36,PPI
DDX6,DHX36,PPI
RPL30,DHX36,PPI
DDX42,DHX36,PPI
PLRG1,DHX36,PPI
DDX24,DHX36,PPI
RPS25,DHX36,PPI
SRSF10,DHX36,PPI
TLE3,CIAO1,PPI
MYC,PPP2CA,PPI
EIF4E,PPP2CA,PPI
CFL1,PPP2CA,PPI
SMG7,PPP2CA,PPI
HSPA8,PPP2CA,PPI
MLST8,PPP2CA,PPI
IKBKB,PPP2CA,PPI
UPF1,PPP2CA,PPI
MYC,NMD3,PPI
RPL28,NMD3,PPI
UPF1,NMD3,PPI
RPL26L1,NMD3,PPI
RPL30,NMD3,PPI
DPF2,POU5F1B,PPI
MYC,POU5F1B,PPI
SUDS3,POU5F1B,PPI
RPL26L1,PPIA,PPI
HNRNPC,PPIA,PPI
CFL1,PPIA,PPI
SRSF10,PPIA,PPI
DDX6,PPIA,PPI
SOD2,PPIA,PPI
RNF4,PPIA,PPI
PLRG1,PPIA,PPI
DDX6,SRSF10,PPI
UBR5,SRSF10,PPI
DDX42,SRSF10,PPI
UPF1,SRSF10,PPI
KPNA2,SRSF10,PPI
PLRG1,SRSF10,PPI
EIF4E,SRSF10,PPI
DDX27,SRSF10,PPI
DDX24,SRSF10,PPI
ALYREF,SRSF10,PPI
MRPS27,TFAM,PPI
HSPA8,TFAM,PPI
MYC,TFAM,PPI
KPNA2,ZNF131,PPI
NUP62,ALYREF,PPI
DDX6,ALYREF,PPI
PLRG1,ALYREF,PPI
SRRT,ALYREF,PPI
CCNC,ALYREF,PPI
HNRNPC,ALYREF,PPI
BCLAF1,ALYREF,PPI
EIF4E,ALYREF,PPI
UPF1,ALYREF,PPI
DDX42,ALYREF,PPI
DDX27,ALYREF,PPI
DDX24,ALYREF,PPI
TLE3,ALYREF,PPI
HSPA8,PLRG1,PPI
SRRT,PLRG1,PPI
KPNA2,PLRG1,PPI
ACTG1,PLRG1,PPI
RNF4,PLRG1,PPI
HNRNPC,PLRG1,PPI
RPS25,SRP19,PPI
RPL26L1,SRP19,PPI
RPL28,SRP19,PPI
RPL30,SRP19,PPI
HNRNPC,SMG7,PPI
TLE3,SMG7,PPI
UPF1,SMG7,PPI
RRP12,SMG7,PPI
DDX6,SMG7,PPI
DDX27,EIF4E,PPI
UPF1,EIF4E,PPI
DDX24,EIF4E,PPI
HNRNPC,EIF4E,PPI
EIF3F,EIF4E,PPI
DDX6,EIF4E,PPI
MYC,EIF4E,PPI
DDX42,EIF4E,PPI
XRCC3,RAD17,PPI
CCNC,RAD17,PPI
TOP3A,RAD17,PPI
MYC,RNF4,PPI
PCID2,RNF4,PPI
HNRNPC,RNF4,PPI
BCLAF1,RNF4,PPI
HSPA8,RNF4,PPI
CLTC,RNF4,PPI
DDX42,RNF4,PPI
SOD2,RNF4,PPI
RRP12,RNF4,PPI
GTF2A1,RNF4,PPI
RSL1D1,RPL30,PPI
POLR1B,RPL30,PPI
RPL28,RPL30,PPI
UBR5,RPL30,PPI
RPS25,RPL30,PPI
DDX6,RPL30,PPI
RPL26L1,RPL30,PPI
DDX42,RPL30,PPI
DDX24,RPL30,PPI
TPT1,RPL30,PPI
DDX27,RPL30,PPI
DDX27,RPL26L1,PPI
DDX42,RPL26L1,PPI
RPL28,RPL26L1,PPI
RPS25,RPL26L1,PPI
DDX6,RPL26L1,PPI
TPT1,RPL26L1,PPI
DDX24,RPL26L1,PPI
POLR1B,RPL26L1,PPI
RSL1D1,RPL26L1,PPI
HSF1,CCNC,PPI
GTF2H3,CCNC,PPI
BCLAF1,CCNC,PPI
TLE3,UBR5,PPI
UPF1,UBR5,PPI
PCID2,UBR5,PPI
DDX6,UBR5,PPI
XRCC3,UBR5,PPI
KPNA2,UBR5,PPI
HNRNPC,CCNE2,PPI
KPNA2,CCNE2,PPI
CLTC,IKBKB,PPI
ACTG1,IKBKB,PPI
MLST8,IKBKB,PPI
HSPA8,IKBKB,PPI
HSPA8,HSF1,PPI
HYOU1,HSF1,PPI
TPT1,EIF3F,PPI
UPF1,EIF3F,PPI
MYC,EIF3F,PPI
RPS25,EIF3F,PPI
XRCC3,EIF3F,PPI
TPT1,HSPA8,PPI
TUBB8,HSPA8,PPI
CLTC,HSPA8,PPI
HYOU1,HSPA8,PPI
MYC,HSPA8,PPI
SRRT,HSPA8,PPI
DDX6,HSPA8,PPI
CFL1,HSPA8,PPI
ACTG1,HSPA8,PPI
ACTG1,CFL1,PPI
DDX24,RPS25,PPI
TPT1,RPS25,PPI
RPL28,RPS25,PPI
NUP62,KPNA2,PPI
ACTG1,KPNA2,PPI
MYC,KPNA2,PPI
DDX6,KPNA2,PPI
DDX27,KPNA2,PPI
DDX42,KPNA2,PPI
HNRNPC,KPNA2,PPI
DDX24,KPNA2,PPI
SUDS3,USP36,PPI
SOD2,USP36,PPI
MYC,USP36,PPI
RAD51D,TOP3A,PPI
XRCC3,TOP3A,PPI
UPF1,TOP3A,PPI
DDX24,POLR1B,PPI
GTF2A1,POLR1B,PPI
RAD51D,POLR1B,PPI
XRCC3,POLR1B,PPI
DDX6,POLR1B,PPI
GTF2H3,POLR1B,PPI
DDX42,POLR1B,PPI
DDX27,POLR1B,PPI
GTF2A1,GTF2H3,PPI
DDX24,RRP12,PPI
DDX42,RRP12,PPI
DDX27,RRP12,PPI
RSL1D1,RRP12,PPI
DDX6,RRP12,PPI
MYC,PFDN5,PPI
MLST8,PFDN5,PPI
DDX24,HNRNPC,PPI
MYC,HNRNPC,PPI
DDX6,HNRNPC,PPI
DDX42,HNRNPC,PPI
DDX27,HNRNPC,PPI
UPF1,HNRNPC,PPI
RAD51D,XRCC3,PPI
MYC,TLE3,PPI
TPT1,RPL28,PPI
HYOU1,TUBB8,PPI
ACTG1,TUBB8,PPI
MYC,MLST8,PPI
DDX6,ACTG1,PPI
TPT1,ACTG1,PPI
MYC,ACTG1,PPI
DDX24,RSL1D1,PPI
DDX6,RSL1D1,PPI
DDX27,RSL1D1,PPI
DDX52,RSL1D1,PPI
DDX42,RSL1D1,PPI
MYC,RAD51D,PPI
DDX6,UPF1,PPI
MYC,UPF1,PPI
MCM3,NUP62,PPI
MYC,DDX52,PPI
HYOU1,CLTC,PPI
MCM3,MYC,PPI
NOP16,MYC,PPI
MIS12,MYC,PPI
DDX24,MYC,PPI
DDX27,DDX24,PPI
IRF4,ATF4,CRC_Unidirectional
IRF4,PRDM10,CRC_Unidirectional
MEF2C,IRF4,CRC_Bidirectional
MYC,PRDM10,CRC_Unidirectional
MYC,SIN3A,CRC_Unidirectional
MYC,PRDM1,CRC_Bidirectional
MYC,ATF4,CRC_Bidirectional
MYC,MEF2C,CRC_Bidirectional
MYC,IRF4,CRC_Bidirectional
POU2F1,MYC,CRC_Bidirectional
PRDM1,POU2F1,CRC_Bidirectional
PRDM1,PRDM10,CRC_Unidirectional
PRDM1,IRF4,CRC_Bidirectional
PRDM1,ATF4,CRC_Bidirectional
PRDM1,MEF2C,CRC_Bidirectional
PRDM10,SIN3A,CRC_Bidirectional
SIN3A,MEF2C,CRC_Bidirectional
SIN3A,PRDM1,CRC_Bidirectional
SIN3A,IRF4,CRC_Bidirectional
SIN3A,ATF4,CRC_Bidirectional
SIN3A,POU2F1,CRC_Bidirectional
SMAD7,IRF4,CRC_Bidirectional
SMAD7,PRDM1,CRC_Bidirectional
SMAD7,MYC,CRC_Bidirectional
TCF3,PRDM1,CRC_Bidirectional
TCF3,SIN3A,CRC_Bidirectional
TCF3,MYC,CRC_Bidirectional
TCF3,IRF4,CRC_Bidirectional
TCF3,SMAD7,CRC_Bidirectional
ZNF217,PRDM1,CRC_Bidirectional
ZNF217,MEF2C,CRC_Bidirectional
ZNF217,PRDM10,CRC_Unidirectional
ZNF217,IRF4,CRC_Bidirectional
ZNF217,SIN3A,CRC_Bidirectional
ZNF217,SMAD7,CRC_Bidirectional
ZNF217,ATF4,CRC_Unidirectional
ZNF217,MYC,CRC_Unidirectional
ZNF217,TCF3,CRC_Bidirectional
ABCF1,GBF1,codep
ABCF1,RBX1,codep
ABCF1,RIOK1,codep
ABCF1,SNRNP40,codep
ACO2,EBF1,codep
ACO2,ERCC3,codep
ACO2,MTOR,codep
ACO2,NOP2,codep
