To,From,type
CCNA2,TSC2,PPI
RPTOR,TSC2,PPI
YWHAZ,TSC2,PPI
MED1,TSC2,PPI
PPP1CA,TSC2,PPI
NRAS,TSC2,PPI
EIF4A1,TSC2,PPI
CBFB,TSC2,PPI
SMG1,TSC2,PPI
CDK4,TSC2,PPI
MTOR,TSC2,PPI
RHOA,TSC2,PPI
CIAO1,TSC2,PPI
RNF40,PAF1,PPI
CHAF1A,PAF1,PPI
USP36,PAF1,PPI
MYC,PAF1,PPI
XRCC5,PAF1,PPI
PPCDC,PAF1,PPI
OGT,PAF1,PPI
PTPN11,PAF1,PPI
TTC4,PAF1,PPI
CIT,PAF1,PPI
SUPT4H1,PAF1,PPI
CTR9,PAF1,PPI
SRRM1,PAF1,PPI
NUP98,PAF1,PPI
CIAO1,PAF1,PPI
UPF1,PAF1,PPI
CHD4,PAF1,PPI
RNF20,PAF1,PPI
ELL,PAF1,PPI
GTF2F2,PAF1,PPI
RTF1,PAF1,PPI
WAC,PAF1,PPI
POU5F1B,PAF1,PPI
VHL,HNRNPL,PPI
HMGA1,HNRNPL,PPI
CTBP1,HNRNPL,PPI
POLG,HNRNPL,PPI
ACTG1,HNRNPL,PPI
UBE2J2,HNRNPL,PPI
PCBP1,HNRNPL,PPI
HNRNPR,HNRNPL,PPI
PCBP2,HNRNPL,PPI
GAPDH,HNRNPL,PPI
BDP1,HNRNPL,PPI
HDAC1,HNRNPL,PPI
RBMX,HNRNPL,PPI
MED23,HNRNPL,PPI
XRCC5,HNRNPL,PPI
PMF1,HNRNPL,PPI
OGT,HNRNPL,PPI
BPTF,HNRNPL,PPI
CIT,HNRNPL,PPI
HUWE1,HNRNPL,PPI
HNRNPU,HNRNPL,PPI
RBBP4,HNRNPL,PPI
GTF2F2,HNRNPL,PPI
HNRNPH1,HNRNPL,PPI
HNRNPM,HNRNPL,PPI
NCBP1,HNRNPL,PPI
RBPJ,HNRNPL,PPI
GTF3C1,HNRNPL,PPI
SRF,HNRNPL,PPI
SREBF2,HNRNPL,PPI
TLE3,HNRNPL,PPI
ILF3,HNRNPL,PPI
GNL3,HNRNPL,PPI
TOP1,HNRNPL,PPI
LARP1,HNRNPL,PPI
TXNL4B,HNRNPL,PPI
DHX9,HNRNPL,PPI
CCND1,HNRNPL,PPI
PABPC1,HNRNPL,PPI
DDX39A,HNRNPL,PPI
CHD4,HNRNPL,PPI
PPP1CB,HNRNPL,PPI
TCF3,HNRNPL,PPI
ILF2,HNRNPL,PPI
EP300,HNRNPL,PPI
POU5F1B,HNRNPL,PPI
YBX1,HNRNPL,PPI
KANSL3,HNRNPL,PPI
FBXW11,HNRNPL,PPI
CREBBP,HNRNPL,PPI
RPTOR,HNRNPL,PPI
RPRD2,HNRNPL,PPI
PPP1R12A,HNRNPL,PPI
MAF,HNRNPL,PPI
ARIH1,HNRNPL,PPI
RNF4,HNRNPL,PPI
HNRNPC,HNRNPL,PPI
GNL3L,HNRNPL,PPI
SMG7,HNRNPL,PPI
IGF1R,HNRNPL,PPI
KIF14,HNRNPL,PPI
CNOT1,HNRNPL,PPI
ACTR10,HNRNPL,PPI
GRSF1,HNRNPL,PPI
KIF20A,HNRNPL,PPI
SIN3A,HNRNPL,PPI
PTBP1,HNRNPL,PPI
RPL30,SEC61B,PPI
RPN2,SEC61B,PPI
RNF4,SEC61B,PPI
EXOC6,SEC61B,PPI
KIF14,SEC61B,PPI
SEC61G,SEC61B,PPI
TMED10,SEC61B,PPI
SEC63,SEC61B,PPI
RPS21,SEC61B,PPI
RPL28,SEC61B,PPI
RPL10,SEC61B,PPI
GSPT1,SEC61B,PPI
PELO,SEC61B,PPI
RPS25,SEC61B,PPI
RPL38,SEC61B,PPI
RPL36A,SEC61B,PPI
ZNF131,SEC61B,PPI
KRAS,SEC61B,PPI
RPL9,SEC61B,PPI
RPL26L1,SEC61B,PPI
HNRNPC,DHX33,PPI
CSNK2B,DHX33,PPI
CSTF2,DHX33,PPI
NOL10,DHX33,PPI
DDX24,DHX33,PPI
SF3B2,DHX33,PPI
HSPA8,DHX33,PPI
LSM5,DHX33,PPI
EIF4A1,DHX33,PPI
PTCD3,DHX33,PPI
NCBP1,DHX33,PPI
SART1,DHX33,PPI
DDX21,DHX33,PPI
DDX42,DHX33,PPI
DDX39A,DHX33,PPI
HNRNPH1,DHX33,PPI
IMP4,DHX33,PPI
DDX20,DHX33,PPI
BUD13,DHX33,PPI
TRA2B,DHX33,PPI
RSL1D1,DHX33,PPI
DDX23,DHX33,PPI
DHX38,DHX33,PPI
SNRPB2,DHX33,PPI
KIF14,DHX33,PPI
DDX27,DHX33,PPI
HNRNPM,DHX33,PPI
DDX46,DHX33,PPI
TFIP11,DHX33,PPI
PLRG1,DHX33,PPI
SRSF6,DHX33,PPI
DDX3X,DHX33,PPI
RPS25,DHX33,PPI
EIF4E,DHX33,PPI
PRPF18,DHX33,PPI
SUMO2,DHX33,PPI
ZCRB1,DHX33,PPI
ALYREF,DHX33,PPI
CWC22,DHX33,PPI
DDX51,DHX33,PPI
RBMX2,DHX33,PPI
MYC,DHX33,PPI
DDX6,DHX33,PPI
ISY1,DHX33,PPI
LARP1,DHX33,PPI
PWP1,DHX33,PPI
DDX52,DHX33,PPI
DDX59,DHX33,PPI
RNF113A,DHX33,PPI
DDX55,DHX33,PPI
SYF2,DHX33,PPI
CDC40,DHX33,PPI
RPF1,DHX33,PPI
NOB1,DHX33,PPI
USP36,DHX33,PPI
SRSF10,DHX33,PPI
MNAT1,SUPT4H1,PPI
GTF2H3,SUPT4H1,PPI
MED26,SUPT4H1,PPI
GTF2H4,SUPT4H1,PPI
CCNH,SUPT4H1,PPI
NCBP1,SUPT4H1,PPI
GTF2H1,SUPT4H1,PPI
POLR1B,SUPT4H1,PPI
GTF2F2,SUPT4H1,PPI
ERCC3,SUPT4H1,PPI
HIRA,SUPT4H1,PPI
SART1,SUPT4H1,PPI
RTF1,SUPT4H1,PPI
CTR9,SUPT4H1,PPI
SRBD1,SUPT4H1,PPI
ELL,SUPT4H1,PPI
RNMT,SUPT4H1,PPI
TMED2,GOSR2,PPI
SEC13,GOSR2,PPI
BNIP1,GOSR2,PPI
RNF4,GOSR2,PPI
KRAS,GOSR2,PPI
GBF1,GOSR2,PPI
TMED10,GOSR2,PPI
NRAS,GOSR2,PPI
COG4,GOSR2,PPI
COPG1,GOSR2,PPI
ARF4,GOSR2,PPI
YY1,NFKB1,PPI
GTF3C1,NFKB1,PPI
SKP1,NFKB1,PPI
DPF2,NFKB1,PPI
HMGA1,NFKB1,PPI
CUL1,NFKB1,PPI
DDX21,NFKB1,PPI
MLST8,NFKB1,PPI
MEN1,NFKB1,PPI
CARM1,NFKB1,PPI
TUBB,NFKB1,PPI
UBE2L3,NFKB1,PPI
USP9X,NFKB1,PPI
HSPA8,NFKB1,PPI
DHX9,NFKB1,PPI
EIF4A1,NFKB1,PPI
KAT5,NFKB1,PPI
ARF4,NFKB1,PPI
E2F1,NFKB1,PPI
CFLAR,NFKB1,PPI
HMGB1,NFKB1,PPI
CFL1,NFKB1,PPI
PDCD6,NFKB1,PPI
HDAC1,NFKB1,PPI
IKBKB,NFKB1,PPI
CREBBP,NFKB1,PPI
MAF,NFKB1,PPI
PIK3CA,NFKB1,PPI
DMAP1,NFKB1,PPI
PRMT1,NFKB1,PPI
KPNA2,NFKB1,PPI
RELA,NFKB1,PPI
SRF,NFKB1,PPI
PSMD13,NFKB1,PPI
EP300,NFKB1,PPI
GAPDH,NFKB1,PPI
TXN,NFKB1,PPI
HDAC3,NFKB1,PPI
NFKB2,NFKB1,PPI
SMARCD1,NFKB1,PPI
FBXW11,NFKB1,PPI
SIN3A,NFKB1,PPI
SP1,NFKB1,PPI
HNRNPH1,CCND1,PPI
ZBTB17,CCND1,PPI
PRMT5,CCND1,PPI
OGT,CCND1,PPI
CDK6,CCND1,PPI
MDM2,CCND1,PPI
WDR77,CCND1,PPI
BRD2,CCND1,PPI
RELA,CCND1,PPI
CCNB1,CCND1,PPI
CCNH,CCND1,PPI
CREBBP,CCND1,PPI
SP1,CCND1,PPI
CENPE,CCND1,PPI
NFKB2,CCND1,PPI
CCNA2,CCND1,PPI
HSPA8,CCND1,PPI
CCND2,CCND1,PPI
CBFB,CCND1,PPI
MNAT1,CCND1,PPI
EP300,CCND1,PPI
MCM3,CCND1,PPI
E2F1,CCND1,PPI
SKP1,CCND1,PPI
RUNX2,CCND1,PPI
HDAC1,CCND1,PPI
RPRD1B,CCND1,PPI
HDAC3,CCND1,PPI
CDK4,CCND1,PPI
CCNE2,CCND1,PPI
CUL1,CCND1,PPI
YWHAZ,CCND1,PPI
