CTRL KMS12BM	CTRL MM1R	LOG2_FOLD_CHANGE	P_VALUE
ABHD17A	109.8037795	197.8218257	0.849273894083976	0.000370874937443795
ABHD17B	31.7468843066667	25.6677638566667	-0.306657394673344	0.00599338889087791
ABHD17C	28.6048493466667	9.17948127833333	-1.63977521008222	0.0010350145607927
ABHD2	78.95659923	114.725413866667	0.539053253842639	0.00934928675186687
ABHD3	78.9352410666667	91.36458638	0.210965530788243	0.00448973358743209
ABHD4	15.5692394166667	62.5351062333333	2.00596785561225	0.000106325591885619
ABHD5	7.940653183	10.7750883293333	0.440370105221569	0.0786288975535542
ABHD6	15.6264830366667	6.423806455	-1.28249278454973	0.00306832989932591
ABHD8	9.678977378	16.7221743833333	0.788835918902925	0.000104235011531317
ABI1	37.6460777666667	71.4985205833333	0.925413827970115	0.00174726088818058
ABI2	16.7862094633333	12.6056564833333	-0.413205234907332	0.000301551267273853
ABL1	42.8238235633333	12.38650454	-1.78964449606802	5.06071483190337e-06
ABL2	8.78288062566667	12.9794967733333	0.563468349534311	0.00133377810116727
ABLIM1	14.67982703	14.4656307	-0.0212057432485283	0.760660692191817
ABR	24.0192008733333	100.200218346667	2.06062559429974	0.000715674932115704
ABRACL	118.715525766667	88.5590961433333	-0.422796222006876	0.00129138934323611
ABT1	135.516212333333	74.7841729766667	-0.857660575821575	9.0109216266811e-06
ABTB1	23.2821345766667	23.59754934	0.0194137051902308	0.755373648530358
ABTB2	0.515041247666667	0.998408824333333	0.95494270856465	0.0274761826465985
ACAA1	115.014273566667	40.9398147766667	-1.4902364341121	1.71754334641279e-05
ACAA2	140.0604109	81.7159312933333	-0.777359947137965	0.00012971657108414
ACACA	25.4430267633333	18.5519590333333	-0.455698767962234	0.00583117369387361
ACACB	2.16212126566667	11.12357657	2.36310138715028	0.00331226500981432
ACAD10	11.2237823733333	4.59839687366667	-1.28735604963364	0.000141091911010194
ACAD11	4.30541921566667	1.905806505	-1.17575206765437	0.0065662576321621
ACAD8	47.6777142033333	38.19399566	-0.31996921559952	0.0146683487889563
ACAD9	66.7227910133333	97.00527244	0.539883524975548	0.000123602951618043
ACADM	95.5023533666667	65.02239896	-0.554599500117553	0.00572382550551135
ACADS	22.1983305033333	5.785622833	-1.93990699655058	0.00492396863382642
ACADSB	14.1657028633333	8.78619351666667	-0.689092005688551	8.31908124547332e-05
ACADVL	156.1941832	250.446831566667	0.681163632671814	0.000985316805898614
ACAP1	88.5421951833333	49.1439496066667	-0.849351332868968	2.35866199707947e-05
ACAP2	43.0808565766667	31.8646116933333	-0.43509185530136	0.00283042623009363
ACAP3	73.03620799	35.94761873	-1.02271565742346	0.00198333945123959
ACAT1	264.813057566667	100.467602953333	-1.39824390003206	2.7104787425498e-07
ACAT2	177.8974579	95.22330062	-0.901659353666746	4.13231866759237e-05
ACBD3	43.8691329766667	75.36944296	0.780773536634535	0.00457458848082054
ACBD4	30.1143679433333	14.7881206266667	-1.02601326242768	0.000141658764136438
ACBD5	9.95234355966667	14.6788135666667	0.560627171310651	0.027705007265439
ACBD6	89.59688015	127.852890933333	0.512964380074552	0.000205573633772109
ACCS	1.212707704	8.08745250466667	2.7374534715207	0.0038764722077226
ACD	32.83512952	50.67580717	0.626057017243002	0.000246126646937184
ACER2	1.363402089	0.579433186	-1.234496878783	0.0772078257497008
ACER3	4.854962915	9.711715329	1.00026585820623	0.00656379361109911
ACIN1	110.7844856	61.2630827166667	-0.85466598937801	0.000958532809035222
ACKR4	0.744748358333333	1.31540507866667	0.820682202094399	0.0242619396651162
