siIRF4 KMS12BM	siIRF4 MM1R	LOG2_FOLD_CHANGE	P_VALUE
ADAMTSL2	0.431472049666667	0.441787676666667	0.0340860702957846	0.860184212550117
ADAMTSL5	8.40085039533333	0.749491962666667	-3.48655046306758	0.0015727323139426
ADAP2	4.226780824	0.302279896666667	-3.8056023647881	0.00613057109710577
ADAR	117.222016433333	278.391082233333	1.24786943807987	8.39157616775654e-07
ADAT1	7.568138603	8.71210566	0.20308294064012	0.0191473528082583
ADAT2	18.75103075	9.15431830066667	-1.03444554196308	0.000115616196087825
ADAT3	16.0606691566667	25.54101977	0.669284125321831	0.0197238444059817
ADC	0.226500149	1.19020335066667	2.39362417996147	0.00488889962016809
ADCK1	10.7210424933333	5.15618018933333	-1.05607061095553	0.000340244129008005
ADCK2	59.12098277	65.7372579533333	0.153041028017391	0.1258442518436
ADCK3	148.3285381	150.503078166667	0.0209967980289833	0.580347731996
ADCK4	19.3163581966667	20.26685106	0.0692988272710581	0.516333317971133
ADCK5	61.78681626	26.1834196333333	-1.23864550652584	0.00251269823978439
ADCY1	0.158546784	5.511194646	5.11938456271174	0.00154257662976964
ADCY3	34.96167733	97.77162659	1.48364145298557	0.000439223377136769
ADCY6	5.28334455566667	15.54194589	1.55664373996526	0.000582270169132094
ADCY7	28.04138415	101.309228113333	1.85313612411208	4.12963041550768e-07
ADD1	78.88183586	91.8180812566667	0.219085155303486	0.0139273946314794
ADD3	84.88845482	32.3018446633333	-1.39395179930175	0.00707560460279091
ADH5	91.0175315266667	25.1081271366667	-1.8579900404786	0.000108961872516549
ADI1	127.4247012	233.080700966667	0.871184584312948	0.000118130500022866
ADIPOR1	107.927194233333	173.072425733333	0.681317465703285	0.000124850299240317
ADIPOR2	89.7730470766667	69.80183963	-0.363017304620077	0.0183250764505949
ADK	28.43084236	36.33249997	0.353803793886227	0.00327124839060216
ADM	11.54328886	226.743786133333	4.29593678093255	0.00462474405622205
ADM2	0.185119341666667	1.26815820666667	2.77620719330778	0.00441182927521518
ADM5	9.034867549	0.366000279333333	-4.62558679666608	0.00328599744726076
ADNP	63.9258804433333	51.03038998	-0.325043458663198	0.0354191526112613
ADNP2	32.3289783433333	12.3184292866667	-1.3920096054633	0.00284090703667695
ADO	23.3382910933333	25.53608999	0.129838714763088	0.120525116522126
ADORA2A	2.19389353133333	5.027597915	1.19637575991809	0.00202115559576252
ADORA2A-AS1	1.340633683	2.95775518966667	1.14158756033208	0.0400629821328551
ADORA2B	4.38772671766667	0.53946601	-3.02386970449057	0.00609735067136238
ADPGK	55.0579379	114.400438633333	1.0550701012916	0.000758940343335652
ADPRH	7.51242498733333	2.21953242633333	-1.75902289445541	0.00038389509964514
ADPRHL2	25.9402509066667	54.2277645733333	1.06383926537814	0.000423980670863338
ADPRM	3.718237814	8.13350254866667	1.12925771090816	0.00540283412353409
ADRBK1	470.786402233333	288.7104777	-0.705449185575791	0.00470457965711949
ADRM1	318.984760066667	326.209164166667	0.0323098132225713	0.603414273582686
ADSL	153.943185266667	164.760071833333	0.0979686565226649	0.0879312327268639
ADSS	92.9973790533333	85.7199097366667	-0.11755972644263	0.107894765333095
ADTRP	0.393639209	41.04866871	6.70431769351531	0.00107710428869226
AEBP1	1.92573060166667	0.794052415333333	-1.27809974498199	0.0605813117376713
AEBP2	23.9067807	10.0447359376667	-1.25098023094008	0.00560799297053521
AEN	27.3350496266667	87.29544901	1.67515444877769	0.00025172180322548
AES	635.1204064	49.4414516766667	-3.68323711585009	0.000218114112933323
AFAP1-AS1	0.127042365	23.7931396866667	7.54909217391912	6.77854270356217e-05
AFF1	17.7371835533333	38.7809584133333	1.12857151234309	2.47133164703932e-05
AFF4	10.3005457666667	28.5366111866667	1.47009324081645	0.000782595689619352
AFG3L1P	10.49325402	10.0474244306667	-0.0626364089980252	0.41894771028192
AFG3L2	152.014393233333	99.7328173533333	-0.608067718784841	0.000675667501315592
AFMID	35.62615682	25.1661247433333	-0.501453783514824	0.00321201756134231
AFTPH	32.9823892966667	58.25186824	0.82060840659832	0.00117753225960889
AGA	10.1202676893333	23.6458547766667	1.22433984388659	0.00126989555632254
AGAP1	2.66648482766667	22.7394017966667	3.09218327768141	0.000716072237726536
