CTRL KMS12BM	siIRF4 MM1S	LOG2_FOLD_CHANGE	P_VALUE
ACAT1	264.813057566667	127.770811333333	-1.05141596446505	7.64725303890326e-05
ACAT2	177.8974579	36.3649296	-2.29042620662682	8.07061298460397e-07
ACBD3	43.8691329766667	78.9787482866667	0.84825830966821	0.000175184493423119
ACBD4	30.1143679433333	13.57544962	-1.14945199817518	9.93762700986858e-05
ACBD5	9.95234355966667	26.3780175466667	1.40622794821903	0.00402090830671011
ACBD6	89.59688015	131.6344759	0.555016987264974	0.000267708138592419
ACCS	1.212707704	6.65987219366667	2.45726262844366	0.00506484380774521
ACD	32.83512952	24.78595706	-0.405717179384231	0.00150515702514077
ACER2	1.363402089	0.329153282333333	-2.05037960908053	0.0450406257154541
ACER3	4.854962915	11.10405785	1.1935548085469	0.00107136874180308
ACIN1	110.7844856	50.89567604	-1.1221408595653	1.12466589132152e-06
ACKR4	0.744748358333333	1.30932555133333	0.813998910849297	0.0130076488747694
ACLY	202.818205166667	102.717125833333	-0.98151041637239	2.35064371732723e-05
ACN9	56.96317699	18.9630289866667	-1.58684018554253	8.9310694093203e-06
ACO1	37.2328315166667	18.64177022	-0.998036471137988	0.000809995779994212
ACO2	92.34161372	143.234949833333	0.63333070863686	0.00937293332666768
ACOT11	0.756349511	1.13956369866667	0.591356603155318	0.137272854806147
ACOT13	29.7728199933333	18.1129448133333	-0.716974756274966	0.00180034853532951
ACOT2	17.66168198	0.198130253333333	-6.4780297437318	0.000434800738270951
ACOT7	107.758590533333	45.4104228266667	-1.24670751059966	0.000550461554480613
ACOT8	58.7569115	41.3513335833333	-0.506824706862768	0.00990237512031006
ACOT9	60.0532701466667	27.0436350233333	-1.15095372671988	0.00135722954905624
ACOX1	4.353348888	12.33925397	1.50305762096143	0.000145361549915896
ACOX3	5.27539152566667	13.38605234	1.34338048448949	0.00138495462957474
ACOXL	0.728421503666667	28.66187048	5.2982154404283	0.000715707802646839
ACP1	166.764306633333	192.8723171	0.209835553838332	0.00101889582706942
ACP2	33.4386622333333	28.6612049866667	-0.222417865993726	0.099556453029243
ACP5	20.22794151	1.637387704	-3.62688164031834	3.99443405362927e-07
ACP6	27.13964812	70.7534523533333	1.38239852914704	6.09187701423493e-05
ACPT	3.27151761766667	0.280402574333333	-3.54438854018812	0.0140964044407868
ACRC	2.55422553466667	3.43499874066667	0.427423651435471	0.0266127976313606
ACRV1	1.78902280033333	1.04802781033333	-0.771494773484263	0.0481538615980035
ACSBG2	1.00415767433333	0.498204023666667	-1.01117724276089	0.0715609067126108
ACSF2	18.16955885	7.53278216666667	-1.27026867678228	0.00109588476163958
ACSF3	7.99603442766667	15.27000948	0.933344368930204	0.000211809721373252
ACSL1	7.60023288866667	9.36814400366667	0.301719625850158	0.105850600318459
ACSL3	50.86472418	35.07407186	-0.536260534574257	0.000543073792793622
ACSL4	32.3736140933333	27.4635675933333	-0.23729938496024	0.015847942427788
ACSL5	5.59629816166667	55.48571599	3.30957168379134	0.000320413780276551
ACSM3	4.720362509	4.953829869	0.0696466642022322	0.551853809774264
ACSS1	214.461678833333	279.7122941	0.383223783254192	0.00206103856093919
ACSS2	18.39015289	21.65666382	0.235877540911027	0.062611270380371
ACTA1	0.362286649333333	0.811786750333333	1.16396915127095	0.0622330397577576
