CTRL KMS12BM	CTRL KMS12PE	LOG2_FOLD_CHANGE	P_VALUE
ABHD17B	31.7468843066667	44.6737999866667	0.492813966292212	0.00176460174901027
ABHD17C	28.6048493466667	22.66864953	-0.335561300117808	0.00377974154293812
ABHD2	78.95659923	28.8740321266667	-1.4512872648473	7.10346001134984e-05
ABHD3	78.9352410666667	32.1252063766667	-1.29696382068701	0.00035187578222216
ABHD4	15.5692394166667	18.1953141333333	0.224868490751967	0.146056196714041
ABHD5	7.940653183	9.89320682433333	0.31718055224134	0.00519185874492958
ABHD6	15.6264830366667	23.3527338633333	0.57959833784973	5.07616657247133e-05
ABHD8	9.678977378	6.13615560033333	-0.6575195620555	0.0796444127331671
ABI1	37.6460777666667	137.705805566667	1.87101791590803	0.000239002610013328
ABI2	16.7862094633333	30.99562087	0.884787914330328	0.000999332984396604
ABL1	42.8238235633333	44.1893291	0.0452844139007515	0.623878920767364
ABL2	8.78288062566667	15.9063749033333	0.85683897954827	0.017000580796553
ABLIM1	14.67982703	5.36587465466667	-1.45194971009021	0.000363413584318798
ABR	24.0192008733333	0.946206295	-4.66588958371783	0.00023424225342728
ABRACL	118.715525766667	215.017982066667	0.856948693401985	0.00386605357251044
ABT1	135.516212333333	111.1418329	-0.286063519281526	0.00134984644412778
ABTB1	23.2821345766667	3.779085602	-2.62311423166067	0.00117739791608124
ABTB2	0.515041247666667	1.02312492533333	0.990222429497249	0.0126534685658985
ACAA1	115.014273566667	49.2417169866667	-1.22385994196076	1.58455847189808e-05
ACAA2	140.0604109	88.4084836833333	-0.663792502606364	0.000156247884004505
ACACA	25.4430267633333	62.06647504	1.28654390554678	0.00474213790707473
ACACB	2.16212126566667	7.293132837	1.75409123059191	0.00347139275045543
ACAD10	11.2237823733333	7.84801375166667	-0.516159466171199	0.00951459897979008
ACAD11	4.30541921566667	1.05998596666667	-2.02210855384011	0.00466153397413052
ACAD8	47.6777142033333	52.09373815	0.127794895109277	0.0605538912754393
ACAD9	66.7227910133333	37.3165305066667	-0.838364779674237	0.00130017296898946
ACADM	95.5023533666667	110.2046262	0.206576597472913	0.0117232285456308
ACADS	22.1983305033333	12.78358755	-0.796158411166797	0.00444392409016396
ACADSB	14.1657028633333	7.65702933466667	-0.88754549655591	3.04378415693915e-05
ACADVL	156.1941832	79.0757144733333	-0.982034136222609	0.00130990120450899
ACAP1	88.5421951833333	26.40033499	-1.74580890606479	1.73927093345488e-06
ACAP2	43.0808565766667	49.8513041366667	0.21058431151515	0.023536490669576
ACAP3	73.03620799	28.2756024633333	-1.36905409933667	0.000338645210777547
