FEATURE_ID,GENE_SYMBOL,MS9_S9_L002_R1_001.fastq.gz,MS6_S6_L002_R1_001.fastq.gz,MS5_S5_L002_R1_001.fastq.gz,MS4_S4_L002_R1_001.fastq.gz,MS3_S3_L002_R1_001.fastq.gz,MS10_S10_L002_R1_001.fastq.gz
TOMM20,TOMM20,111.17182854262784,137.5412103085669,128.71695198155186,143.88563974310875,133.46943066772585,218.41460268414735
SNORA14B,SNORA14B,0,0,2.9738685101624345,0,0,0
RBM34,RBM34,42.96229947689497,55.39426949326284,46.630769962474126,34.95292383395492,34.83369647354357,53.794700441686615
ARID4B,ARID4B,41.781612312551495,35.09190044065232,22.235210485536058,49.04580673354417,27.443707243219407,50.479282296809444
MIR4753,MIR4753,0,0,0,0,0,0
GGPS1,GGPS1,14.115351248119985,19.336343723758166,10.227652746913396,45.57245687752461,25.89780491380418,34.19559867398335
TBCE,TBCE,13.486585835416951,48.69565306265283,27.319748992879777,16.63299038135669,27.17680131996436,18.998731242914097
B3GALNT2,B3GALNT2,10.590638468477454,20.74176432182029,19.07807887009878,15.123580407011666,18.809303967537275,19.23691462595394
GNG4,GNG4,0,0.004596993181880915,0.3778918005195111,0,0,0
LYST,LYST,1.6279513898394997,3.0179264359940916,0.5496542309737753,2.6038383382481807,1.995961224236116,5.726468695691466
MIR1537,MIR1537,0,0,0,0,0,0
NID1,NID1,0.3471680113959759,0,0,0,0,0
GPR137B,GPR137B,0,0,0.2681009586447747,0,1.5749970948846739,0
ERO1LB,ERO1LB,16.711852300059476,5.831817952721956,0.288860127979227,28.17562329989051,8.321580644702836,30.202419975691473
EDARADD,EDARADD,0.017808690011162483,0.19425305494585152,0.09677819600974565,0,0.016400112530300114,0
LGALS8,LGALS8,6.017305377731168,15.724225385958073,4.683934101599712,24.67630192027013,23.856808492442592,10.706128964210016
LGALS8-AS1,LGALS8-AS1,0,0,0,0.4992181865833017,0,0
HEATR1,HEATR1,17.947603670705004,14.359680269348589,20.885814670108584,8.764332323092122,18.925012693329283,7.099682289433229
ACTN2,ACTN2,0,0,0.3285487181659619,0,0,0
MTR,MTR,7.791136578536638,14.138543230942567,11.030824933702355,11.062836518349942,7.74663928774126,10.819499859368436
MT1HL1,MT1HL1,0,0,0,0,0,0
RYR2,RYR2,0,0.10892781106611998,0,0.009549465171959703,0,0.007188753693041495
LOC100130331,LOC100130331,0.01719322168437671,0,0.02335838538891221,0.010001727842503715,0.015833324641252946,0
ZP4,ZP4,0,0,2.670187294988575,0,0,0
LINC01139,LINC01139,0,0,0,0,0,0
CHRM3,CHRM3,0,6.645232478421534,3.058076411344381,0,0,0
CHRM3-AS2,CHRM3-AS2,0,0,0,0,0,0
CHRM3-AS1,CHRM3-AS1,0,0,0,0,0,0
RPS7P5,RPS7P5,0,0,0,0,0,0
FMN2,FMN2,0,0,0.28385034352290656,0,0,0
GREM2,GREM2,0,0.531233499444365,0,0,0,0
RGS7,RGS7,0,0,0,0,0,0
MIR3123,MIR3123,0,0,0,0,0,0
FH,FH,47.34006707083504,198.91141730635178,168.04087506953783,57.00301838464975,58.0392691556373,126.90676150608509
KMO,KMO,0.3060889732074281,0,0.6722854700924814,0,0.4134223581793164,0.27925359425233587
OPN3,OPN3,9.655672797195793,1.929786997981571,9.554240794168237,8.609485046798055,7.3316354128142205,10.526273256439955
CHML,CHML,6.965128371289038,10.419469539086686,15.175429935745134,5.330138183827915,4.432535423999219,3.7710664623931995
WDR64,WDR64,0.7376954384028908,0,0,3.082626358780822,0.735959740904921,1.5614071722709826
EXO1,EXO1,0,15.976184554180522,20.873773771504084,0,0,1.6820842669664617
BECN1P1,BECN1P1,0,0,0.5632326723792489,0,0,0
MAP1LC3C,MAP1LC3C,0,0,0,0,0,0
PLD5,PLD5,0,0,0,0,0,0
LINC01347,LINC01347,2.3683281695517606,1.897999446813021,1.294641861018217,1.622280777792644,1.3550625059757753,3.4213095701117844
CEP170,CEP170,3.358982091962632,20.49603884404309,10.933053529906969,7.3047690005810155,5.274391222416272,8.708327077302085
SDCCAG8,SDCCAG8,11.579309598285805,21.181370678442384,11.42202285149927,26.14370253061787,15.46577612311916,21.892474470342343
MIR4677,MIR4677,0,0,0,0,0,0
AKT3,AKT3,3.7985637405460397,10.777591338260537,10.942779900770452,0.889848589720098,0.4246268612922862,7.660238400927161
LOC339529,LOC339529,0,0,0,0,0,0
ZBTB18,ZBTB18,0.3332019706274556,5.954721990730612,5.327095781870552,10.695369266796954,4.2739456049893745,7.5823678113638096
C1orf100,C1orf100,0,0,0,0,0,0
ADSS,ADSS,37.641073264344676,38.358024948958196,53.49989644140007,43.198062943056684,26.53590084106465,53.30345228333559
C1orf101,C1orf101,2.3382297023015446,0.48930199688719184,0,1.3602068038783817,1.2702847336634524,1.4548954885321381
DESI2,DESI2,39.44314969747956,27.361231520323614,22.422936853817394,38.12211606636122,29.987357275100276,46.358962885124946
COX20,COX20,37.770373037997864,56.39945499226256,55.8065400155586,50.073157239025555,38.981844999071,40.40638105377741
HNRNPU-AS1,HNRNPU-AS1,22.01337290733812,6.4617778174771345,10.634547361775567,19.601998819178494,27.627896131324047,15.891844356428997
HNRNPU,HNRNPU,208.12657292944147,212.23255229886198,243.75900506163111,142.88639181951083,115.32123136495397,184.23325048711604
LOC101928068,LOC101928068,0.6001977987667708,1.237631528056909,1.268427009637868,0,0.15353477297449977,0.9978076379088925
EFCAB2,EFCAB2,2.8126649934214205,1.299285237067915,0.6734140820929153,2.0452471250560724,0.19108013539379493,1.5901242466761027
KIF26B,KIF26B,0,0,0,0,0,0
SMYD3,SMYD3,7.114774955007485,19.053130352854446,30.060422121325914,12.220290332682373,8.246523250652576,12.623894627331804
LOC255654,LOC255654,0,0.025331149151609354,0,0,0,0
TFB2M,TFB2M,23.52515984949361,33.935343424020054,38.29578511585026,16.310208477767116,31.637837241585352,17.653180135506858
CNST,CNST,11.44296352443521,19.960217101586025,9.688492771450209,18.880193699819703,8.50144812468425,16.016408212862636
SCCPDH,SCCPDH,0,29.41160323983571,19.11140622729181,11.605540261693072,1.7592582934725494,0
LINC01341,LINC01341,0,0.30442492337499544,0,0,0,0
AHCTF1,AHCTF1,11.205175758848222,12.624098524384152,15.03285034642258,15.495522476419808,7.1544393582303885,25.897753789200053
ZNF695,ZNF695,0,1.7748799745812933,0.4178358674966824,0.008321458867897794,0.02634671965064721,0
ZNF670-ZNF695,ZNF670-ZNF695,0,0,0,0,0,0
ZNF670,ZNF670,2.303760647322987,3.7344316903623653,3.268949837061916,0.4988355805202991,1.897603968587515,4.932190551892766
ZNF669,ZNF669,10.610084719998886,8.855053306860968,6.285676623752417,5.209233251304018,4.623050913244626,4.782999147486482
C1orf229,C1orf229,0,0,0,0,0,0
ZNF124,ZNF124,4.859817456641765,3.118221189767865,2.0441040140115,2.617016088725682,4.2537372802302,1.9601834987690088
MIR3916,MIR3916,285.22000068164823,48.059118507425666,26.402430293318325,151.62193803795526,183.70446475389886,120.14701704165859
VN1R5,VN1R5,0,0,0,0,0,0
ZNF496,ZNF496,3.1201661057160166,10.540095022938504,8.703475816116768,10.99345600481128,4.972368220327582,14.463229128792124
NLRP3,NLRP3,0,0,0,0,0,0
OR2B11,OR2B11,0,0,0,0,0,0
OR2W5,OR2W5,0,0,0,0,0,0
GCSAML,GCSAML,0,0,0,0,0,0
GCSAML-AS1,GCSAML-AS1,0,0,0,0,0,0
OR2C3,OR2C3,0,0,0,0,0,0
OR2G2,OR2G2,0,0,0,0,0,0
OR2G3,OR2G3,0,0,0,0,0,0
OR13G1,OR13G1,0,0,0,0,0,0
OR6F1,OR6F1,0,0,0,0,0,0
OR1C1,OR1C1,0,0,0,0,0,0
OR14A16,OR14A16,0,0,0,0,0,0
OR11L1,OR11L1,0,0,0,0,0,0
TRIM58,TRIM58,0,0.41677502808947336,0,0.44858408913479136,0,0
OR2W3,OR2W3,0,0,0,0,0,0
OR2T8,OR2T8,0,0,0,0,0,0
OR2L13,OR2L13,0,1.594248947560841,0,0,0,0
OR2L8,OR2L8,0,0,0,0,0,0
OR2AK2,OR2AK2,0,0,0,0.6201468156314307,0,0
OR2L1P,OR2L1P,0,0,0,0,0,0
OR2L5,OR2L5,0,0,0,0,0,0
OR2L2,OR2L2,0,0,0,0,0,0
OR2L3,OR2L3,0,0,0,0,0,0
OR2M1P,OR2M1P,0,0,0,0,0,0
OR2M5,OR2M5,0,0,0,0,0,0
OR2M2,OR2M2,0,0,0,0,0,0
OR2M3,OR2M3,0,0,0,0,0,0
OR2M4,OR2M4,0,0,0,0,0,0
OR2T33,OR2T33,0,0,0,0,0,0
OR2T12,OR2T12,0,0,0,0,0,0
OR2M7,OR2M7,0,0,0,0,0,0
OR14C36,OR14C36,0,0,0,0,0,0
OR2T4,OR2T4,0,0,0,0,0,0
OR2T6,OR2T6,0,0,0,0,0,0
OR2T1,OR2T1,0,0,0,0,0,0
OR2T2,OR2T2,0,0,0,0,0,0
OR2T3,OR2T3,0,0,0,0,0,0
OR2T5,OR2T5,0,0,0,0,0,0
OR2G6,OR2G6,0,0,0,0,0,0
OR2T29,OR2T29,0,0,0,0,0,0
OR2T34,OR2T34,0,0,0,0,0,0
