GENE	TF	ENHANCER_LIST
ESYT1	0	1_MACS_peak_6135_lociStitched,3_MACS_peak_6131_lociStitched,1_MACS_peak_6130_lociStitched
EZH2	0	1_MACS_peak_26776_lociStitched
F12	0	2_MACS_peak_23504_lociStitched
FAF1	0	2_MACS_peak_975_lociStitched,4_MACS_peak_970_lociStitched
FAM100A	0	2_MACS_peak_9758_lociStitched
FAM126B	0	6_MACS_peak_16622_lociStitched
FAM188A	0	2_MACS_peak_3095_lociStitched
FAM193B	0	1_MACS_peak_23514_lociStitched
FAM200A	0	1_MACS_peak_26261_lociStitched
FAM46C	0	5_MACS_peak_1552_lociStitched,3_MACS_peak_1558_lociStitched,6_MACS_peak_1544_lociStitched
FAM54A	0	1_MACS_peak_25130_lociStitched
FAM57B	0	1_MACS_peak_10061_lociStitched
FAM69A	0	3_MACS_peak_1341_lociStitched
FAM72A	0	3_MACS_peak_2503_lociStitched
FAM72D	0	3_MACS_peak_1621_lociStitched
FAM83D	0	2_MACS_peak_17440_lociStitched
FAU	0	1_MACS_peak_4660_lociStitched
FBRS	0	3_MACS_peak_10108_lociStitched
FBXO10	0	2_MACS_peak_28479_lociStitched
FBXO18	0	6_MACS_peak_2977_lociStitched
FBXW5	0	2_MACS_peak_29407_lociStitched
FCHSD2	0	2_MACS_peak_4935_lociStitched,1_MACS_peak_4933_lociStitched
FEZF1	1	2_MACS_peak_26527_lociStitched
FGF22	0	3_MACS_peak_12959_lociStitched
FGFR4	0	2_MACS_peak_23488_lociStitched
FIBP	0	2_MACS_peak_4714_lociStitched
FKBP5	0	1_MACS_peak_24296_lociStitched
FLAD1	0	2_MACS_peak_1880_lociStitched,2_MACS_peak_1883_lociStitched
FLI1	1	1_MACS_peak_5400_lociStitched,2_MACS_peak_5401_lociStitched,2_MACS_peak_5403_lociStitched
FLJ10038	0	1_MACS_peak_8876_lociStitched
FLJ25328	0	2_MACS_peak_13582_lociStitched
FLJ43663	0	2_MACS_peak_26632_lociStitched
FLJ45244	0	1_MACS_peak_8318_lociStitched
FLOT1	0	2_MACS_peak_24108_lociStitched
FMNL1	0	1_MACS_peak_11603_lociStitched,1_MACS_peak_11606_lociStitched
FMOD	0	3_MACS_peak_2446_lociStitched,4_MACS_peak_2442_lociStitched
FNBP1	0	3_MACS_peak_29267_lociStitched
FNDC3B	0	8_MACS_peak_20365_lociStitched
FOSL1	1	2_MACS_peak_4714_lociStitched
FPGS	0	2_MACS_peak_29166_lociStitched
FRMD8	0	4_MACS_peak_4673_lociStitched
FSCN2	0	2_MACS_peak_12371_lociStitched
FSIP2	0	1_MACS_peak_16462_lociStitched
FSTL3	0	3_MACS_peak_12959_lociStitched
GABPB1	0	1_MACS_peak_8876_lociStitched
GABRR2	0	5_MACS_peak_24755_lociStitched
GALK1	0	5_MACS_peak_12146_lociStitched
GATS	0	1_MACS_peak_26279_lociStitched
GCN1L1	0	1_MACS_peak_6755_lociStitched,2_MACS_peak_6753_lociStitched
GCNT7	0	3_MACS_peak_17684_lociStitched
GDPD3	0	1_MACS_peak_10061_lociStitched
GFOD1	0	1_MACS_peak_23825_lociStitched
GGCX	0	1_MACS_peak_15626_lociStitched
GIMAP8	0	1_MACS_peak_26817_lociStitched
GLRX5	0	1_MACS_peak_8339_lociStitched,1_MACS_peak_8334_lociStitched,2_MACS_peak_8340_lociStitched
GMIP	0	1_MACS_peak_13780_lociStitched
GNB2L1	0	2_MACS_peak_23592_lociStitched
GNL1	0	1_MACS_peak_24098_lociStitched
GNN	0	3_MACS_peak_6518_lociStitched
GOLPH3	0	6_MACS_peak_22117_lociStitched,1_MACS_peak_22113_lociStitched
GP9	0	2_MACS_peak_19953_lociStitched
GPANK1	0	2_MACS_peak_24147_lociStitched
GPBP1L1	0	2_MACS_peak_932_lociStitched
GPC2	0	1_MACS_peak_26279_lociStitched
GPR19	0	3_MACS_peak_5693_lociStitched
GPR44	0	1_MACS_peak_4495_lociStitched
GPR68	0	1_MACS_peak_8247_lociStitched
GPSM3	0	1_MACS_peak_24188_lociStitched
GRB7	0	2_MACS_peak_11405_lociStitched
GRK6	0	2_MACS_peak_23504_lociStitched
GSDMD	0	1_MACS_peak_28069_lociStitched
GSK3B	0	2_MACS_peak_19828_lociStitched
GSPT1	0	1_MACS_peak_9849_lociStitched
GTPBP1	0	2_MACS_peak_18657_lociStitched
GTSF1L	0	3_MACS_peak_17481_lociStitched
H1FX	0	2_MACS_peak_19978_lociStitched
H3F3B	0	5_MACS_peak_12146_lociStitched
HBP1	1	2_MACS_peak_26431_lociStitched
HCFC1	0	3_MACS_peak_30260_lociStitched,4_MACS_peak_30267_lociStitched
HCG11	0	2_MACS_peak_23986_lociStitched
HCG26	0	4_MACS_peak_24135_lociStitched
HCP5	0	4_MACS_peak_24135_lociStitched
HDAC7	0	2_MACS_peak_5959_lociStitched
HEMGN	0	2_MACS_peak_28867_lociStitched
HFE	0	2_MACS_peak_23943_lociStitched,1_MACS_peak_23938_lociStitched
HFE2	0	2_MACS_peak_1660_lociStitched,1_MACS_peak_1659_lociStitched
HIPK2	0	3_MACS_peak_26692_lociStitched,1_MACS_peak_26695_lociStitched
HIST1H1A	0	3_MACS_peak_23934_lociStitched,1_MACS_peak_23938_lociStitched,1_MACS_peak_23932_lociStitched
HIST1H1B	0	3_MACS_peak_24037_lociStitched,3_MACS_peak_24031_lociStitched,1_MACS_peak_24034_lociStitched
HIST1H1C	0	3_MACS_peak_23934_lociStitched,1_MACS_peak_23938_lociStitched,1_MACS_peak_23932_lociStitched
HIST1H1D	0	2_MACS_peak_23952_lociStitched,2_MACS_peak_23960_lociStitched,2_MACS_peak_23962_lociStitched,1_MACS_peak_23964_lociStitched,1_MACS_peak_23954_lociStitched,2_MACS_peak_23955_lociStitched
HIST1H1E	0	2_MACS_peak_23952_lociStitched,2_MACS_peak_23943_lociStitched,3_MACS_peak_23945_lociStitched,1_MACS_peak_23954_lociStitched
HIST1H1T	0	2_MACS_peak_23943_lociStitched,3_MACS_peak_23945_lociStitched
HIST1H2AB	0	3_MACS_peak_23934_lociStitched,1_MACS_peak_23938_lociStitched,1_MACS_peak_23932_lociStitched
HIST1H2AC	0	2_MACS_peak_23943_lociStitched,3_MACS_peak_23945_lociStitched
HIST1H2AD	0	2_MACS_peak_23952_lociStitched,2_MACS_peak_23960_lociStitched,3_MACS_peak_23945_lociStitched,1_MACS_peak_23954_lociStitched,2_MACS_peak_23955_lociStitched
HIST1H2AE	0	2_MACS_peak_23952_lociStitched,2_MACS_peak_23960_lociStitched,1_MACS_peak_23954_lociStitched,2_MACS_peak_23955_lociStitched
HIST1H2AG	0	4_MACS_peak_23998_lociStitched,5_MACS_peak_24002_lociStitched
HIST1H2AH	0	4_MACS_peak_23998_lociStitched,5_MACS_peak_24002_lociStitched
HIST1H2AI	0	3_MACS_peak_24031_lociStitched
HIST1H2AJ	0	3_MACS_peak_24031_lociStitched,1_MACS_peak_24034_lociStitched
HIST1H2AK	0	3_MACS_peak_24031_lociStitched,1_MACS_peak_24034_lociStitched
HIST1H2AL	0	3_MACS_peak_24037_lociStitched,3_MACS_peak_24031_lociStitched,1_MACS_peak_24034_lociStitched
HIST1H2AM	0	3_MACS_peak_24037_lociStitched,1_MACS_peak_24034_lociStitched
HIST1H2BB	0	3_MACS_peak_23934_lociStitched,1_MACS_peak_23938_lociStitched,1_MACS_peak_23932_lociStitched
HIST1H2BC	0	2_MACS_peak_23943_lociStitched,3_MACS_peak_23945_lociStitched
HIST1H2BD	0	2_MACS_peak_23952_lociStitched,2_MACS_peak_23943_lociStitched,3_MACS_peak_23945_lociStitched,1_MACS_peak_23954_lociStitched
HIST1H2BE	0	2_MACS_peak_23952_lociStitched,3_MACS_peak_23945_lociStitched,1_MACS_peak_23954_lociStitched,2_MACS_peak_23955_lociStitched
HIST1H2BF	0	2_MACS_peak_23952_lociStitched,2_MACS_peak_23960_lociStitched,3_MACS_peak_23945_lociStitched,1_MACS_peak_23954_lociStitched,2_MACS_peak_23955_lociStitched
HIST1H2BG	0	2_MACS_peak_23952_lociStitched,2_MACS_peak_23960_lociStitched,1_MACS_peak_23954_lociStitched,2_MACS_peak_23955_lociStitched
HIST1H2BH	0	2_MACS_peak_23960_lociStitched,2_MACS_peak_23962_lociStitched,1_MACS_peak_23964_lociStitched,1_MACS_peak_23954_lociStitched,2_MACS_peak_23955_lociStitched
HIST1H2BI	0	2_MACS_peak_23960_lociStitched,2_MACS_peak_23962_lociStitched,1_MACS_peak_23964_lociStitched
HIST1H2BJ	0	4_MACS_peak_23998_lociStitched,5_MACS_peak_24002_lociStitched
HIST1H2BK	0	4_MACS_peak_23998_lociStitched,5_MACS_peak_24002_lociStitched
HIST1H2BL	0	3_MACS_peak_24031_lociStitched
HIST1H2BM	0	3_MACS_peak_24031_lociStitched,1_MACS_peak_24034_lociStitched
HIST1H2BN	0	3_MACS_peak_24031_lociStitched,1_MACS_peak_24034_lociStitched
HIST1H2BO	0	3_MACS_peak_24037_lociStitched,1_MACS_peak_24034_lociStitched
HIST1H3A	0	3_MACS_peak_23934_lociStitched,1_MACS_peak_23938_lociStitched,1_MACS_peak_23932_lociStitched
HIST1H3B	0	3_MACS_peak_23934_lociStitched,1_MACS_peak_23938_lociStitched,1_MACS_peak_23932_lociStitched
HIST1H3C	0	3_MACS_peak_23934_lociStitched,1_MACS_peak_23938_lociStitched,1_MACS_peak_23932_lociStitched
HIST1H3D	0	2_MACS_peak_23952_lociStitched,2_MACS_peak_23960_lociStitched,3_MACS_peak_23945_lociStitched,1_MACS_peak_23954_lociStitched,2_MACS_peak_23955_lociStitched
HIST1H3E	0	2_MACS_peak_23952_lociStitched,2_MACS_peak_23960_lociStitched,2_MACS_peak_23962_lociStitched,1_MACS_peak_23954_lociStitched,2_MACS_peak_23955_lociStitched
HIST1H3F	0	2_MACS_peak_23952_lociStitched,2_MACS_peak_23960_lociStitched,2_MACS_peak_23962_lociStitched,1_MACS_peak_23964_lociStitched,1_MACS_peak_23954_lociStitched,2_MACS_peak_23955_lociStitched
HIST1H3G	0	2_MACS_peak_23960_lociStitched,2_MACS_peak_23962_lociStitched,1_MACS_peak_23964_lociStitched
HIST1H3H	0	3_MACS_peak_24031_lociStitched
HIST1H3I	0	3_MACS_peak_24037_lociStitched,3_MACS_peak_24031_lociStitched,1_MACS_peak_24034_lociStitched
HIST1H3J	0	3_MACS_peak_24037_lociStitched,1_MACS_peak_24034_lociStitched
HIST1H4A	0	3_MACS_peak_23934_lociStitched,1_MACS_peak_23938_lociStitched,1_MACS_peak_23932_lociStitched
HIST1H4B	0	3_MACS_peak_23934_lociStitched,1_MACS_peak_23938_lociStitched,1_MACS_peak_23932_lociStitched
HIST1H4C	0	2_MACS_peak_23943_lociStitched,1_MACS_peak_23938_lociStitched
HIST1H4D	0	2_MACS_peak_23952_lociStitched,3_MACS_peak_23945_lociStitched,1_MACS_peak_23954_lociStitched,2_MACS_peak_23955_lociStitched
HIST1H4E	0	2_MACS_peak_23952_lociStitched,2_MACS_peak_23960_lociStitched,3_MACS_peak_23945_lociStitched,1_MACS_peak_23954_lociStitched,2_MACS_peak_23955_lociStitched
HIST1H4F	0	2_MACS_peak_23952_lociStitched,2_MACS_peak_23960_lociStitched,2_MACS_peak_23962_lociStitched,1_MACS_peak_23964_lociStitched,1_MACS_peak_23954_lociStitched,2_MACS_peak_23955_lociStitched
HIST1H4G	0	2_MACS_peak_23952_lociStitched,2_MACS_peak_23960_lociStitched,2_MACS_peak_23962_lociStitched,1_MACS_peak_23964_lociStitched,1_MACS_peak_23954_lociStitched,2_MACS_peak_23955_lociStitched
HIST1H4H	0	2_MACS_peak_23960_lociStitched,2_MACS_peak_23962_lociStitched,1_MACS_peak_23964_lociStitched
HIST1H4I	0	4_MACS_peak_23998_lociStitched,5_MACS_peak_24002_lociStitched
