GENE	TF	ENHANCER_LIST
BLK	0	6_MACS_peak_29642_lociStitched
BLOC1S3	0	2_MACS_peak_15347_lociStitched
BMF	0	3_MACS_peak_9532_lociStitched,3_MACS_peak_9535_lociStitched
BMP8A	0	2_MACS_peak_790_lociStitched
BOD1	0	3_MACS_peak_25681_lociStitched
BOLA1	0	2_MACS_peak_1796_lociStitched,3_MACS_peak_1792_lociStitched
BRD2	0	2_MACS_peak_26439_lociStitched
BRP44	0	2_MACS_peak_2274_lociStitched
BRWD1	0	1_MACS_peak_19627_lociStitched
BTG2	0	2_MACS_peak_2638_lociStitched,1_MACS_peak_2632_lociStitched,2_MACS_peak_2633_lociStitched,2_MACS_peak_2635_lociStitched
BTN2A2	0	5_MACS_peak_26248_lociStitched
BTN3A1	0	5_MACS_peak_26248_lociStitched
BTN3A2	0	5_MACS_peak_26248_lociStitched
BUB1	0	2_MACS_peak_17005_lociStitched
BZRAP1	0	1_MACS_peak_13026_lociStitched,1_MACS_peak_13025_lociStitched
C10ORF10	0	4_MACS_peak_3706_lociStitched
C10ORF25	0	4_MACS_peak_3706_lociStitched
C10ORF26	0	4_MACS_peak_4346_lociStitched,1_MACS_peak_4350_lociStitched
C11ORF2	0	3_MACS_peak_5400_lociStitched
C11ORF82	0	2_MACS_peak_5782_lociStitched
C12ORF5	0	1_MACS_peak_6418_lociStitched
C12ORF57	0	1_MACS_peak_6479_lociStitched,2_MACS_peak_6477_lociStitched
C12ORF61	0	1_MACS_peak_7183_lociStitched
C12ORF73	0	2_MACS_peak_7555_lociStitched
C13ORF29	0	2_MACS_peak_8462_lociStitched
C14ORF181	0	1_MACS_peak_8875_lociStitched
C14ORF4	0	1_MACS_peak_8968_lociStitched
C15ORF28	0	1_MACS_peak_9989_lociStitched
C15ORF57	0	6_MACS_peak_9549_lociStitched
C16ORF53	0	2_MACS_peak_11143_lociStitched
C16ORF75	0	3_MACS_peak_10803_lociStitched
C16ORF89	0	4_MACS_peak_10722_lociStitched
C16ORF92	0	2_MACS_peak_11156_lociStitched
C17ORF101	0	2_MACS_peak_13623_lociStitched
C17ORF107	0	1_MACS_peak_11974_lociStitched
C17ORF37	0	2_MACS_peak_12581_lociStitched
C17ORF44	0	1_MACS_peak_12086_lociStitched
C17ORF46	0	5_MACS_peak_12780_lociStitched,4_MACS_peak_12787_lociStitched
C17ORF49	0	1_MACS_peak_12021_lociStitched
C17ORF62	0	2_MACS_peak_13623_lociStitched
C17ORF65	0	1_MACS_peak_12751_lociStitched
C17ORF68	0	1_MACS_peak_12086_lociStitched
C17ORF86	0	3_MACS_peak_13423_lociStitched
C17ORF95	0	3_MACS_peak_13405_lociStitched
C17ORF96	0	2_MACS_peak_12549_lociStitched
C17ORF99	0	3_MACS_peak_13476_lociStitched
C18ORF1	0	2_MACS_peak_13829_lociStitched
C19ORF22	0	2_MACS_peak_14341_lociStitched
C19ORF23	0	1_MACS_peak_14371_lociStitched
C19ORF24	0	1_MACS_peak_14371_lociStitched
C19ORF26	0	1_MACS_peak_14371_lociStitched
C19ORF35	0	3_MACS_peak_14426_lociStitched,3_MACS_peak_14423_lociStitched
C19ORF42	0	2_MACS_peak_14894_lociStitched
C19ORF6	0	1_MACS_peak_14354_lociStitched,2_MACS_peak_14352_lociStitched
C19ORF70	0	1_MACS_peak_14531_lociStitched
C1ORF106	0	1_MACS_peak_2574_lociStitched,2_MACS_peak_2569_lociStitched
C1ORF152	0	1_MACS_peak_1681_lociStitched
C1ORF186	0	2_MACS_peak_2717_lociStitched
C1ORF189	0	1_MACS_peak_1908_lociStitched
C1ORF213	0	1_MACS_peak_396_lociStitched
C1ORF220	0	1_MACS_peak_2362_lociStitched
C1ORF35	0	3_MACS_peak_3042_lociStitched
C1ORF43	0	1_MACS_peak_1908_lociStitched
C1ORF51	0	2_MACS_peak_1809_lociStitched
C1ORF54	0	2_MACS_peak_1809_lociStitched
C1QL4	0	2_MACS_peak_6960_lociStitched
C1QTNF6	0	5_MACS_peak_20255_lociStitched,1_MACS_peak_20260_lociStitched
C20ORF106	0	2_MACS_peak_19240_lociStitched
C20ORF107	0	2_MACS_peak_19240_lociStitched
C20ORF123	0	5_MACS_peak_19050_lociStitched
C20ORF203	0	5_MACS_peak_18738_lociStitched
C20ORF72	0	1_MACS_peak_18583_lociStitched
C21ORF121	0	1_MACS_peak_19672_lociStitched,1_MACS_peak_19670_lociStitched,1_MACS_peak_19671_lociStitched
C21ORF128	0	1_MACS_peak_19672_lociStitched,3_MACS_peak_19677_lociStitched
C21ORF2	0	1_MACS_peak_19750_lociStitched
C21ORF33	0	1_MACS_peak_19742_lociStitched,2_MACS_peak_19739_lociStitched
C21ORF57	0	2_MACS_peak_19772_lociStitched
C21ORF58	0	2_MACS_peak_19772_lociStitched
C21ORF91	0	4_MACS_peak_19421_lociStitched
C22ORF26	0	1_MACS_peak_20523_lociStitched
C22ORF39	0	1_MACS_peak_19841_lociStitched
C22ORF45	0	1_MACS_peak_20006_lociStitched
C2CD2	0	1_MACS_peak_19668_lociStitched,1_MACS_peak_19666_lociStitched
C2ORF48	0	2_MACS_peak_15750_lociStitched
C2ORF85	0	1_MACS_peak_18374_lociStitched
C3ORF32	0	3_MACS_peak_20679_lociStitched
C3ORF37	0	2_MACS_peak_21907_lociStitched
C3ORF43	0	1_MACS_peak_22646_lociStitched
C3ORF47	0	2_MACS_peak_21907_lociStitched
C3ORF70	0	4_MACS_peak_22492_lociStitched
C3ORF71	0	1_MACS_peak_21187_lociStitched
C4ORF14	0	4_MACS_peak_23190_lociStitched
C4ORF36	0	4_MACS_peak_23408_lociStitched
C4ORF42	0	3_MACS_peak_22702_lociStitched,2_MACS_peak_22705_lociStitched
C4ORF51	0	2_MACS_peak_23824_lociStitched
C5ORF39	0	3_MACS_peak_24439_lociStitched
C5ORF45	0	1_MACS_peak_25810_lociStitched
C5ORF49	0	4_MACS_peak_24259_lociStitched
C5ORF56	0	4_MACS_peak_25187_lociStitched,3_MACS_peak_25191_lociStitched,3_MACS_peak_25184_lociStitched
C6ORF105	0	2_MACS_peak_26027_lociStitched
C6ORF106	0	1_MACS_peak_26491_lociStitched
C6ORF136	0	3_MACS_peak_26359_lociStitched
C6ORF25	0	5_MACS_peak_26406_lociStitched
C6ORF26	0	5_MACS_peak_26406_lociStitched
C6ORF27	0	5_MACS_peak_26406_lociStitched
C6ORF62	0	2_MACS_peak_26171_lociStitched
C7ORF29	0	5_MACS_peak_29439_lociStitched,1_MACS_peak_29438_lociStitched,4_MACS_peak_29433_lociStitched
C7ORF40	0	1_MACS_peak_28298_lociStitched
C7ORF44	0	3_MACS_peak_28251_lociStitched
C7ORF47	0	2_MACS_peak_28814_lociStitched
C7ORF49	0	1_MACS_peak_29261_lociStitched
C7ORF55	0	1_MACS_peak_29304_lociStitched
C7ORF61	0	2_MACS_peak_28814_lociStitched
C7ORF65	0	2_MACS_peak_28343_lociStitched
C7ORF68	0	1_MACS_peak_29167_lociStitched
C8G	0	2_MACS_peak_32157_lociStitched
C8ORF41	0	3_MACS_peak_29923_lociStitched
C8ORF75	0	2_MACS_peak_29896_lociStitched,2_MACS_peak_29885_lociStitched
C9ORF106	0	4_MACS_peak_31999_lociStitched
C9ORF129	0	2_MACS_peak_31529_lociStitched
C9ORF152	0	3_MACS_peak_31702_lociStitched
C9ORF64	0	1_MACS_peak_31362_lociStitched
C9ORF78	0	2_MACS_peak_32019_lociStitched
C9ORF91	0	1_MACS_peak_31776_lociStitched
C9ORF95	0	3_MACS_peak_31319_lociStitched
CA14	0	2_MACS_peak_1809_lociStitched
CABLES1	0	4_MACS_peak_13861_lociStitched,4_MACS_peak_13865_lociStitched
CACNA1I	0	1_MACS_peak_20393_lociStitched
CACYBP	0	3_MACS_peak_2338_lociStitched,1_MACS_peak_2343_lociStitched
CADM1	0	1_MACS_peak_6044_lociStitched,3_MACS_peak_6048_lociStitched,3_MACS_peak_6056_lociStitched
CALHM1	0	3_MACS_peak_4376_lociStitched
CALHM2	0	3_MACS_peak_4376_lociStitched
CALHM3	0	3_MACS_peak_4376_lociStitched
CAMK2A	0	2_MACS_peak_25456_lociStitched
CAMTA2	1	1_MACS_peak_11974_lociStitched
CANX	0	2_MACS_peak_25804_lociStitched
CAPN1	0	3_MACS_peak_5400_lociStitched
CAPRIN1	0	1_MACS_peak_5072_lociStitched
CASC5	0	6_MACS_peak_9549_lociStitched
CASP8	0	2_MACS_peak_17824_lociStitched
CBS	0	2_MACS_peak_19696_lociStitched
CBX3	0	4_MACS_peak_28074_lociStitched,2_MACS_peak_28078_lociStitched
CBX6	0	2_MACS_peak_20329_lociStitched
CBY1	0	2_MACS_peak_20324_lociStitched
CBY3	0	2_MACS_peak_25804_lociStitched
CCDC11	0	3_MACS_peak_14070_lociStitched
CCDC117	0	1_MACS_peak_20075_lociStitched,3_MACS_peak_20068_lociStitched,2_MACS_peak_20066_lociStitched
CCDC127	0	3_MACS_peak_24144_lociStitched,6_MACS_peak_24147_lociStitched
CCDC134	0	1_MACS_peak_20451_lociStitched,2_MACS_peak_20447_lociStitched
CCDC68	0	4_MACS_peak_14117_lociStitched
CCDC74A	0	1_MACS_peak_17242_lociStitched
CCDC86	0	2_MACS_peak_5272_lociStitched
CCDC88C	0	6_MACS_peak_9068_lociStitched
CCDC9	0	1_MACS_peak_15405_lociStitched
CCDC97	0	2_MACS_peak_15239_lociStitched
CCL1	0	5_MACS_peak_12408_lociStitched,2_MACS_peak_12417_lociStitched
CCL13	0	5_MACS_peak_12408_lociStitched,2_MACS_peak_12417_lociStitched
CCL18	0	4_MACS_peak_12471_lociStitched,2_MACS_peak_12475_lociStitched
CCL3	0	4_MACS_peak_12471_lociStitched,2_MACS_peak_12475_lociStitched
CCL3L1	0	2_MACS_peak_12485_lociStitched,2_MACS_peak_12501_lociStitched
CCL3L3	0	2_MACS_peak_12485_lociStitched,2_MACS_peak_12501_lociStitched
CCL4	0	4_MACS_peak_12471_lociStitched,2_MACS_peak_12475_lociStitched
CCL4L1	0	2_MACS_peak_12485_lociStitched,2_MACS_peak_12501_lociStitched
CCL8	0	5_MACS_peak_12408_lociStitched
CCM2	0	1_MACS_peak_28298_lociStitched
CCND2	0	1_MACS_peak_6418_lociStitched,2_MACS_peak_6410_lociStitched
CCNL1	0	1_MACS_peak_22183_lociStitched,1_MACS_peak_22182_lociStitched
CCR1	0	2_MACS_peak_21099_lociStitched
CCR10	0	3_MACS_peak_12700_lociStitched
CCR2	0	1_MACS_peak_21111_lociStitched
CCR3	0	2_MACS_peak_21099_lociStitched,1_MACS_peak_21104_lociStitched
CCR5	0	1_MACS_peak_21111_lociStitched
CD28	0	3_MACS_peak_17867_lociStitched
