From	To
BCLAF1	IRF4
BCLAF1	IRF7
BCLAF1	JUN
BCLAF1	JUNB
BCLAF1	JUND
BCLAF1	KLF12
BCLAF1	KLF13
BCLAF1	KLF15
BCLAF1	KLF2
BCLAF1	KLF6
BCLAF1	KLF7
BCLAF1	KLF9
BCLAF1	MEF2A
BCLAF1	MEF2C
BCLAF1	MXI1
BCLAF1	MYC
BCLAF1	MYNN
BCLAF1	MZF1
BCLAF1	NFE2L2
BCLAF1	NFKB1
BCLAF1	NFKB2
BCLAF1	NR1D2
BCLAF1	NR3C1
BCLAF1	NR4A2
BCLAF1	NR4A3
BCLAF1	PAX4
BCLAF1	PAX5
BCLAF1	POU2F2
BCLAF1	PRDM1
BCLAF1	PRDM10
BCLAF1	RARA
BCLAF1	RAX2
BCLAF1	RELA
BCLAF1	RELB
BCLAF1	RFX1
BCLAF1	RFX3
BCLAF1	RFX7
BCLAF1	RORA
BCLAF1	RUNX1
BCLAF1	SF1
BCLAF1	SIN3A
BCLAF1	SP3
BCLAF1	SPI1
BCLAF1	SREBF2
BCLAF1	TBX6
BCLAF1	TCF12
BCLAF1	TCF4
BCLAF1	TEAD1
BCLAF1	TGIF2
BCLAF1	TP53
BCLAF1	XBP1
BCLAF1	ZBTB1
BCLAF1	ZBTB20
BCLAF1	ZBTB32
BCLAF1	ZBTB38
BCLAF1	ZBTB5
BCLAF1	ZFP62
BCLAF1	ZFP91
BCLAF1	ZFX
BCLAF1	ZNF143
BCLAF1	ZNF16
BCLAF1	ZNF250
BCLAF1	ZNF460
BCLAF1	ZNF48
BCLAF1	ZNF483
BCLAF1	ZNF490
BCLAF1	ZNF524
BCLAF1	ZNF526
BCLAF1	ZNF543
BCLAF1	ZNF574
BCLAF1	ZNF580
BCLAF1	ZNF581
BCLAF1	ZNF592
BCLAF1	ZNF655
BCLAF1	ZNF689
BCLAF1	ZNF771
BCLAF1	ZNF775
BCLAF1	ZNF784
BCLAF1	ZNF791
BCLAF1	ZNF805
BHLHE41	BACH1
BHLHE41	BCL6B
BHLHE41	BHLHE41
BHLHE41	ERF
BHLHE41	FOSL1
BHLHE41	FOXO3
BHLHE41	HBP1
BHLHE41	HES7
BHLHE41	HIVEP2
BHLHE41	IRF2
BHLHE41	JUN
BHLHE41	JUNB
BHLHE41	JUND
BHLHE41	KLF13
BHLHE41	KLF15
BHLHE41	KLF2
BHLHE41	KLF6
BHLHE41	KLF9
BHLHE41	NFE2L2
BHLHE41	NR1D2
BHLHE41	POU2F2
BHLHE41	PRDM1
BHLHE41	RARA
BHLHE41	RELA
BHLHE41	RELB
BHLHE41	TBX6
