GENE	TF	ENHANCER_LIST
C7ORF65	0	1_MACS_peak_33588_lociStitched
C7ORF69	0	2_MACS_peak_33593_lociStitched
C8ORF73	0	1_MACS_peak_36401_lociStitched
C9ORF102	0	1_MACS_peak_37425_lociStitched
C9ORF130	0	1_MACS_peak_37425_lociStitched
C9ORF131	0	1_MACS_peak_36861_lociStitched
C9ORF152	0	7_MACS_peak_37604_lociStitched,1_MACS_peak_37615_lociStitched
C9ORF163	0	1_MACS_peak_38158_lociStitched
C9ORF78	0	6_MACS_peak_37978_lociStitched
C9ORF89	0	2_MACS_peak_37379_lociStitched,2_MACS_peak_37383_lociStitched
C9ORF95	0	1_MACS_peak_37187_lociStitched
CA11	0	1_MACS_peak_18376_lociStitched
CABIN1	0	4_MACS_peak_23526_lociStitched
CADM1	0	1_MACS_peak_7195_lociStitched,1_MACS_peak_7194_lociStitched
CAMKK1	0	2_MACS_peak_14518_lociStitched
CANX	0	1_MACS_peak_30392_lociStitched
CAPN1	0	2_MACS_peak_6293_lociStitched
CAPRIN1	0	1_MACS_peak_5939_lociStitched
CARM1	0	1_MACS_peak_17373_lociStitched
CASC3	0	3_MACS_peak_15202_lociStitched
CASP3	0	1_MACS_peak_28317_lociStitched
CASP8	0	2_MACS_peak_21187_lociStitched
CATSPER1	0	1_MACS_peak_6399_lociStitched
CATSPER2P1	0	1_MACS_peak_11864_lociStitched
CBFA2T3	0	1_MACS_peak_14337_lociStitched
CBX3	0	2_MACS_peak_33241_lociStitched
CBX7	0	2_MACS_peak_23919_lociStitched
CBY3	0	1_MACS_peak_30392_lociStitched
CCDC111	0	1_MACS_peak_28317_lociStitched
CCDC114	0	3_MACS_peak_18363_lociStitched
CCDC117	0	1_MACS_peak_23602_lociStitched
CCDC134	0	1_MACS_peak_24035_lociStitched,5_MACS_peak_24049_lociStitched
CCDC147	0	2_MACS_peak_5252_lociStitched,2_MACS_peak_5250_lociStitched
CCDC45	0	1_MACS_peak_15759_lociStitched
CCDC85A	0	2_MACS_peak_19339_lociStitched
CCDC88B	0	1_MACS_peak_6259_lociStitched
CCDC88C	0	1_MACS_peak_11152_lociStitched,1_MACS_peak_11173_lociStitched,6_MACS_peak_11144_lociStitched
CCDC97	0	2_MACS_peak_18068_lociStitched
CCNE2	0	2_MACS_peak_35803_lociStitched
CCNL1	0	1_MACS_peak_26247_lociStitched
CCPG1	0	4_MACS_peak_12040_lociStitched
CCT6P3	0	5_MACS_peak_33689_lociStitched
CD180	0	2_MACS_peak_28848_lociStitched
CD44	0	2_MACS_peak_5981_lociStitched
CD69	0	1_MACS_peak_7675_lociStitched
CDC25C	0	1_MACS_peak_29724_lociStitched
CDC42EP5	0	1_MACS_peak_18518_lociStitched
CDCA5	0	2_MACS_peak_6293_lociStitched
CDH18	0	1_MACS_peak_28507_lociStitched
CDH23	0	1_MACS_peak_4743_lociStitched
CDK13	0	2_MACS_peak_33451_lociStitched
CDK14	0	1_MACS_peak_33942_lociStitched,5_MACS_peak_33950_lociStitched
CDK17	0	3_MACS_peak_8885_lociStitched
CDK6	0	1_MACS_peak_33999_lociStitched
CDK9	0	1_MACS_peak_37878_lociStitched
CDKL3	0	1_MACS_peak_29681_lociStitched
CDKN1A	0	11_MACS_peak_31373_lociStitched
CDKN1B	0	4_MACS_peak_7732_lociStitched
CDKN2AIPNL	0	1_MACS_peak_29681_lociStitched
CDV3	0	3_MACS_peak_25968_lociStitched
CEACAM21	0	2_MACS_peak_18101_lociStitched
CEBPB	1	1_MACS_peak_22504_lociStitched
CEBPG	1	1_MACS_peak_17852_lociStitched
CELF2	0	1_MACS_peak_4058_lociStitched
CEND1	0	1_MACS_peak_5593_lociStitched
CENPBD1	0	2_MACS_peak_14393_lociStitched
CENPM	0	1_MACS_peak_24062_lociStitched
CEP57	0	1_MACS_peak_6933_lociStitched
CETP	0	3_MACS_peak_13813_lociStitched
CFB	0	1_MACS_peak_31194_lociStitched
CFD	0	1_MACS_peak_16945_lociStitched,3_MACS_peak_16946_lociStitched
CFLAR	0	5_MACS_peak_21157_lociStitched
CHAC1	0	1_MACS_peak_11792_lociStitched
CHD1	0	1_MACS_peak_29262_lociStitched
CHD2	1	2_MACS_peak_12879_lociStitched,1_MACS_peak_12881_lociStitched
CHERP	0	1_MACS_peak_17635_lociStitched
CHKB	0	3_MACS_peak_24280_lociStitched,2_MACS_peak_24283_lociStitched
CHMP2A	0	1_MACS_peak_18625_lociStitched
