GENE	TF	ENHANCER_LIST
C1ORF55	0	1_MACS_peak_2067_lociStitched
C1ORF56	0	1_MACS_peak_1216_lociStitched
C1ORF66	0	5_MACS_peak_1402_lociStitched
C1ORF9	0	1_MACS_peak_1590_lociStitched
C1ORF93	0	3_MACS_peak_73_lociStitched
C1QTNF6	0	8_MACS_peak_13592_lociStitched
C2	0	2_MACS_peak_17905_lociStitched
C21ORF125	0	5_MACS_peak_13264_lociStitched
C21ORF33	0	8_MACS_peak_13285_lociStitched
C21ORF84	0	5_MACS_peak_13264_lociStitched
C22ORF41	0	6_MACS_peak_13851_lociStitched
C22ORF45	0	6_MACS_peak_13454_lociStitched
C3	0	2_MACS_peak_9814_lociStitched
C3ORF23	0	1_MACS_peak_14165_lociStitched
C3ORF37	0	3_MACS_peak_14837_lociStitched,2_MACS_peak_14835_lociStitched
C3ORF45	0	5_MACS_peak_14314_lociStitched
C3ORF47	0	3_MACS_peak_14837_lociStitched,2_MACS_peak_14835_lociStitched
C3ORF71	0	1_MACS_peak_14278_lociStitched
C4B	0	2_MACS_peak_17905_lociStitched
C4ORF36	0	2_MACS_peak_15792_lociStitched
C5ORF27	0	5_MACS_peak_16764_lociStitched,5_MACS_peak_16770_lociStitched
C5ORF33	0	1_MACS_peak_16396_lociStitched
C5ORF39	0	1_MACS_peak_16431_lociStitched,2_MACS_peak_16427_lociStitched
C5ORF4	0	1_MACS_peak_17273_lociStitched
C5ORF41	0	1_MACS_peak_17409_lociStitched
C5ORF45	0	1_MACS_peak_17504_lociStitched
C5ORF56	0	7_MACS_peak_17002_lociStitched
C5ORF60	0	1_MACS_peak_17497_lociStitched
C6ORF126	0	3_MACS_peak_17997_lociStitched
C6ORF127	0	3_MACS_peak_17997_lociStitched
C6ORF136	0	2_MACS_peak_17844_lociStitched
C6ORF25	0	3_MACS_peak_17880_lociStitched
C6ORF26	0	3_MACS_peak_17880_lociStitched
C6ORF27	0	3_MACS_peak_17880_lociStitched,5_MACS_peak_17891_lociStitched
C6ORF48	0	5_MACS_peak_17891_lociStitched
C6ORF62	0	2_MACS_peak_17709_lociStitched
C6ORF81	0	3_MACS_peak_17997_lociStitched
C7ORF23	0	1_MACS_peak_19390_lociStitched
C7ORF29	0	3_MACS_peak_19924_lociStitched
C7ORF47	0	1_MACS_peak_19511_lociStitched
C7ORF55	0	1_MACS_peak_19834_lociStitched,1_MACS_peak_19835_lociStitched
C7ORF58	0	1_MACS_peak_19700_lociStitched
C7ORF61	0	1_MACS_peak_19511_lociStitched
C8ORF75	0	2_MACS_peak_20189_lociStitched
C9ORF106	0	2_MACS_peak_21603_lociStitched
C9ORF152	0	7_MACS_peak_21361_lociStitched
C9ORF153	0	1_MACS_peak_21189_lociStitched
C9ORF156	0	1_MACS_peak_21300_lociStitched
C9ORF163	0	1_MACS_peak_21707_lociStitched
C9ORF64	0	2_MACS_peak_21173_lociStitched
C9ORF78	0	6_MACS_peak_21613_lociStitched
C9ORF95	0	2_MACS_peak_21146_lociStitched
CA11	0	1_MACS_peak_10630_lociStitched
CA5A	0	2_MACS_peak_8058_lociStitched
CACNA1I	0	4_MACS_peak_13687_lociStitched
CACYBP	0	1_MACS_peak_1613_lociStitched
CADM1	0	1_MACS_peak_4008_lociStitched
CALM3	0	1_MACS_peak_10575_lociStitched
CALR	0	3_MACS_peak_9987_lociStitched
CAMTA2	1	3_MACS_peak_8211_lociStitched
CAPN1	0	1_MACS_peak_3624_lociStitched
CAPS	0	2_MACS_peak_9795_lociStitched
CARD8	0	3_MACS_peak_10612_lociStitched
CARS2	0	3_MACS_peak_5594_lociStitched
CASC3	0	6_MACS_peak_8595_lociStitched
CASC5	0	2_MACS_peak_6538_lociStitched
CASP10	0	7_MACS_peak_12169_lociStitched
CASP8	0	4_MACS_peak_12176_lociStitched,7_MACS_peak_12169_lociStitched
CASP9	0	1_MACS_peak_198_lociStitched
CBLC	0	3_MACS_peak_10516_lociStitched
CBLL1	0	1_MACS_peak_19640_lociStitched
CBX3	0	1_MACS_peak_18969_lociStitched
