From	To
BHLHE41	HES1
BHLHE41	HEY2
BHLHE41	HIVEP2
BHLHE41	IKZF3
BHLHE41	IRF1
BHLHE41	IRF2
BHLHE41	JUN
BHLHE41	KLF13
BHLHE41	KLF3
BHLHE41	KLF6
BHLHE41	KLF9
BHLHE41	MAFF
BHLHE41	MEF2C
BHLHE41	MYC
BHLHE41	NFE2L3
BHLHE41	NFIL3
BHLHE41	NR3C1
BHLHE41	PKNOX1
BHLHE41	PRDM1
BHLHE41	PRDM15
BHLHE41	RARA
BHLHE41	SMAD2
BHLHE41	SMAD7
BHLHE41	TBX6
BHLHE41	TCF3
BHLHE41	TCF4
BHLHE41	VDR
BHLHE41	VSX1
BHLHE41	XBP1
BHLHE41	ZBTB38
BHLHE41	ZBTB7B
BHLHE41	ZNF217
BHLHE41	ZNF367
BHLHE41	ZNF443
BHLHE41	ZNF709
BHLHE41	ZNF710
BHLHE41	ZNF775
BHLHE41	ZXDA
CAMTA2	AIRE
CAMTA2	ETV3
CAMTA2	FOSL2
CAMTA2	FOXD4L5
CAMTA2	HBP1
CAMTA2	IKZF3
CAMTA2	IRF2
CAMTA2	IRF4
CAMTA2	KLF3
CAMTA2	MXI1
CAMTA2	NR3C1
CAMTA2	PRDM1
CAMTA2	RARG
CAMTA2	RUNX1
CAMTA2	SMAD7
CAMTA2	SREBF2
CAMTA2	USF1
CAMTA2	ZNF212
CAMTA2	ZNF740
CHD2	AIRE
CHD2	ARF1
CHD2	ARID3A
CHD2	ARID3B
CHD2	ARID5A
CHD2	ATF3
CHD2	ATF4
CHD2	BACH2
CHD2	BARX2
CHD2	BCL6B
CHD2	BHLHE41
CHD2	CAMTA2
CHD2	CHD2
CHD2	CTCF
CHD2	CTCFL
CHD2	DDIT3
CHD2	DEAF1
CHD2	E2F2
CHD2	E2F3
CHD2	ELF2
CHD2	ELK3
CHD2	ETV3
CHD2	FLI1
CHD2	FOSL2
CHD2	FOXD4L5
CHD2	FOXO3
CHD2	FOXP2
CHD2	GFI1
CHD2	HBP1
CHD2	HES1
CHD2	HES6
CHD2	HEY1
CHD2	HEY2
CHD2	HIVEP2
CHD2	IKZF3
CHD2	IRF1
CHD2	IRF2
CHD2	IRF4
CHD2	IRF5
CHD2	JUN
CHD2	JUND
CHD2	KLF13
CHD2	KLF16
CHD2	KLF2
CHD2	KLF3
CHD2	KLF6
CHD2	KLF9
CHD2	MAFF
CHD2	MAZ
CHD2	MEF2C
CHD2	MEF2D
CHD2	MLX
CHD2	MNT
CHD2	MXI1
CHD2	MYC
CHD2	MYNN
CHD2	NFE2L2
CHD2	NFE2L3
CHD2	NFIL3
CHD2	NFKB2
CHD2	NR3C1
CHD2	NRF1
CHD2	PKNOX1
CHD2	POU2F1
CHD2	PRDM1
CHD2	PRDM10
CHD2	PRDM15
CHD2	RARA
CHD2	RARG
CHD2	RUNX1
CHD2	RUNX2
CHD2	SIN3A
CHD2	SMAD2
CHD2	SMAD7
CHD2	SP3
CHD2	SREBF2
CHD2	TBX6
CHD2	TCF3
CHD2	TFAP4
CHD2	USF1
CHD2	VDR
CHD2	VSX1
CHD2	XBP1
CHD2	ZBTB38
CHD2	ZBTB7B
CHD2	ZEB1
CHD2	ZFP91
CHD2	ZNF124
CHD2	ZNF212
CHD2	ZNF217
CHD2	ZNF22
CHD2	ZNF367
CHD2	ZNF436
CHD2	ZNF443
CHD2	ZNF490
CHD2	ZNF709
CHD2	ZNF710
CHD2	ZNF740
CHD2	ZNF775
CHD2	ZNF791
CREB3L2	AIRE
CREB3L2	ARF1
CREB3L2	ARID3A
CREB3L2	ARID3B
CREB3L2	ATF3
CREB3L2	ATF4
CREB3L2	ATF6
CREB3L2	BARX2
CREB3L2	BCL6B
CREB3L2	BHLHE41
CREB3L2	CAMTA2
CREB3L2	CREB3L2
CREB3L2	CTCF
CREB3L2	CTCFL
CREB3L2	DEAF1
CREB3L2	E2F3
CREB3L2	ELF2
