From	To
ATF4	MYBL2
ATF4	MZF1
ATF4	NFE2L1
ATF4	NFE2L2
ATF4	NFE2L3
ATF4	NFKB1
ATF4	NFKB2
ATF4	NR1D1
ATF4	NR3C1
ATF4	NR4A2
ATF4	PAX5
ATF4	PBX2
ATF4	POU2F2
ATF4	POU5F1
ATF4	PPARD
ATF4	PRDM1
ATF4	PRDM10
ATF4	PRDM14
ATF4	PRDM5
ATF4	RARA
ATF4	REL
ATF4	RELA
ATF4	RERE
ATF4	RFX1
ATF4	RFX3
ATF4	RREB1
ATF4	RUNX1
ATF4	RXRB
ATF4	SF1
ATF4	SIN3A
ATF4	SMAD3
ATF4	SMAD7
ATF4	SP100
ATF4	SREBF2
ATF4	TCF12
ATF4	TCF3
ATF4	TFEB
ATF4	TGIF2
ATF4	THRA
ATF4	XBP1
ATF4	ZBTB1
ATF4	ZBTB20
ATF4	ZBTB32
ATF4	ZBTB38
ATF4	ZBTB7A
ATF4	ZBTB7B
ATF4	ZFP62
ATF4	ZFP91
ATF4	ZNF143
ATF4	ZNF217
ATF4	ZNF283
ATF4	ZNF526
ATF4	ZNF574
ATF4	ZNF689
ATF4	ZNF76
ATF4	ZNF775
ATF4	ZNF860
BACH1	ARF1
BACH1	ARF4
BACH1	ARID3A
BACH1	ARID3B
BACH1	ATF4
BACH1	BACH1
BACH1	BCL11A
BACH1	BHLHE41
BACH1	BRCA1
BACH1	CAMTA2
BACH1	CEBPB
BACH1	CHD2
BACH1	CREB1
BACH1	CREB3L2
BACH1	CTCF
BACH1	CTCFL
BACH1	CUX1
BACH1	DDIT3
BACH1	ELF1
BACH1	ELK4
BACH1	ERF
BACH1	ESR1
BACH1	ESRRA
BACH1	ESRRG
BACH1	ETS1
BACH1	ETV6
BACH1	FLI1
BACH1	FOXD4L5
BACH1	FOXN3
BACH1	FOXO3
BACH1	FOXP2
BACH1	FOXR1
BACH1	HBP1
BACH1	HES7
BACH1	HEY1
BACH1	HEY2
BACH1	HIVEP2
BACH1	IKZF1
BACH1	IKZF3
BACH1	IRF1
BACH1	IRF2
BACH1	IRF3
BACH1	IRF4
BACH1	JUNB
BACH1	KLF10
BACH1	KLF13
BACH1	KLF16
BACH1	KLF2
BACH1	KLF3
BACH1	KLF6
BACH1	KLF7
BACH1	MAF
BACH1	MEF2B
BACH1	MEF2C
BACH1	MEF2D
BACH1	MNT
BACH1	MXD1
BACH1	MYBL2
BACH1	MZF1
BACH1	NFE2
BACH1	NFE2L1
BACH1	NFE2L2
BACH1	NFE2L3
BACH1	NFKB2
BACH1	NR1D1
BACH1	NR1D2
BACH1	NR3C1
BACH1	NR4A2
BACH1	PAX5
BACH1	POU2F2
BACH1	POU5F1
BACH1	PPARD
BACH1	PRDM1
BACH1	PRDM10
BACH1	PRDM14
BACH1	PRDM5
BACH1	RARA
BACH1	REL
BACH1	RELA
BACH1	RERE
BACH1	RFX3
BACH1	RREB1
BACH1	RUNX1
BACH1	RXRB
BACH1	SIN3A
BACH1	SMAD3
BACH1	SMAD7
BACH1	SREBF2
BACH1	TCF12
BACH1	TCF3
BACH1	TFEB
BACH1	TGIF2
BACH1	THRA
BACH1	XBP1
BACH1	ZBTB1
BACH1	ZBTB20
BACH1	ZBTB38
BACH1	ZBTB7A
BACH1	ZBTB7B
