GENE	TF	ENHANCER_LIST
C16ORF78	0	1_MACS_peak_10849_lociStitched
C16ORF92	0	2_MACS_peak_10741_lociStitched,2_MACS_peak_10738_lociStitched
C17ORF101	0	2_MACS_peak_12809_lociStitched,1_MACS_peak_12813_lociStitched
C17ORF103	0	1_MACS_peak_11725_lociStitched
C17ORF44	0	1_MACS_peak_11536_lociStitched,1_MACS_peak_11535_lociStitched
C17ORF46	0	2_MACS_peak_12127_lociStitched
C17ORF59	0	3_MACS_peak_11525_lociStitched,1_MACS_peak_11535_lociStitched
C17ORF60	0	1_MACS_peak_12443_lociStitched
C17ORF62	0	2_MACS_peak_12809_lociStitched,1_MACS_peak_12813_lociStitched
C17ORF68	0	1_MACS_peak_11536_lociStitched,1_MACS_peak_11535_lociStitched
C17ORF90	0	1_MACS_peak_12765_lociStitched
C17ORF91	0	2_MACS_peak_11377_lociStitched
C17ORF95	0	1_MACS_peak_12629_lociStitched
C17ORF96	0	3_MACS_peak_11953_lociStitched
C17ORF99	0	1_MACS_peak_12670_lociStitched
C19ORF35	0	2_MACS_peak_13588_lociStitched
C19ORF54	0	1_MACS_peak_14329_lociStitched
C19ORF61	0	1_MACS_peak_14392_lociStitched
C19ORF76	0	2_MACS_peak_14572_lociStitched
C1ORF106	0	3_MACS_peak_2301_lociStitched
C1ORF189	0	1_MACS_peak_1567_lociStitched
C1ORF21	0	2_MACS_peak_2089_lociStitched,1_MACS_peak_2082_lociStitched
C1ORF35	0	3_MACS_peak_2700_lociStitched
C1ORF43	0	1_MACS_peak_1567_lociStitched
C1ORF51	0	1_MACS_peak_1473_lociStitched
C1ORF54	0	1_MACS_peak_1473_lociStitched
C1ORF56	0	1_MACS_peak_1503_lociStitched
C1ORF61	0	1_MACS_peak_1665_lociStitched
C1ORF66	0	1_MACS_peak_1676_lociStitched,2_MACS_peak_1673_lociStitched
C1ORF77	0	1_MACS_peak_1544_lociStitched
C1ORF85	0	1_MACS_peak_1660_lociStitched
C1ORF9	0	1_MACS_peak_1926_lociStitched
C1ORF96	0	1_MACS_peak_2720_lociStitched
C1QL4	0	2_MACS_peak_6400_lociStitched
C1QTNF6	0	4_MACS_peak_18607_lociStitched,1_MACS_peak_18611_lociStitched
C2	0	1_MACS_peak_24316_lociStitched
C20ORF197	0	4_MACS_peak_17791_lociStitched
C20ORF203	0	3_MACS_peak_17360_lociStitched
C20ORF72	0	2_MACS_peak_17250_lociStitched
C21ORF91	0	2_MACS_peak_17901_lociStitched
C21ORF96	0	1_MACS_peak_18066_lociStitched
C22ORF26	0	3_MACS_peak_18816_lociStitched,2_MACS_peak_18814_lociStitched
C22ORF45	0	1_MACS_peak_18412_lociStitched
C2ORF48	0	1_MACS_peak_14876_lociStitched
C2ORF61	0	2_MACS_peak_15290_lociStitched
C2ORF67	0	2_MACS_peak_16746_lociStitched
C3ORF32	0	2_MACS_peak_18923_lociStitched
C3ORF37	0	3_MACS_peak_20024_lociStitched
C3ORF47	0	3_MACS_peak_20024_lociStitched
C4B	0	1_MACS_peak_24316_lociStitched
C4ORF36	0	1_MACS_peak_21470_lociStitched
C4ORF47	0	1_MACS_peak_22255_lociStitched
C5ORF33	0	1_MACS_peak_22566_lociStitched
C5ORF39	0	3_MACS_peak_22638_lociStitched
C6ORF126	0	3_MACS_peak_24400_lociStitched
C6ORF127	0	3_MACS_peak_24400_lociStitched
C6ORF136	0	2_MACS_peak_24261_lociStitched
C6ORF142	0	2_MACS_peak_24634_lociStitched
C6ORF25	0	1_MACS_peak_24298_lociStitched
C6ORF26	0	1_MACS_peak_24298_lociStitched
C6ORF27	0	1_MACS_peak_24298_lociStitched
C6ORF62	0	2_MACS_peak_24106_lociStitched
C6ORF81	0	3_MACS_peak_24400_lociStitched
C7ORF29	0	1_MACS_peak_27107_lociStitched
C7ORF47	0	1_MACS_peak_26566_lociStitched
C7ORF55	0	1_MACS_peak_27009_lociStitched,1_MACS_peak_27008_lociStitched
C7ORF61	0	1_MACS_peak_26566_lociStitched
C8ORF41	0	1_MACS_peak_27540_lociStitched
C8ORF46	0	3_MACS_peak_27840_lociStitched
C8ORF75	0	1_MACS_peak_27509_lociStitched,2_MACS_peak_27497_lociStitched,2_MACS_peak_27494_lociStitched
C9ORF53	0	1_MACS_peak_28707_lociStitched
C9ORF64	0	1_MACS_peak_29091_lociStitched
C9ORF91	0	3_MACS_peak_29444_lociStitched
CA14	0	1_MACS_peak_1473_lociStitched
CA8	0	5_MACS_peak_27775_lociStitched
CACNA1I	0	1_MACS_peak_18694_lociStitched
CACYBP	0	1_MACS_peak_1969_lociStitched,2_MACS_peak_1965_lociStitched
CADM1	0	1_MACS_peak_5631_lociStitched
CALM2	0	2_MACS_peak_15290_lociStitched
CALM3	0	1_MACS_peak_14468_lociStitched
CAMK2A	0	4_MACS_peak_23528_lociStitched
CAMK2D	0	1_MACS_peak_21696_lociStitched
CAMTA1	1	2_MACS_peak_128_lociStitched
CAPN1	0	2_MACS_peak_5039_lociStitched
CAPRIN1	0	1_MACS_peak_4725_lociStitched
CASP3	0	1_MACS_peak_22219_lociStitched
CASP8	0	1_MACS_peak_16635_lociStitched
CBX3	0	1_MACS_peak_25894_lociStitched
CBX4	0	2_MACS_peak_12721_lociStitched
CBX5	0	1_MACS_peak_6514_lociStitched
CBX8	0	2_MACS_peak_12721_lociStitched
CCDC106	0	1_MACS_peak_14703_lociStitched
CCDC11	0	3_MACS_peak_13258_lociStitched
CCDC110	0	1_MACS_peak_22255_lociStitched
CCDC111	0	1_MACS_peak_22219_lociStitched
CCDC117	0	1_MACS_peak_18466_lociStitched,1_MACS_peak_18470_lociStitched
CCDC127	0	1_MACS_peak_22292_lociStitched,4_MACS_peak_22293_lociStitched
CCDC137	0	1_MACS_peak_12765_lociStitched
CCDC19	0	1_MACS_peak_1714_lociStitched
CCDC40	0	2_MACS_peak_12729_lociStitched
CCDC45	0	1_MACS_peak_12443_lociStitched
CCDC64B	0	1_MACS_peak_10314_lociStitched
CCDC85B	0	2_MACS_peak_5084_lociStitched
CCDC86	0	2_MACS_peak_4902_lociStitched
CCDC88B	0	1_MACS_peak_5014_lociStitched
CCDC88C	0	1_MACS_peak_8888_lociStitched
CCDC97	0	2_MACS_peak_14333_lociStitched,2_MACS_peak_14335_lociStitched
CCL18	0	2_MACS_peak_11879_lociStitched
CCL3	0	2_MACS_peak_11879_lociStitched
CCL3L1	0	3_MACS_peak_11893_lociStitched,2_MACS_peak_11900_lociStitched
CCL3L3	0	3_MACS_peak_11893_lociStitched,2_MACS_peak_11900_lociStitched
CCL4	0	2_MACS_peak_11879_lociStitched
CCL4L1	0	3_MACS_peak_11893_lociStitched
CCND2	0	1_MACS_peak_5950_lociStitched,1_MACS_peak_5946_lociStitched
CCNG1	0	6_MACS_peak_23623_lociStitched
CCNL1	0	1_MACS_peak_20317_lociStitched
CCR1	0	1_MACS_peak_19299_lociStitched
CCR10	0	3_MACS_peak_12060_lociStitched
CCR3	0	1_MACS_peak_19299_lociStitched
CCT6B	0	3_MACS_peak_11855_lociStitched,1_MACS_peak_11854_lociStitched
CD151	0	1_MACS_peak_4382_lociStitched
CD200	0	4_MACS_peak_19830_lociStitched
CD247	0	2_MACS_peak_1877_lociStitched,1_MACS_peak_1875_lociStitched
CD28	0	2_MACS_peak_16688_lociStitched
CD300LF	0	2_MACS_peak_12552_lociStitched
CD48	0	1_MACS_peak_1735_lociStitched
CDC16	0	2_MACS_peak_8142_lociStitched
CDC37	0	3_MACS_peak_13803_lociStitched
CDC42BPG	0	1_MACS_peak_5024_lociStitched
CDC42SE1	0	1_MACS_peak_1503_lociStitched
CDC6	0	3_MACS_peak_12009_lociStitched
CDCA5	0	2_MACS_peak_5039_lociStitched
CDH9	0	9_MACS_peak_22468_lociStitched,3_MACS_peak_22484_lociStitched
CDK13	0	1_MACS_peak_26050_lociStitched
CDK5RAP2	0	3_MACS_peak_29482_lociStitched
CDK6	0	6_MACS_peak_26479_lociStitched,2_MACS_peak_26475_lociStitched
CDKN1B	0	2_MACS_peak_6076_lociStitched
CDKN2A	0	1_MACS_peak_28707_lociStitched
CDKN2B	0	1_MACS_peak_28707_lociStitched
CDKN2B-AS1	0	1_MACS_peak_28707_lociStitched
CEACAM21	0	1_MACS_peak_14352_lociStitched,3_MACS_peak_14348_lociStitched
CEBPB	1	1_MACS_peak_17665_lociStitched
CELA1	0	2_MACS_peak_6436_lociStitched
CELF2	0	1_MACS_peak_3082_lociStitched,1_MACS_peak_3081_lociStitched
CEND1	0	1_MACS_peak_4382_lociStitched
CENPL	0	1_MACS_peak_1942_lociStitched
CENPN	0	1_MACS_peak_11204_lociStitched
CEP170	0	1_MACS_peak_2889_lociStitched
CEP350	0	2_MACS_peak_2019_lociStitched
CEP57	0	1_MACS_peak_5441_lociStitched
CETP	0	1_MACS_peak_10896_lociStitched,1_MACS_peak_10897_lociStitched
CFB	0	1_MACS_peak_24316_lociStitched
CFL1	0	2_MACS_peak_5084_lociStitched
CFLAR	0	1_MACS_peak_16620_lociStitched
CFLP1	0	3_MACS_peak_3832_lociStitched
CG030	0	2_MACS_peak_7541_lociStitched
CGN	0	1_MACS_peak_1516_lociStitched
CHEK2	0	1_MACS_peak_18466_lociStitched
CHMP5	0	1_MACS_peak_28786_lociStitched
CHRM1	0	1_MACS_peak_4976_lociStitched
CHRNB2	0	1_MACS_peak_1578_lociStitched
CHST12	0	2_MACS_peak_25664_lociStitched
CHSY1	0	6_MACS_peak_10182_lociStitched,2_MACS_peak_10177_lociStitched
CISD2	0	1_MACS_peak_21596_lociStitched
CISD3	0	3_MACS_peak_11953_lociStitched
CKLF	0	2_MACS_peak_10987_lociStitched
CKS1B	0	3_MACS_peak_1594_lociStitched,1_MACS_peak_1603_lociStitched,1_MACS_peak_1600_lociStitched
CLDN6	0	1_MACS_peak_10314_lociStitched
CLDN9	0	1_MACS_peak_10314_lociStitched
CLEC2D	0	1_MACS_peak_6016_lociStitched
CLIC1	0	1_MACS_peak_24298_lociStitched
CLK1	0	1_MACS_peak_16611_lociStitched
CLPTM1L	0	1_MACS_peak_22322_lociStitched
CLTC	0	1_MACS_peak_12355_lociStitched
CMBL	0	1_MACS_peak_22406_lociStitched
CMIP	0	1_MACS_peak_11214_lociStitched
CMTM1	0	2_MACS_peak_10987_lociStitched
CNBP	0	2_MACS_peak_20019_lociStitched
CNIH3	0	4_MACS_peak_2628_lociStitched
CNOT6L	0	2_MACS_peak_21380_lociStitched
CNTF	0	2_MACS_peak_4882_lociStitched
CNTNAP1	0	3_MACS_peak_12060_lociStitched
COG4	0	1_MACS_peak_11100_lociStitched
COMMD3	0	4_MACS_peak_3244_lociStitched,2_MACS_peak_3248_lociStitched,3_MACS_peak_3241_lociStitched
COPG	0	3_MACS_peak_20024_lociStitched
COPZ1	0	1_MACS_peak_6514_lociStitched
COQ5	0	2_MACS_peak_7156_lociStitched
COX6A2	0	1_MACS_peak_10803_lociStitched
CPEB2	0	1_MACS_peak_20908_lociStitched
CPEB3	0	1_MACS_peak_3905_lociStitched,1_MACS_peak_3895_lociStitched
CPT1C	0	2_MACS_peak_14572_lociStitched
CRABP2	0	1_MACS_peak_1676_lociStitched,2_MACS_peak_1673_lociStitched
CRB2	0	2_MACS_peak_29536_lociStitched,3_MACS_peak_29530_lociStitched
CREB3L2	1	1_MACS_peak_26995_lociStitched
CREBL2	0	2_MACS_peak_6070_lociStitched
CREG1	0	2_MACS_peak_1877_lociStitched,1_MACS_peak_1875_lociStitched
CROCC	0	2_MACS_peak_279_lociStitched
CSAD	0	1_MACS_peak_6480_lociStitched
CSF2	0	2_MACS_peak_23296_lociStitched
CTHRC1	0	2_MACS_peak_28146_lociStitched
CTSW	0	2_MACS_peak_5084_lociStitched
CUL1	0	5_MACS_peak_27079_lociStitched,1_MACS_peak_27084_lociStitched
CXCR4	0	2_MACS_peak_16103_lociStitched
CXXC1	0	3_MACS_peak_13258_lociStitched
CYB5R1	0	1_MACS_peak_2350_lociStitched
CYCSP52	0	2_MACS_peak_1685_lociStitched,2_MACS_peak_1688_lociStitched
CYGB	0	1_MACS_peak_12619_lociStitched
CYP21A2	0	1_MACS_peak_24316_lociStitched
CYS1	0	1_MACS_peak_14876_lociStitched
CYTH4	0	1_MACS_peak_18611_lociStitched
CYTIP	0	2_MACS_peak_16215_lociStitched
DAD1	0	2_MACS_peak_8201_lociStitched,4_MACS_peak_8203_lociStitched
DAP3	0	1_MACS_peak_1628_lociStitched
DARS2	0	1_MACS_peak_1942_lociStitched
DBN1	0	2_MACS_peak_23747_lociStitched
DCAF13	0	2_MACS_peak_28146_lociStitched
DCAF6	0	1_MACS_peak_1885_lociStitched
DCAF8	0	1_MACS_peak_1723_lociStitched
DCC	0	1_MACS_peak_13294_lociStitched
DCI	0	1_MACS_peak_10289_lociStitched
DCST1	0	1_MACS_peak_1603_lociStitched
DCST2	0	1_MACS_peak_1603_lociStitched
DCTN2	0	2_MACS_peak_6583_lociStitched
DDAH2	0	1_MACS_peak_24298_lociStitched
DDIT3	1	2_MACS_peak_6583_lociStitched
DDIT4	0	1_MACS_peak_3688_lociStitched,3_MACS_peak_3680_lociStitched
DDO	0	4_MACS_peak_25069_lociStitched
DDX17	0	1_MACS_peak_18654_lociStitched
DDX19B	0	1_MACS_peak_11088_lociStitched
DDX3X	0	1_MACS_peak_30112_lociStitched
DDX5	0	1_MACS_peak_12443_lociStitched
DEDD	0	2_MACS_peak_1754_lociStitched,1_MACS_peak_1753_lociStitched
DENND1B	0	2_MACS_peak_2263_lociStitched
DENND3	0	1_MACS_peak_28448_lociStitched
DERL3	0	3_MACS_peak_18393_lociStitched
DHDH	0	1_MACS_peak_14540_lociStitched
DHTKD1	0	1_MACS_peak_3095_lociStitched
DHX15	0	1_MACS_peak_20992_lociStitched
DIP2C	0	2_MACS_peak_2962_lociStitched
DIRAS1	0	3_MACS_peak_13618_lociStitched
DIS3L2	0	2_MACS_peak_16947_lociStitched
DKFZP434K028	0	1_MACS_peak_4923_lociStitched
DLEU1	0	1_MACS_peak_7728_lociStitched,1_MACS_peak_7727_lociStitched
DLEU2	0	1_MACS_peak_7728_lociStitched,1_MACS_peak_7727_lociStitched
DNAJB12	0	1_MACS_peak_3690_lociStitched,1_MACS_peak_3688_lociStitched
DNAJC1	0	2_MACS_peak_3238_lociStitched,1_MACS_peak_3229_lociStitched
DNAJC18	0	2_MACS_peak_23401_lociStitched,1_MACS_peak_23404_lociStitched
DNAJC22	0	2_MACS_peak_6400_lociStitched
DNAJC28	0	1_MACS_peak_18046_lociStitched
DNAJC8	0	3_MACS_peak_473_lociStitched
DNASE1L2	0	1_MACS_peak_10289_lociStitched
DOC2A	0	2_MACS_peak_10738_lociStitched
