DMSO_RPMI8226	KB528_1Hr_RPMI8226	KB528_3Hr_RPMI8226	KB528_6Hr_RPMI8226	KB528_24Hr_RPMI8226
LOC148413	49.8567565872657	41.4058326179136	37.1412566295159	41.7617027225096	54.9523826785796
MRPL20	385.365595655809	352.053494824507	397.282264460932	395.054894959955	321.989016569073
ATAD3C	14.6539766287745	14.3599493752247	13.8588512904214	13.5138979693089	16.6374729981997
ATAD3B	121.4306304918	129.841541010177	145.495613263935	119.435805608059	97.4671214978421
ATAD3A	184.082055499692	196.521005688206	211.278239678563	212.301400819458	151.163501600665
TMEM240	0.618009797091099	0.707675990552285	1.03154044215913	0.867296511667481	0.630997529862655
SSU72	443.770809280972	441.378292130866	420.466110207004	420.623802501757	467.358054437201
C1orf233	40.4940515072198	43.0955458214496	37.5150247181042	29.9749905137849	42.0885453357889
MIB2	33.7750490602462	32.7784063583261	32.8243964767291	31.4303602603252	36.3899019998057
CDK11B	42.8119259537449	47.0099012650057	47.0061263224924	56.4934474938585	52.241067900847
SLC35E2B	20.1210936039984	21.6740839950951	14.0410576056314	20.350246559486	32.8193923943422
CDK11A	14.5824995403256	17.6818528913282	17.2539834768714	20.7380285631436	18.6265969667413
SLC35E2	3.23880749396472	2.46380650788217	2.10399338934496	3.34313179559036	6.92665742878302
NADK	144.506770629404	153.511271912331	122.17567639743	122.869415279813	129.564714995938
GNB1	297.465275802361	314.896429117944	291.563314210864	334.043320616127	367.23888146601
CALML6	1.21085034709834	1.64045702306815	1.34158151718207	0.882541064417788	0.925193636220292
TMEM52	28.0427495545524	33.6891612391785	27.5908457389861	20.2210075517158	11.4145431252252
PRKCZ	8.6295140227518	8.93167572519016	6.20593538650799	7.60348989785936	12.9953747587769
FAAP20	12.8531679765773	12.6743213128498	12.16103341314	12.6305096449604	16.8457499301359
SKI	14.8846218025635	18.5168992917609	26.6617365325975	24.4433394035953	17.8620905178328
MORN1	2.18473618025393	2.18176134177415	1.92505258043452	2.07762585850612	3.93522452075712
RER1	94.970443276857	93.3174955364529	96.287842599202	100.303740439853	105.497105404007
PEX10	49.2224811846711	47.2497617694358	46.2187574055145	45.7362792086112	63.0370976649928
PANK4	24.7089190157503	23.9765694645301	23.3710637649338	30.6608333775253	29.6011166328425
LOC115110	1.82545957257933	1.64380291508384	1.08241756428102	0.680602999654507	4.90715027556365
TNFRSF14	19.2837097502746	19.1604413887686	13.2309160404763	12.2219924611875	19.2363621430532
FAM213B	40.3304305095504	37.9857401702695	33.240383168741	30.555553834251	41.4418683270227
ARHGEF16	8.30082240105579	8.53712121470378	5.42134329301893	4.66812197094837	9.29654826263549
MEGF6	7.7242461573187	9.77799817295099	6.46109267160715	3.34619515952463	4.38707364552833
TPRG1L	39.6207675794292	37.5323716431989	41.6024594817842	56.6653750406358	51.556329327065
WRAP73	38.1159992236652	37.9712426610233	40.2764453838868	53.83507196713	49.0190425840649
TP73-AS1	1.30606776182086	1.18808864294026	0.703301617977101	0.994546221208477	2.12205183797545
SMIM1	6.93106189068621	6.46736661197995	6.15515852884184	3.68160003666195	5.20659270428045
LRRC47	88.4069022518603	88.9674279126626	105.003047507653	106.154576201247	93.2459385450232
CEP104	24.2552690547314	25.9951528826143	26.1960054287573	31.0297891272463	28.2652953166042
DFFB	9.94019192789641	9.23631843992951	6.7736302431542	8.47659984915379	8.58387479561797
C1orf174	25.2214891487081	25.7421991510646	34.7626076635017	42.0132022264822	32.0053796881428
LINC01134	1.12762647593997	1.10342962699311	1.31181750160618	1.42286333293683	1.62920489529863
NPHP4	11.9920054017427	12.848666231216	11.7200341716913	12.5087429220529	15.7206104454824
KCNAB2	90.0590860528572	96.5660699414103	78.1290805878762	67.8485875116103	79.395460663055
RPL22	473.815917547662	460.19260682546	473.652837638607	431.608039114333	488.750839375988
LOC102724450	39.0912996123833	41.2218057464768	31.0263524884821	22.9658034900428	38.9026939026095
