Symbol,Type,Cell
IRF4,down,MM1S
ITGA4,down,MM1S
ITGB3BP,down,MM1S
ITM2A,down,MM1S
IVNS1ABP,down,MM1S
KANK2,down,MM1S
KBTBD8,down,MM1S
KCNA3,down,MM1S
KCNS3,down,MM1S
KCTD9,down,MM1S
KHK,down,MM1S
KIAA0101,down,MM1S
KIAA1524,down,MM1S
KIAA1715,down,MM1S
KIF11,down,MM1S
KIF14,down,MM1S
KIF15,down,MM1S
KIF18B,down,MM1S
KIF20B,down,MM1S
KIF21A,down,MM1S
KIF22,down,MM1S
KIF23,down,MM1S
KIF2A,down,MM1S
KIFC1,down,MM1S
KLF11,down,MM1S
KLF2,down,MM1S
KNTC1,down,MM1S
KRR1,down,MM1S
LACTB2,down,MM1S
LAMP5,down,MM1S
LBR,down,MM1S
LDHA,down,MM1S
LDLR,down,MM1S
LIG1,down,MM1S
LIG3,down,MM1S
LIN54,down,MM1S
LIN9,down,MM1S
LMBRD2,down,MM1S
LMNB1,down,MM1S
LOC100294145,down,MM1S
LOC100506248,down,MM1S
LOC644936,down,MM1S
LOC645513,down,MM1S
LRMP,down,MM1S
LRP8,down,MM1S
LRR1,down,MM1S
LRRC40,down,MM1S
LRRC45,down,MM1S
LRRC59,down,MM1S
LRRC8C,down,MM1S
LSM2,down,MM1S
LSM6,down,MM1S
LYAR,down,MM1S
MAD2L1,down,MM1S
MAGEA1,down,MM1S
MAGOHB,down,MM1S
MAK16,down,MM1S
MAL2,down,MM1S
MALT1,down,MM1S
MANEA,down,MM1S
MAPK1IP1L,down,MM1S
MAPK9,down,MM1S
MB21D1,down,MM1S
MBD2,down,MM1S
MCM10,down,MM1S
MCM2,down,MM1S
MCM3,down,MM1S
MCM4,down,MM1S
MCM5,down,MM1S
MCM6,down,MM1S
MCM7,down,MM1S
MCM8,down,MM1S
MCMBP,down,MM1S
MDFIC,down,MM1S
MELK,down,MM1S
METTL4,down,MM1S
MICB,down,MM1S
MID1IP1,down,MM1S
MIR650,down,MM1S
MIS18A,down,MM1S
MKI67,down,MM1S
MMS22L,down,MM1S
MNAT1,down,MM1S
MND1,down,MM1S
MPC1,down,MM1S
MPHOSPH10,down,MM1S
MPHOSPH6,down,MM1S
MRE11A,down,MM1S
MRPS36,down,MM1S
MRPS6,down,MM1S
MSH2,down,MM1S
MSH3,down,MM1S
MSH6,down,MM1S
MSMO1,down,MM1S
MTFP1,down,MM1S
MTHFD1,down,MM1S
MTO1,down,MM1S
MYB,down,MM1S
MYBL2,down,MM1S
MYH10,down,MM1S
MYO19,down,MM1S
MZT1,down,MM1S
NAA15,down,MM1S
NAA50,down,MM1S
NASP,down,MM1S
NCAPD3,down,MM1S
NCAPG,down,MM1S
NCAPG2,down,MM1S
NCAPH,down,MM1S
NCAPH2,down,MM1S
NCL,down,MM1S
NDC1,down,MM1S
NDC80,down,MM1S
NEDD1,down,MM1S
NEIL3,down,MM1S
NEMP1,down,MM1S
NETO2,down,MM1S
NFIL3,down,MM1S
NFYB,down,MM1S
NKD2,down,MM1S
NOC3L,down,MM1S
NOL11,down,MM1S
NOM1,down,MM1S
NOP58,down,MM1S
NPNT,down,MM1S
NRGN,down,MM1S
NRM,down,MM1S
NT5DC2,down,MM1S
NUCB2,down,MM1S
NUDT21,down,MM1S
